Data Type,Subset Type,Target,Outer Fold,Feature,Mean Gradient,Std Gradient
DTI,FTPC,c0b,1,F1,-0.011557887,0.0069764545
DTI,FTPC,c0b,1,F2,-0.011882596,0.008287893
DTI,FTPC,c0b,1,F3,-0.012641317,0.007069421
DTI,FTPC,c0b,1,F4,-0.012919475,0.005946257
DTI,FTPC,c0b,1,F5,-0.002772389,0.007375238
DTI,FTPC,c0b,1,F6,0.0005307128,0.007430956
DTI,FTPC,c0b,1,F7,0.00842301,0.007055759
DTI,FTPC,c0b,1,F8,-0.012063154,0.0068672267
DTI,FTPC,c0b,1,F9,-0.0051819202,0.009467414
DTI,FTPC,c0b,1,F10,0.0014228147,0.009556587
DTI,FTPC,c0b,1,F11,-0.007978015,0.0068668695
DTI,FTPC,c0b,1,F12,0.0071041305,0.008629316
DTI,FTPC,c0b,1,F13,0.0138862515,0.008451985
DTI,FTPC,c0b,1,F14,-0.002391689,0.006935536
DTI,FTPC,c0b,1,F15,0.014135984,0.0075545306
DTI,FTPC,c0b,1,F16,0.0022315788,0.006765326
DTI,FTPC,c0b,1,F17,0.009100542,0.006893135
DTI,FTPC,c0b,1,F18,-0.0006488068,0.007100964
DTI,FTPC,c0b,1,F19,-0.0048460783,0.0072447574
DTI,FTPC,c0b,1,F20,0.013747131,0.007923155
DTI,FTPC,c0b,1,F21,-0.0059730555,0.0065987883
DTI,FTPC,c0b,1,F22,0.012468508,0.007424451
DTI,FTPC,c0b,1,F23,0.00033613003,0.0065329224
DTI,FTPC,c0b,1,F24,0.007715443,0.0058566527
DTI,FTPC,c0b,1,F25,0.004340646,0.007663717
DTI,FTPC,c0b,1,F26,-0.014814569,0.010085533
DTI,FTPC,c0b,1,F27,-0.0146280825,0.007478702
DTI,FTPC,c0b,1,F28,0.0014608469,0.0066780215
DTI,FTPC,c0b,1,F29,-0.010394269,0.0071766176
DTI,FTPC,c0b,1,F30,0.008125577,0.0070801787
DTI,FTPC,c0b,1,F31,0.012960824,0.006849325
DTI,FTPC,c0b,1,F32,0.008987335,0.006606033
DTI,FTPC,c0b,1,F33,-0.0051794304,0.0058041513
DTI,FTPC,c0b,1,F34,-0.009925738,0.007232015
DTI,FTPC,c0b,1,F35,-0.011211297,0.0059251715
DTI,FTPC,c0b,1,F36,0.01012309,0.006771125
DTI,FTPC,c0b,1,F37,0.009171967,0.0070368284
DTI,FTPC,c0b,1,F38,-0.0030517944,0.0065737073
DTI,FTPC,c0b,1,F39,0.011402767,0.006797039
DTI,FTPC,c0b,1,F40,0.0026535336,0.0065842643
DTI,FTPC,c0b,1,F41,-0.0025368987,0.0069742273
DTI,FTPC,c0b,1,F42,0.005444035,0.0061520347
DTI,FTPC,c0b,1,F43,-0.006674804,0.0072975275
DTI,FTPC,c0b,1,F44,0.0011769829,0.008731311
DTI,FTPC,c0b,1,F45,0.0035298087,0.0068078157
DTI,FTPC,c0b,1,F46,0.0052312687,0.006950886
DTI,FTPC,c0b,1,F47,-0.008093938,0.0074991
DTI,FTPC,c0b,1,F48,-0.00049186335,0.0065531866
DTI,FTPC,c0b,1,F49,-0.016530866,0.008541158
DTI,FTPC,c0b,1,F50,-0.02597201,0.00943534
DTI,FTPC,c0b,1,F51,0.00703185,0.00641622
DTI,FTPC,c0b,1,F52,0.013249394,0.007088152
DTI,FTPC,c0b,1,F53,0.0017626836,0.007087452
DTI,FTPC,c0b,1,F54,-0.0009743766,0.007737793
DTI,FTPC,c0b,1,F55,0.0012008741,0.008111088
DTI,FTPC,c0b,1,F56,-0.00011687265,0.0074105645
DTI,FTPC,c0b,1,F57,0.019813556,0.007874422
DTI,FTPC,c0b,1,F58,0.0057528764,0.0074482798
DTI,FTPC,c0b,1,F59,0.008341378,0.008031888
DTI,FTPC,c0b,1,F60,-0.0018397395,0.006697194
DTI,FTPC,c0b,1,F61,0.01741774,0.010695471
DTI,FTPC,c0b,1,F62,-0.011464394,0.008791295
DTI,FTPC,c0b,1,F63,0.0017588502,0.0061994246
DTI,FTPC,c0b,1,F64,-0.0039875894,0.0072685494
DTI,FTPC,c0b,1,F65,0.00055654807,0.006598537
DTI,FTPC,c0b,1,F66,0.0031025822,0.0072175507
DTI,FTPC,c0b,1,F67,-0.012714211,0.0073724235
DTI,FTPC,c0b,1,F68,-0.0009185223,0.0063864565
DTI,FTPC,c0b,1,F69,-0.0013444022,0.0062772436
DTI,FTPC,c0b,1,F70,-0.0011043284,0.0075483755
DTI,FTPC,c0b,1,F71,-0.008207332,0.0072459173
DTI,FTPC,c0b,1,F72,-0.0031295952,0.0069720284
DTI,FTPC,c0b,1,F73,-0.0041804696,0.008103132
DTI,FTPC,c0b,1,F74,0.015253152,0.006937973
DTI,FTPC,c0b,1,F75,-0.0074842293,0.0066014635
DTI,FTPC,c0b,1,F76,0.014574291,0.0076370817
DTI,FTPC,c0b,1,F77,0.0052417438,0.007009558
DTI,FTPC,c0b,1,F78,-0.0030234016,0.0075192438
DTI,FTPC,c0b,1,F79,0.011318201,0.006581623
DTI,FTPC,c0b,1,F80,0.016759247,0.009998775
DTI,FTPC,c0b,1,F81,0.004209859,0.0073938365
DTI,FTPC,c0b,1,F82,0.0059163487,0.007428323
DTI,FTPC,c0b,1,F83,-0.00010887794,0.006706673
DTI,FTPC,c0b,1,F84,0.012423976,0.011382558
DTI,FTPC,c0b,1,F85,-0.018645238,0.0072576297
DTI,FTPC,c0b,1,F86,-0.02729318,0.0079535125
DTI,FTPC,c0b,1,F87,-0.0069541093,0.0071490426
DTI,FTPC,c0b,1,F88,0.014262915,0.0070271483
DTI,FTPC,c0b,1,F89,-0.011722718,0.007969783
DTI,FTPC,c0b,1,F90,0.003955201,0.0064733415
DTI,FTPC,c0b,1,F91,-0.004849218,0.006646927
DTI,FTPC,c0b,1,F92,-0.013204115,0.007853725
DTI,FTPC,c0b,1,F93,-0.00044405257,0.00625775
DTI,FTPC,c0b,1,F94,-0.0038667913,0.006806867
DTI,FTPC,c0b,1,F95,0.008718285,0.0073646395
DTI,FTPC,c0b,1,F96,0.004412663,0.0061970977
DTI,FTPC,c0b,1,F97,-0.0052272994,0.006924117
DTI,FTPC,c0b,1,F98,0.0014125195,0.006426035
DTI,FTPC,c0b,1,F99,-0.0033239685,0.007170623
DTI,FTPC,c0b,1,F100,-0.0013767782,0.006617779
DTI,FTPC,c0b,1,F101,-0.0031629582,0.007523102
DTI,FTPC,c0b,1,F102,0.014752604,0.0074671134
DTI,FTPC,c0b,1,F103,0.004547853,0.007365733
DTI,FTPC,c0b,1,F104,-0.001921455,0.0065872124
DTI,FTPC,c0b,1,F105,0.004458498,0.006937198
DTI,FTPC,c0b,1,F106,0.0017771746,0.007261967
DTI,FTPC,c0b,1,F107,-0.010089834,0.008487492
DTI,FTPC,c0b,1,F108,0.008158289,0.006199208
DTI,FTPC,c0b,1,F109,0.016167508,0.008804202
DTI,FTPC,c0b,1,F110,-0.0035445548,0.006453234
DTI,FTPC,c0b,1,F111,0.011476161,0.0075046434
DTI,FTPC,c0b,1,F112,-0.013859694,0.007991862
DTI,FTPC,c0b,1,F113,0.0011646667,0.0070840465
DTI,FTPC,c0b,1,F114,-0.016735706,0.007719709
DTI,FTPC,c0b,1,F115,-0.009664216,0.007224044
DTI,FTPC,c0b,1,F116,0.006334921,0.007910055
DTI,FTPC,c0b,1,F117,0.0012078742,0.0062772315
DTI,FTPC,c0b,1,F118,-0.0034967074,0.008010239
DTI,FTPC,c0b,1,F119,-0.001908255,0.006169844
DTI,FTPC,c0b,1,F120,0.004858669,0.008320822
DTI,FTPC,c0b,1,F121,0.010075768,0.0071423943
DTI,FTPC,c0b,1,F122,-0.009073483,0.008170928
DTI,FTPC,c0b,1,F123,0.01098939,0.006284301
DTI,FTPC,c0b,1,F124,0.0052134795,0.0075001437
DTI,FTPC,c0b,1,F125,0.0069232592,0.0061037643
DTI,FTPC,c0b,1,F126,-0.007898431,0.0077817678
DTI,FTPC,c0b,1,F127,-0.010938417,0.0075133117
DTI,FTPC,c0b,1,F128,-0.0049696714,0.007547412
DTI,FTPC,c0b,1,F129,0.010096936,0.010045595
DTI,FTPC,c0b,1,F130,0.0021832448,0.0062410245
DTI,FTPC,c0b,1,F131,0.012436537,0.0070644272
DTI,FTPC,c0b,1,F132,0.0032858232,0.00715641
DTI,FTPC,c0b,1,F133,0.0029467861,0.007062117
DTI,FTPC,c0b,1,F134,-0.011145068,0.007993245
DTI,FTPC,c0b,1,F135,0.0027504242,0.006628409
DTI,FTPC,c0b,1,F136,0.02223198,0.007659867
DTI,FTPC,c0b,1,F137,-0.012737514,0.008732637
DTI,FTPC,c0b,1,F138,-0.008226193,0.007266516
DTI,FTPC,c0b,1,F139,0.007949664,0.0072481795
DTI,FTPC,c0b,1,F140,-0.00067859184,0.0075787976
DTI,FTPC,c0b,1,F141,-0.019348867,0.0072542457
DTI,FTPC,c0b,1,F142,0.002807475,0.0074490537
DTI,FTPC,c0b,1,F143,0.01835818,0.0070976084
DTI,FTPC,c0b,1,F144,0.0069416915,0.008095038
DTI,FTPC,c0b,1,F145,0.0021805356,0.0066681514
DTI,FTPC,c0b,1,F146,0.00014842447,0.006975611
DTI,FTPC,c0b,1,F147,-0.0013789175,0.008017203
DTI,FTPC,c0b,1,F148,0.005758319,0.0070672827
DTI,FTPC,c0b,1,F149,-0.0023472586,0.0074500465
DTI,FTPC,c0b,1,F150,-0.005557801,0.006368677
DTI,FTPC,c0b,1,F151,-0.0026178379,0.008666155
DTI,FTPC,c0b,1,F152,-0.015205169,0.009481479
DTI,FTPC,c0b,1,F153,-0.0038795234,0.008801184
DTI,FTPC,c0b,1,F154,-0.0087456815,0.0066720694
DTI,FTPC,c0b,1,F155,0.0013587738,0.00791577
DTI,FTPC,c0b,1,F156,-0.011798378,0.009488594
DTI,FTPC,c0b,1,F157,-0.0017692965,0.00718259
DTI,FTPC,c0b,1,F158,-0.0066591417,0.007142193
DTI,FTPC,c0b,1,F159,-0.009285023,0.007239608
DTI,FTPC,c0b,1,F160,0.008651696,0.0071813995
DTI,FTPC,c0b,1,F161,-0.0069520543,0.006437802
DTI,FTPC,c0b,1,F162,-0.0005132537,0.006486604
DTI,FTPC,c0b,1,F163,-0.013434811,0.0071006054
DTI,FTPC,c0b,1,F164,0.001064517,0.0071154973
DTI,FTPC,c0b,1,F165,0.008511717,0.006372944
DTI,FTPC,c0b,1,F166,-0.0038515753,0.008826912
DTI,FTPC,c0b,1,F167,0.012385392,0.008190506
DTI,FTPC,c0b,1,F168,-0.017030742,0.007666856
DTI,FTPC,c0b,1,F169,0.020334309,0.006571135
DTI,FTPC,c0b,1,T1,0.002383149,0.0063672466
DTI,FTPC,c0b,1,T2,-0.0020369801,0.0073725577
DTI,FTPC,c0b,1,T3,-0.005069977,0.009015332
DTI,FTPC,c0b,1,T4,-0.00030013287,0.007310245
DTI,FTPC,c0b,1,T5,0.0047798967,0.007370318
DTI,FTPC,c0b,1,T6,0.0056590247,0.0076142373
DTI,FTPC,c0b,1,T7,0.00069724803,0.007916116
DTI,FTPC,c0b,1,T8,0.0055842595,0.009599383
DTI,FTPC,c0b,1,T9,0.024821404,0.007822772
DTI,FTPC,c0b,1,T10,0.00011118209,0.0065420945
DTI,FTPC,c0b,1,T11,-0.0108700115,0.007541467
DTI,FTPC,c0b,1,T12,-0.002708351,0.0069235438
DTI,FTPC,c0b,1,C1,-0.0068127145,0.006733265
DTI,FTPC,c0b,1,C2,0.0011497885,0.007941886
DTI,FTPC,c0b,1,C3,-0.012571327,0.008369191
DTI,FTPC,c0b,1,C4,0.007084295,0.0082361465
DTI,FTPC,c0b,1,C5,0.011641557,0.006801678
DTI,FTPC,c0b,1,C6,0.00013023852,0.0065069646
DTI,FTPC,c0b,1,C7,-0.004134174,0.006085482
DTI,FTPC,c0b,1,C8,0.0026120725,0.007303243
DTI,FTPC,c0b,1,C9,0.0030647225,0.007886987
DTI,FTPC,c0b,1,C10,-0.004750729,0.007103171
DTI,FTPC,c0b,1,C11,0.0012272191,0.0075034443
DTI,FTPC,c0b,1,C12,0.0120146535,0.007434709
DTI,FTPC,c0b,1,C13,-5.114071e-06,0.008271998
DTI,FTPC,c0b,1,C14,-0.007742362,0.00890702
DTI,FTPC,c0b,1,C15,-0.0131969005,0.0076888404
DTI,FTPC,c0b,1,C16,-0.0077423626,0.0066861445
DTI,FTPC,c0b,1,C17,0.0021243184,0.00824969
DTI,FTPC,c0b,1,C18,-0.008377754,0.0067682546
DTI,FTPC,c0b,1,C19,0.0014038635,0.0074559045
DTI,FTPC,c0b,1,C20,0.0032020812,0.0065902793
DTI,FTPC,c0b,1,C21,0.0075350143,0.007122222
DTI,FTPC,c0b,1,C22,-0.0024866848,0.0076597794
DTI,FTPC,c0b,1,C23,0.012151544,0.0069812736
DTI,FTPC,c0b,1,C24,0.0076859174,0.007687869
DTI,FTPC,c0b,1,C25,0.020720834,0.007822689
DTI,FTPC,c0b,1,C26,-0.009445401,0.0068585696
DTI,FTPC,c0b,1,C27,0.0052662813,0.0065215365
DTI,FTPC,c0b,1,C28,-2.3224263e-06,0.0068464144
DTI,FTPC,c0b,1,C29,-0.005033445,0.008071472
DTI,FTPC,c0b,1,C30,-0.0064573837,0.008258763
DTI,FTPC,c0b,1,C31,-0.0074892156,0.009668154
DTI,FTPC,c0b,1,R1,0.01111892,0.007931848
DTI,FTPC,c0b,1,P1,-0.0042384267,0.008286973
DTI,FTPC,c0b,1,P2,-0.004418036,0.007563541
DTI,FTPC,c0b,1,P3,-0.0071571907,0.0069214175
DTI,FTPC,c0b,1,P4,0.0051597077,0.006614205
DTI,FTPC,c0b,1,P5,-0.007857747,0.0073267566
DTI,FTPC,c0b,1,P6,0.013946345,0.00817865
DTI,FTPC,c0b,1,P7,0.0138336485,0.0070089092
DTI,FTPC,c0b,1,P8,0.009650905,0.008258343
DTI,FTPC,c0b,1,P9,-0.005944602,0.006792665
DTI,FTPC,c0b,1,P10,0.015659882,0.006888326
DTI,FTPC,c0b,1,P11,0.007410495,0.006918723
DTI,FTPC,c0b,1,P12,-0.00094510807,0.008165538
DTI,FTPC,c0b,1,P13,0.0062927417,0.007672746
DTI,FTPC,c0b,1,P14,0.004283495,0.0076889764
DTI,FTPC,c0b,1,P15,0.01567879,0.007935667
DTI,FTPC,c0b,1,P16,0.005118398,0.008291354
DTI,FTPC,c0b,1,P17,-0.0045221653,0.0069626234
DTI,FTPC,c0b,1,P18,0.013780445,0.0073631527
DTI,FTPC,c0b,1,P19,0.0014386668,0.0069772108
DTI,FTPC,c0b,1,P20,-0.009271503,0.007691731
DTI,FTPC,c0b,1,P21,-0.011710626,0.0061962493
DTI,FTPC,c0b,1,P22,0.0053180833,0.0066978103
DTI,FTPC,c0b,1,P23,0.0084290905,0.009795616
DTI,FTPC,c0b,1,P24,0.0065594246,0.007815004
DTI,FTPC,c0b,1,P25,-0.001968922,0.0069949008
DTI,FTPC,c0b,1,P26,-0.0012160123,0.0073398193
DTI,FTPC,c0b,1,P27,0.024600971,0.008803841
DTI,FTPC,c0b,1,P28,-0.00038704844,0.0071785813
DTI,FTPC,c0b,1,P29,-0.0053821313,0.0068360204
DTI,FTPC,c0b,1,P30,-0.009010158,0.008929995
DTI,FTPC,c0b,1,P31,0.003969827,0.007960383
DTI,FTPC,c0b,1,P32,-0.007730736,0.0072169043
DTI,FTPC,c0b,1,P33,0.008895924,0.0071319854
DTI,FTPC,c0b,1,P34,-0.008507059,0.0068302946
DTI,FTPC,c0b,1,P35,0.0055779153,0.006627783
DTI,FTPC,c0b,1,P36,0.010837638,0.00771743
DTI,FTPC,c0b,1,P37,-0.011089242,0.0070098117
DTI,FTPC,c0b,1,P38,-0.0077609327,0.007534074
DTI,FTPC,c0b,1,P39,-0.008524753,0.007825799
DTI,FTPC,c0b,1,P40,0.007631386,0.008576707
DTI,FTPC,c0b,1,P41,0.007881882,0.008215258
DTI,FTPC,c0b,1,P42,0.0032339655,0.007773104
DTI,FTPC,c0b,1,P43,-0.009395727,0.0074069304
DTI,FTPC,c0b,1,P44,0.0020088395,0.008165313
DTI,FTPC,c0b,1,P45,0.0017827402,0.008052463
DTI,FTPC,c0b,1,P46,-0.0051610195,0.0066514355
DTI,FTPC,c0b,1,P47,-0.0064075068,0.0071216556
DTI,FTPC,c0b,1,P48,0.00015942368,0.007330511
DTI,FTPC,c0b,1,P49,-0.0058255056,0.0068611903
