Data Type,Subset Type,Target,Outer Fold,Feature,Mean Gradient,Std Gradient
DTI,FTP,c0b,3,F1,0.0020116156,0.0072064903
DTI,FTP,c0b,3,F2,0.009646449,0.008069921
DTI,FTP,c0b,3,F3,-0.001953674,0.008842688
DTI,FTP,c0b,3,F4,-0.013746217,0.009695042
DTI,FTP,c0b,3,F5,-0.0032494047,0.008328601
DTI,FTP,c0b,3,F6,-0.015782971,0.007827264
DTI,FTP,c0b,3,F7,0.0025153493,0.009235565
DTI,FTP,c0b,3,F8,-0.005712774,0.010015579
DTI,FTP,c0b,3,F9,-0.0003319008,0.007620838
DTI,FTP,c0b,3,F10,-0.0059801894,0.0077805514
DTI,FTP,c0b,3,F11,0.008033291,0.0070283106
DTI,FTP,c0b,3,F12,-0.0033738427,0.0076495614
DTI,FTP,c0b,3,F13,-0.006400298,0.008415927
DTI,FTP,c0b,3,F14,0.0044523464,0.0077908374
DTI,FTP,c0b,3,F15,0.016094668,0.010544849
DTI,FTP,c0b,3,F16,0.0038490228,0.007955048
DTI,FTP,c0b,3,F17,0.012362627,0.0074856454
DTI,FTP,c0b,3,F18,-0.0060875523,0.009244165
DTI,FTP,c0b,3,F19,0.008652736,0.007924297
DTI,FTP,c0b,3,F20,0.012575282,0.007299696
DTI,FTP,c0b,3,F21,0.0019621341,0.007106698
DTI,FTP,c0b,3,F22,0.02401005,0.008696127
DTI,FTP,c0b,3,F23,-0.0009870515,0.007971373
DTI,FTP,c0b,3,F24,0.004029052,0.007844987
DTI,FTP,c0b,3,F25,-0.002098606,0.008152912
DTI,FTP,c0b,3,F26,-0.010633379,0.008898387
DTI,FTP,c0b,3,F27,0.0060321577,0.0072090426
DTI,FTP,c0b,3,F28,-0.010476936,0.0088814255
DTI,FTP,c0b,3,F29,-0.0048726927,0.0073937997
DTI,FTP,c0b,3,F30,0.016357942,0.008943056
DTI,FTP,c0b,3,F31,0.015291648,0.009004764
DTI,FTP,c0b,3,F32,0.011714845,0.007818145
DTI,FTP,c0b,3,F33,-0.015900988,0.009145054
DTI,FTP,c0b,3,F34,-0.003937532,0.007871484
