Data Type,Subset Type,Target,Outer Fold,Feature,Mean Gradient,Std Gradient
DTI,FTC,c2b,3,F1,-0.0013575291,0.009178162
DTI,FTC,c2b,3,F2,0.0023034108,0.009332447
DTI,FTC,c2b,3,F3,0.0036867084,0.009308968
DTI,FTC,c2b,3,F4,-0.017545395,0.010077014
DTI,FTC,c2b,3,F5,-0.001262009,0.008387817
DTI,FTC,c2b,3,F6,0.0029559555,0.009392609
DTI,FTC,c2b,3,F7,-0.016821202,0.010291184
DTI,FTC,c2b,3,F8,0.0047542443,0.010866712
DTI,FTC,c2b,3,F9,-0.014216557,0.009682336
DTI,FTC,c2b,3,F10,-0.003144348,0.007810992
DTI,FTC,c2b,3,F11,-0.012625703,0.008930323
DTI,FTC,c2b,3,F12,0.0042760097,0.008769347
DTI,FTC,c2b,3,F13,0.014860027,0.009271189
DTI,FTC,c2b,3,F14,0.013779952,0.010536326
DTI,FTC,c2b,3,F15,0.03182683,0.011386498
DTI,FTC,c2b,3,F16,0.008041303,0.009350531
DTI,FTC,c2b,3,F17,0.02086282,0.0098983925
DTI,FTC,c2b,3,F18,-0.00011304555,0.008707777
DTI,FTC,c2b,3,F19,0.0025583303,0.0092778085
DTI,FTC,c2b,3,F20,0.0075418684,0.00828151
DTI,FTC,c2b,3,F21,-0.004698867,0.007690383
DTI,FTC,c2b,3,F22,0.023079408,0.01325837
DTI,FTC,c2b,3,F23,0.008049625,0.00842039
DTI,FTC,c2b,3,F24,0.0030218447,0.009940701
DTI,FTC,c2b,3,F25,-0.0023518798,0.009534934
DTI,FTC,c2b,3,F26,-0.0011449038,0.011673436
DTI,FTC,c2b,3,F27,-0.0011853699,0.009310097
DTI,FTC,c2b,3,F28,-0.012558482,0.009350268
DTI,FTC,c2b,3,F29,-0.0122927865,0.012170163
DTI,FTC,c2b,3,F30,0.0011385006,0.008177703
DTI,FTC,c2b,3,F31,0.022707734,0.009173911
DTI,FTC,c2b,3,F32,0.01457118,0.011793411
DTI,FTC,c2b,3,F33,-0.008878008,0.009851322
DTI,FTC,c2b,3,F34,0.004029709,0.009673969
DTI,FTC,c2b,3,F35,0.005514557,0.007963265
DTI,FTC,c2b,3,F36,0.019748898,0.008929273
DTI,FTC,c2b,3,F37,0.018150477,0.011320604
DTI,FTC,c2b,3,F38,-0.00087993493,0.008262432
DTI,FTC,c2b,3,F39,0.010432937,0.012428403
DTI,FTC,c2b,3,F40,-0.0089267995,0.00813674
DTI,FTC,c2b,3,F41,-0.008283128,0.008088928
DTI,FTC,c2b,3,F42,0.00026823522,0.008388006
DTI,FTC,c2b,3,F43,0.002731282,0.011098738
DTI,FTC,c2b,3,F44,0.0018359553,0.0093535315
DTI,FTC,c2b,3,F45,0.0023108409,0.0090435855
DTI,FTC,c2b,3,F46,0.016782876,0.010199787
DTI,FTC,c2b,3,F47,0.00040850794,0.009290501
DTI,FTC,c2b,3,F48,0.0044725346,0.008435253
DTI,FTC,c2b,3,F49,-0.01637332,0.010243096
DTI,FTC,c2b,3,F50,-0.023614123,0.010123849
DTI,FTC,c2b,3,F51,-0.00033969127,0.008897451
DTI,FTC,c2b,3,F52,0.016608503,0.008470795
DTI,FTC,c2b,3,F53,0.0074522537,0.00976843
DTI,FTC,c2b,3,F54,-0.007381285,0.009697527
DTI,FTC,c2b,3,F55,-0.0015730595,0.009018083
DTI,FTC,c2b,3,F56,-0.008372708,0.008632203
DTI,FTC,c2b,3,F57,0.02036113,0.009670731
DTI,FTC,c2b,3,F58,-0.006465843,0.0084674405
DTI,FTC,c2b,3,F59,-0.0028181993,0.010090431
DTI,FTC,c2b,3,F60,0.02085119,0.0106085
DTI,FTC,c2b,3,F61,0.031842805,0.01058025
DTI,FTC,c2b,3,F62,-0.002868818,0.010061079
DTI,FTC,c2b,3,F63,-0.00416835,0.008512003
DTI,FTC,c2b,3,F64,-0.00677134,0.01025382
DTI,FTC,c2b,3,F65,0.017259272,0.009673671
DTI,FTC,c2b,3,F66,0.0066245315,0.008669897
DTI,FTC,c2b,3,F67,-0.014080855,0.008301758
DTI,FTC,c2b,3,F68,-0.005720457,0.008305198
DTI,FTC,c2b,3,F69,-0.010315628,0.008504123
DTI,FTC,c2b,3,F70,-0.0010897808,0.008732528
DTI,FTC,c2b,3,F71,0.010255401,0.009928591
DTI,FTC,c2b,3,F72,0.010646275,0.009599299
DTI,FTC,c2b,3,F73,0.0157666,0.011617149
DTI,FTC,c2b,3,F74,0.008249154,0.008900225
DTI,FTC,c2b,3,F75,-0.0011823758,0.008234889
