Data Type,Subset Type,Target,Feature,Mean_Gradient,Std_Gradient,Abs_Mean_Gradient
DTI,FTC,c2b,T9,0.027899081799999996,0.00966063354,0.027899081799999996
DTI,FTC,c2b,F61,0.0275503756,0.0096183213,0.0275503756
DTI,FTC,c2b,F15,0.021398767800000003,0.0098661214,0.021398767800000003
DTI,FTC,c2b,F86,-0.0207546484,0.009425644899999999,0.0207546484
DTI,FTC,c2b,F114,-0.020703912400000003,0.0090559086,0.020703912400000003
DTI,FTC,c2b,C27,0.019809996200000003,0.0091560891,0.019809996200000003
DTI,FTC,c2b,F109,0.0195232898,0.008864469980000001,0.0195232898
DTI,FTC,c2b,F122,-0.0193190108,0.0097550761,0.0193190108
DTI,FTC,c2b,F4,-0.01884336092,0.00990763266,0.01884336092
DTI,FTC,c2b,F50,-0.018648185,0.0103202654,0.018648185
DTI,FTC,c2b,F141,-0.0182402218,0.0087272385,0.0182402218
DTI,FTC,c2b,F22,0.018096525199999998,0.0101561828,0.018096525199999998
DTI,FTC,c2b,F156,-0.0177205062,0.009304875,0.0177205062
DTI,FTC,c2b,F17,0.0173700876,0.0088968492,0.0173700876
DTI,FTC,c2b,F100,0.0173452254,0.0095854922,0.0173452254
DTI,FTC,c2b,F85,-0.01724938774,0.0090368763,0.01724938774
DTI,FTC,c2b,F37,0.017220978,0.00993011138,0.017220978
DTI,FTC,c2b,F111,0.017195579199999998,0.0088876382,0.017195579199999998
DTI,FTC,c2b,F148,0.0164423264,0.008769742,0.0164423264
DTI,FTC,c2b,F36,0.01626195946,0.0088607029,0.01626195946
DTI,FTC,c2b,F57,0.0162300052,0.00881587768,0.0162300052
DTI,FTC,c2b,F115,-0.0161473863,0.008630467999999999,0.0161473863
DTI,FTC,c2b,F94,-0.0159225004,0.009286453220000001,0.0159225004
DTI,FTC,c2b,C23,0.015134629799999999,0.0088541691,0.015134629799999999
DTI,FTC,c2b,F119,0.0149238824,0.0092725793,0.0149238824
DTI,FTC,c2b,F168,-0.014706317900000002,0.008418736460000001,0.014706317900000002
DTI,FTC,c2b,F112,-0.0147052755,0.00943129496,0.0147052755
DTI,FTC,c2b,F14,0.0140669878,0.00940302472,0.0140669878
DTI,FTC,c2b,T12,0.0138314234,0.008856992800000001,0.0138314234
DTI,FTC,c2b,F169,0.013790430440000001,0.00813033636,0.013790430440000001
DTI,FTC,c2b,F26,-0.01368542616,0.0099776018,0.01368542616
DTI,FTC,c2b,C14,-0.01322801214,0.0098011193,0.01322801214
DTI,FTC,c2b,F103,0.01296253664,0.008989458320000001,0.01296253664
DTI,FTC,c2b,F52,0.012946319620000002,0.00846597892,0.012946319620000002
DTI,FTC,c2b,F31,0.01285679712,0.00786523798,0.01285679712
DTI,FTC,c2b,F27,-0.01284454758,0.008613699999999998,0.01284454758
DTI,FTC,c2b,F84,0.0127855092,0.0088202746,0.0127855092
DTI,FTC,c2b,F144,0.012621472919999998,0.0082124334,0.012621472919999998
DTI,FTC,c2b,F13,0.01254760878,0.00897459174,0.01254760878
DTI,FTC,c2b,F128,-0.012489682399999999,0.00858596086,0.012489682399999999
DTI,FTC,c2b,F3,-0.012288280920000002,0.0081492852,0.012288280920000002
DTI,FTC,c2b,F32,0.01211058894,0.008718164419999999,0.01211058894
DTI,FTC,c2b,F29,-0.012059956739999999,0.01022582134,0.012059956739999999
DTI,FTC,c2b,F165,0.011997342,0.00939007674,0.011997342
DTI,FTC,c2b,F136,0.011963459479999999,0.009297594959999999,0.011963459479999999
DTI,FTC,c2b,F46,0.01195316166,0.009070461200000001,0.01195316166
DTI,FTC,c2b,F96,0.0117315799,0.0083873534,0.0117315799
DTI,FTC,c2b,F54,-0.011630744600000001,0.0090499977,0.011630744600000001
