Data Type,Subset Type,Target,Feature,Mean_Gradient,Std_Gradient,Abs_Mean_Gradient
DTI,FTPC,c2b,F61,0.0214399672,0.0079883889,0.0214399672
DTI,FTPC,c2b,T9,0.0209457398,0.00758499854,0.0209457398
DTI,FTPC,c2b,F114,-0.0205962638,0.007535901940000001,0.0205962638
DTI,FTPC,c2b,F86,-0.0203712838,0.0084578706,0.0203712838
DTI,FTPC,c2b,P120,0.018888692,0.00832052062,0.018888692
DTI,FTPC,c2b,P65,0.0188697432,0.00790539174,0.0188697432
DTI,FTPC,c2b,F22,0.017843840399999998,0.0080380506,0.017843840399999998
DTI,FTPC,c2b,P103,-0.017562321,0.0079162543,0.017562321
DTI,FTPC,c2b,P23,0.0175472228,0.007611772960000001,0.0175472228
DTI,FTPC,c2b,F17,0.0173848868,0.008087582079999999,0.0173848868
DTI,FTPC,c2b,P126,0.0168738496,0.00744355472,0.0168738496
DTI,FTPC,c2b,P6,0.0168512979,0.00736538378,0.0168512979
DTI,FTPC,c2b,F128,-0.016718522399999998,0.00770631046,0.016718522399999998
DTI,FTPC,c2b,F4,-0.0164119566,0.0081041338,0.0164119566
DTI,FTPC,c2b,P27,0.0161039599,0.008436384199999999,0.0161039599
DTI,FTPC,c2b,F3,-0.016001752,0.007251632619999999,0.016001752
DTI,FTPC,c2b,P104,0.015494852600000001,0.00728769908,0.015494852600000001
DTI,FTPC,c2b,P78,0.0151907342,0.007995654960000001,0.0151907342
DTI,FTPC,c2b,F85,-0.015067103200000001,0.00829627824,0.015067103200000001
DTI,FTPC,c2b,P84,0.0148675494,0.00741718556,0.0148675494
DTI,FTPC,c2b,F89,-0.0148313484,0.007306976379999999,0.0148313484
DTI,FTPC,c2b,P33,0.01480605126,0.00793991346,0.01480605126
DTI,FTPC,c2b,F122,-0.0148033636,0.007406580899999999,0.0148033636
DTI,FTPC,c2b,P51,-0.014518474600000001,0.00732611304,0.014518474600000001
DTI,FTPC,c2b,F94,-0.014268745999999999,0.00729172512,0.014268745999999999
DTI,FTPC,c2b,C27,0.013913771,0.00761530522,0.013913771
DTI,FTPC,c2b,F50,-0.01391116708,0.0080430585,0.01391116708
DTI,FTPC,c2b,F141,-0.013829464,0.00762800808,0.013829464
DTI,FTPC,c2b,F102,0.0133378256,0.007663596579999999,0.0133378256
DTI,FTPC,c2b,F115,-0.01319362348,0.00717227074,0.01319362348
DTI,FTPC,c2b,P59,0.01318467344,0.00755540178,0.01318467344
DTI,FTPC,c2b,F62,-0.012705545600000001,0.006750486240000001,0.012705545600000001
DTI,FTPC,c2b,P18,0.01234116146,0.0075580204,0.01234116146
DTI,FTPC,c2b,P114,0.0122743562,0.007683631539999999,0.0122743562
DTI,FTPC,c2b,P92,0.01195894464,0.00777269912,0.01195894464
DTI,FTPC,c2b,P75,0.0119510844,0.00691596508,0.0119510844
DTI,FTPC,c2b,F26,-0.0119051242,0.007468243799999999,0.0119051242
DTI,FTPC,c2b,C14,-0.0118404254,0.0086024423,0.0118404254
DTI,FTPC,c2b,F79,0.011727728560000001,0.007100659,0.011727728560000001
DTI,FTPC,c2b,F92,-0.01162737968,0.0070889675,0.01162737968
DTI,FTPC,c2b,F13,0.011531370879999999,0.007115194280000001,0.011531370879999999
DTI,FTPC,c2b,F84,0.01136702154,0.0085872748,0.01136702154
DTI,FTPC,c2b,F134,-0.01129770746,0.00707342152,0.01129770746
DTI,FTPC,c2b,P100,0.01129267964,0.006998875660000001,0.01129267964
DTI,FTPC,c2b,F36,0.01113240026,0.00664061274,0.01113240026
DTI,FTPC,c2b,F137,-0.0111034324,0.006861476399999999,0.0111034324
DTI,FTPC,c2b,F39,0.011073256200000001,0.006995447639999999,0.011073256200000001
