Data Type,Subset Type,Target,Feature,Mean_Gradient,Std_Gradient,Abs_Mean_Gradient
DTI,FTP,c2b,T9,0.0269003076,0.009544601,0.0269003076
DTI,FTP,c2b,F61,0.0268000142,0.008830885399999999,0.0268000142
DTI,FTP,c2b,F86,-0.0254106,0.009052841,0.0254106
DTI,FTP,c2b,F22,0.025043389,0.0090028418,0.025043389
DTI,FTP,c2b,P126,0.0221991358,0.00843267992,0.0221991358
DTI,FTP,c2b,P104,0.0219105836,0.008920862900000001,0.0219105836
DTI,FTP,c2b,F156,-0.021843451,0.00889926232,0.021843451
DTI,FTP,c2b,P120,0.0207262214,0.009908416,0.0207262214
DTI,FTP,c2b,P6,0.0204726222,0.0091626688,0.0204726222
DTI,FTP,c2b,F4,-0.0202294158,0.00922338692,0.0202294158
DTI,FTP,c2b,F114,-0.0199398622,0.008428264000000001,0.0199398622
DTI,FTP,c2b,P65,0.0198518889,0.0085183779,0.0198518889
DTI,FTP,c2b,F26,-0.0194405158,0.0084229248,0.0194405158
DTI,FTP,c2b,F50,-0.0193968808,0.00867676756,0.0193968808
DTI,FTP,c2b,P57,0.0191088704,0.0076660311799999995,0.0191088704
DTI,FTP,c2b,P51,-0.0184480748,0.0081579544,0.0184480748
DTI,FTP,c2b,P114,0.018252567,0.008543563600000002,0.018252567
DTI,FTP,c2b,F109,0.0180567234,0.0083707794,0.0180567234
DTI,FTP,c2b,P103,-0.0177389614,0.010364935,0.0177389614
DTI,FTP,c2b,F128,-0.017583751,0.0083877531,0.017583751
DTI,FTP,c2b,F17,0.0174341441,0.0087866996,0.0174341441
DTI,FTP,c2b,F168,-0.01707688946,0.007999711980000001,0.01707688946
DTI,FTP,c2b,F94,-0.0169352833,0.0085576728,0.0169352833
DTI,FTP,c2b,F15,0.016885730999999998,0.00897748274,0.016885730999999998
DTI,FTP,c2b,P23,0.0167753808,0.0085691676,0.0167753808
DTI,FTP,c2b,P33,0.016600324,0.008177887319999999,0.016600324
DTI,FTP,c2b,P112,-0.0162393105,0.00841293848,0.0162393105
DTI,FTP,c2b,P95,0.0159986668,0.008665598200000001,0.0159986668
DTI,FTP,c2b,P84,0.0158320338,0.008966092,0.0158320338
DTI,FTP,c2b,F57,0.0158033194,0.0079022791,0.0158033194
DTI,FTP,c2b,F122,-0.015600899400000002,0.0085197297,0.015600899400000002
DTI,FTP,c2b,P78,0.01558822376,0.00866464614,0.01558822376
DTI,FTP,c2b,F36,0.0154985024,0.008191967599999999,0.0154985024
DTI,FTP,c2b,P27,0.0152882876,0.009720292,0.0152882876
DTI,FTP,c2b,F89,-0.015080632,0.00849443942,0.015080632
DTI,FTP,c2b,F27,-0.015019227000000001,0.0093026125,0.015019227000000001
DTI,FTP,c2b,P92,0.01477549832,0.0084860518,0.01477549832
DTI,FTP,c2b,F87,-0.0145338732,0.00806480998,0.0145338732
DTI,FTP,c2b,F37,0.0144405128,0.008443764400000001,0.0144405128
DTI,FTP,c2b,F13,0.014416320399999998,0.0083975458,0.014416320399999998
DTI,FTP,c2b,F80,0.013559178759999999,0.00814180692,0.013559178759999999
DTI,FTP,c2b,P100,0.013314812200000001,0.008642215319999999,0.013314812200000001
DTI,FTP,c2b,P18,0.013224497400000002,0.009062216840000002,0.013224497400000002
DTI,FTP,c2b,F148,0.013212381079999998,0.00842925092,0.013212381079999998
DTI,FTP,c2b,P91,0.01312500472,0.00849467944,0.01312500472
DTI,FTP,c2b,F152,-0.01308986986,0.0090449954,0.01308986986
DTI,FTP,c2b,F137,-0.01266294764,0.0086732822,0.01266294764
DTI,FTP,c2b,F49,-0.012588835000000001,0.0090057456,0.012588835000000001
DTI,FTP,c2b,F100,0.012501480139999998,0.00860445532,0.012501480139999998
DTI,FTP,c2b,T12,0.012395261199999999,0.0084346597,0.012395261199999999
DTI,FTP,c2b,F66,0.0123696557,0.00800223028,0.0123696557
DTI,FTP,c2b,F34,-0.012267040400000002,0.00840133378,0.012267040400000002
