Data Type,Subset Type,Target,Outer Fold,Feature,Mean Gradient,Std Gradient
DTI,FTC,cbcl,1,F1,0.004965002,0.00451482
DTI,FTC,cbcl,1,F2,-3.6953687e-05,0.0048834407
DTI,FTC,cbcl,1,F3,0.0009653124,0.0046387077
DTI,FTC,cbcl,1,F4,0.0045985556,0.0048159603
DTI,FTC,cbcl,1,F5,0.00094806764,0.004486542
DTI,FTC,cbcl,1,F6,-0.0011934056,0.004218071
DTI,FTC,cbcl,1,F7,0.0002935951,0.0058316486
DTI,FTC,cbcl,1,F8,0.005637911,0.0048549133
DTI,FTC,cbcl,1,F9,0.0019499025,0.0049807485
DTI,FTC,cbcl,1,F10,0.0006974112,0.005114368
DTI,FTC,cbcl,1,F11,-0.0028808112,0.0049643344
DTI,FTC,cbcl,1,F12,-0.0011937367,0.005245853
DTI,FTC,cbcl,1,F13,-0.0025425013,0.005507583
DTI,FTC,cbcl,1,F14,0.0014725171,0.004604323
DTI,FTC,cbcl,1,F15,-1.6688153e-05,0.005435759
DTI,FTC,cbcl,1,F16,0.0012359142,0.0043124454
DTI,FTC,cbcl,1,F17,-0.0026528614,0.005114395
DTI,FTC,cbcl,1,F18,0.0012612669,0.005463626
DTI,FTC,cbcl,1,F19,0.003899337,0.005018083
DTI,FTC,cbcl,1,F20,-0.0012424769,0.0050527174
DTI,FTC,cbcl,1,F21,-0.0050015603,0.0053296275
DTI,FTC,cbcl,1,F22,-0.0029525522,0.0050053606
DTI,FTC,cbcl,1,F23,-0.00046083677,0.0049256096
DTI,FTC,cbcl,1,F24,-0.0057550124,0.0056434483
DTI,FTC,cbcl,1,F25,-0.0029509473,0.004488984
DTI,FTC,cbcl,1,F26,0.0044913962,0.0052356524
DTI,FTC,cbcl,1,F27,0.00548407,0.0052493857
DTI,FTC,cbcl,1,F28,0.007754077,0.0051514795
DTI,FTC,cbcl,1,F29,-0.0008121985,0.005123233
DTI,FTC,cbcl,1,F30,-0.0026927195,0.005123504
DTI,FTC,cbcl,1,F31,-0.0011524939,0.0047061057
DTI,FTC,cbcl,1,F32,-0.003289579,0.004341888
DTI,FTC,cbcl,1,F33,0.00041537528,0.00488633
DTI,FTC,cbcl,1,F34,0.001401341,0.005553151
DTI,FTC,cbcl,1,F35,-0.004861216,0.004686973
DTI,FTC,cbcl,1,F36,0.0018090144,0.004294892
DTI,FTC,cbcl,1,F37,0.0001088874,0.0052993735
DTI,FTC,cbcl,1,F38,0.0010426701,0.0049420698
DTI,FTC,cbcl,1,F39,-0.0022613674,0.004357844
DTI,FTC,cbcl,1,F40,-0.0014827701,0.004901454
