Data Type,Subset Type,Target,Outer Fold,Feature,Mean Gradient,Std Gradient
DTI,FTPC,cbcl,1,F1,-0.00039600444,0.0046521323
DTI,FTPC,cbcl,1,F2,0.002919217,0.0052992646
DTI,FTPC,cbcl,1,F3,-0.00081611273,0.005355439
DTI,FTPC,cbcl,1,F4,-9.623087e-05,0.004308138
DTI,FTPC,cbcl,1,F5,0.002495496,0.0044312105
DTI,FTPC,cbcl,1,F6,-0.00043308653,0.004767823
DTI,FTPC,cbcl,1,F7,-0.005052671,0.004783049
DTI,FTPC,cbcl,1,F8,-0.0008701357,0.0047052577
DTI,FTPC,cbcl,1,F9,-0.002174998,0.0055779372
DTI,FTPC,cbcl,1,F10,-0.005456501,0.005067815
DTI,FTPC,cbcl,1,F11,-0.0006953975,0.004862819
DTI,FTPC,cbcl,1,F12,0.0017419696,0.004770224
DTI,FTPC,cbcl,1,F13,0.0018101512,0.004382511
DTI,FTPC,cbcl,1,F14,0.00012616838,0.0049042315
DTI,FTPC,cbcl,1,F15,0.0011259286,0.0041495822
DTI,FTPC,cbcl,1,F16,0.005487195,0.0044897306
DTI,FTPC,cbcl,1,F17,-0.004349791,0.0058683897
DTI,FTPC,cbcl,1,F18,-0.0027485152,0.0050170585
DTI,FTPC,cbcl,1,F19,0.002052399,0.0043352256
DTI,FTPC,cbcl,1,F20,-0.0029587708,0.004474582
DTI,FTPC,cbcl,1,F21,-0.0025842749,0.0041719666
DTI,FTPC,cbcl,1,F22,-0.0046314998,0.004835682
DTI,FTPC,cbcl,1,F23,-0.0040651904,0.004848733
DTI,FTPC,cbcl,1,F24,-0.0012617607,0.004197414
DTI,FTPC,cbcl,1,F25,-0.0016426586,0.004461895
DTI,FTPC,cbcl,1,F26,-0.0006817842,0.00435849
DTI,FTPC,cbcl,1,F27,0.007572149,0.0052261013
DTI,FTPC,cbcl,1,F28,0.002147413,0.0050231838
DTI,FTPC,cbcl,1,F29,0.0010096437,0.0046870713
DTI,FTPC,cbcl,1,F30,-0.0009128679,0.005101316
DTI,FTPC,cbcl,1,F31,-0.004770061,0.005132072
DTI,FTPC,cbcl,1,F32,0.0074329074,0.0046236305
DTI,FTPC,cbcl,1,F33,-7.006152e-05,0.004342419
DTI,FTPC,cbcl,1,F34,0.003578871,0.0055765905
DTI,FTPC,cbcl,1,F35,0.005797749,0.00493957
DTI,FTPC,cbcl,1,F36,0.0007848235,0.004357766
DTI,FTPC,cbcl,1,F37,-0.0032424035,0.0048007867
DTI,FTPC,cbcl,1,F38,0.004054439,0.004616429
DTI,FTPC,cbcl,1,F39,-0.0030074092,0.004177529
DTI,FTPC,cbcl,1,F40,0.004676271,0.0044884123
DTI,FTPC,cbcl,1,F41,-0.006487521,0.005270271
DTI,FTPC,cbcl,1,F42,0.0006695991,0.0046810904
DTI,FTPC,cbcl,1,F43,-0.0007018976,0.0048908503
DTI,FTPC,cbcl,1,F44,-0.000845481,0.0047244965
DTI,FTPC,cbcl,1,F45,-0.004583599,0.0050808396
DTI,FTPC,cbcl,1,F46,-0.0038207085,0.004355275
DTI,FTPC,cbcl,1,F47,-0.0014471569,0.005080697
DTI,FTPC,cbcl,1,F48,0.0040674834,0.00524305
DTI,FTPC,cbcl,1,F49,-0.0008257347,0.0042984774
DTI,FTPC,cbcl,1,F50,0.0009856051,0.004469915
DTI,FTPC,cbcl,1,F51,-0.005413798,0.0052624214
DTI,FTPC,cbcl,1,F52,0.00056243484,0.0045871134
DTI,FTPC,cbcl,1,F53,0.0016055151,0.0048331805
