Data Type,Subset Type,Target,Outer Fold,Feature,Mean Gradient,Std Gradient
DTI,FTP,cbcl,5,F1,0.0033068736,0.005019625
DTI,FTP,cbcl,5,F2,0.006836839,0.005864531
DTI,FTP,cbcl,5,F3,0.007411107,0.0057181795
DTI,FTP,cbcl,5,F4,-0.0036812313,0.0049492437
DTI,FTP,cbcl,5,F5,-0.00010645431,0.004886991
DTI,FTP,cbcl,5,F6,0.009898278,0.0054592225
DTI,FTP,cbcl,5,F7,-0.003908235,0.0045190854
DTI,FTP,cbcl,5,F8,-0.00035720738,0.0045346357
DTI,FTP,cbcl,5,F9,0.00011263281,0.005682835
DTI,FTP,cbcl,5,F10,-0.003814681,0.0062269606
DTI,FTP,cbcl,5,F11,-0.0018195116,0.0050571742
DTI,FTP,cbcl,5,F12,0.001676089,0.0053307125
DTI,FTP,cbcl,5,F13,-0.002977007,0.005430369
DTI,FTP,cbcl,5,F14,-0.0013175206,0.004780204
DTI,FTP,cbcl,5,F15,0.0026419258,0.005112408
DTI,FTP,cbcl,5,F16,0.0032006963,0.004791356
DTI,FTP,cbcl,5,F17,-0.004408694,0.006303321
DTI,FTP,cbcl,5,F18,-0.001943652,0.004739913
DTI,FTP,cbcl,5,F19,0.0051442874,0.004605923
DTI,FTP,cbcl,5,F20,-0.0021671357,0.0050929263
DTI,FTP,cbcl,5,F21,-0.0014213361,0.0058028535
DTI,FTP,cbcl,5,F22,0.0021698868,0.004944223
DTI,FTP,cbcl,5,F23,0.000356811,0.0047486885
DTI,FTP,cbcl,5,F24,-0.0039981906,0.005190286
DTI,FTP,cbcl,5,F25,-0.0020420826,0.0048623555
DTI,FTP,cbcl,5,F26,0.0029371756,0.004927217
DTI,FTP,cbcl,5,F27,0.006094254,0.0049368157
DTI,FTP,cbcl,5,F28,0.005148376,0.0052499077
DTI,FTP,cbcl,5,F29,0.009197418,0.0055426233
DTI,FTP,cbcl,5,F30,-0.007434376,0.005078142
DTI,FTP,cbcl,5,F31,-0.0014691632,0.0048280773
DTI,FTP,cbcl,5,F32,-0.0078465715,0.0048708017
DTI,FTP,cbcl,5,F33,0.00089199503,0.0045132283
DTI,FTP,cbcl,5,F34,0.0010701069,0.0049083633
DTI,FTP,cbcl,5,F35,0.002576797,0.0053333812
DTI,FTP,cbcl,5,F36,0.00033504143,0.004812968
DTI,FTP,cbcl,5,F37,0.0019100285,0.004272544
DTI,FTP,cbcl,5,F38,0.0023170726,0.004958655
DTI,FTP,cbcl,5,F39,-0.007145714,0.0056963377
DTI,FTP,cbcl,5,F40,-0.003761195,0.0043539777
DTI,FTP,cbcl,5,F41,-0.0006661065,0.0050626663
DTI,FTP,cbcl,5,F42,0.003491907,0.0045089335
DTI,FTP,cbcl,5,F43,-0.0041355314,0.005142273
DTI,FTP,cbcl,5,F44,-0.002054896,0.0055731097
DTI,FTP,cbcl,5,F45,-0.0021166715,0.005920075
DTI,FTP,cbcl,5,F46,0.0029576437,0.0052661635
DTI,FTP,cbcl,5,F47,0.0017449723,0.004739468
DTI,FTP,cbcl,5,F48,-0.002621084,0.0049230866
DTI,FTP,cbcl,5,F49,0.0059777168,0.004394315
DTI,FTP,cbcl,5,F50,0.0025379797,0.0050097117
DTI,FTP,cbcl,5,F51,-0.0012030222,0.0048175594
DTI,FTP,cbcl,5,F52,-0.0034486023,0.0051991073
DTI,FTP,cbcl,5,F53,0.007631231,0.005628888
DTI,FTP,cbcl,5,F54,0.0030822132,0.004994462
DTI,FTP,cbcl,5,F55,-0.0048645902,0.0054092635
DTI,FTP,cbcl,5,F56,0.0010250217,0.004716159
DTI,FTP,cbcl,5,F57,-0.014833017,0.005985654
DTI,FTP,cbcl,5,F58,-0.0026277232,0.0051290025
DTI,FTP,cbcl,5,F59,-0.0024023617,0.004969433
DTI,FTP,cbcl,5,F60,-0.011478286,0.00505528
DTI,FTP,cbcl,5,F61,0.0034365458,0.004924924
DTI,FTP,cbcl,5,F62,0.004843462,0.0051905247
DTI,FTP,cbcl,5,F63,-0.0057762163,0.005728752
DTI,FTP,cbcl,5,F64,-0.0030319013,0.005441484
DTI,FTP,cbcl,5,F65,-0.0058340444,0.0049515786
DTI,FTP,cbcl,5,F66,-0.002789932,0.0047218753
DTI,FTP,cbcl,5,F67,-0.00451766,0.004961281
DTI,FTP,cbcl,5,F68,-0.0039648535,0.004993841
DTI,FTP,cbcl,5,F69,0.006543001,0.0062666517
DTI,FTP,cbcl,5,F70,-0.00347517,0.0057137543
DTI,FTP,cbcl,5,F71,-0.008093593,0.0049885465
DTI,FTP,cbcl,5,F72,0.0071986634,0.0055291527
DTI,FTP,cbcl,5,F73,0.0025154224,0.006134571
DTI,FTP,cbcl,5,F74,0.0021770117,0.005090204
DTI,FTP,cbcl,5,F75,-0.0037347355,0.0051669013
DTI,FTP,cbcl,5,F76,0.0032687567,0.004879978
DTI,FTP,cbcl,5,F77,-0.002579356,0.0052342084
DTI,FTP,cbcl,5,F78,-2.8948534e-05,0.005436723
DTI,FTP,cbcl,5,F79,-6.11982e-05,0.005213921
DTI,FTP,cbcl,5,F80,0.0010099986,0.0051977253
DTI,FTP,cbcl,5,F81,-0.0024301498,0.004867777
DTI,FTP,cbcl,5,F82,-0.0024090896,0.0052946983
DTI,FTP,cbcl,5,F83,-0.003465307,0.0056144483
DTI,FTP,cbcl,5,F84,-0.0047461935,0.0047318786
DTI,FTP,cbcl,5,F85,0.003483273,0.005083089
DTI,FTP,cbcl,5,F86,0.0028265258,0.0054286215
DTI,FTP,cbcl,5,F87,-0.002115987,0.005572851
DTI,FTP,cbcl,5,F88,0.0030819778,0.0054882932
DTI,FTP,cbcl,5,F89,0.0031213262,0.0048684855
DTI,FTP,cbcl,5,F90,0.0017392513,0.0051609497
DTI,FTP,cbcl,5,F91,-0.0042831115,0.0049901167
DTI,FTP,cbcl,5,F92,0.0054221028,0.0050349087
DTI,FTP,cbcl,5,F93,-0.004357275,0.0055792965
DTI,FTP,cbcl,5,F94,0.0009911807,0.0049875113
DTI,FTP,cbcl,5,F95,-0.0021604686,0.0048431116
DTI,FTP,cbcl,5,F96,0.0010017706,0.005749514
DTI,FTP,cbcl,5,F97,-0.0058764224,0.00548364
DTI,FTP,cbcl,5,F98,0.009140637,0.0050515076
DTI,FTP,cbcl,5,F99,-0.005092675,0.0050953184
DTI,FTP,cbcl,5,F100,0.0028484378,0.005362424
DTI,FTP,cbcl,5,F101,0.0065006223,0.005558658
DTI,FTP,cbcl,5,F102,-0.0054081096,0.005370121
DTI,FTP,cbcl,5,F103,0.002018948,0.005000812
DTI,FTP,cbcl,5,F104,-0.004966332,0.0047788713
DTI,FTP,cbcl,5,F105,0.0011295971,0.0053927866
DTI,FTP,cbcl,5,F106,0.004304429,0.005228648
DTI,FTP,cbcl,5,F107,0.005613167,0.005267148
DTI,FTP,cbcl,5,F108,-0.0038346804,0.0050089075
DTI,FTP,cbcl,5,F109,-0.0032174578,0.0049918937
DTI,FTP,cbcl,5,F110,-8.1025886e-05,0.005278015
DTI,FTP,cbcl,5,F111,-0.0086764,0.005211186
DTI,FTP,cbcl,5,F112,-0.0016074321,0.0055919015
DTI,FTP,cbcl,5,F113,0.006477514,0.0055492073
DTI,FTP,cbcl,5,F114,0.007527968,0.0057755727
DTI,FTP,cbcl,5,F115,0.0063764034,0.0050699157
DTI,FTP,cbcl,5,F116,-0.0016954743,0.004391169
DTI,FTP,cbcl,5,F117,0.004589122,0.005649254
DTI,FTP,cbcl,5,F118,-0.005817986,0.0053587155
DTI,FTP,cbcl,5,F119,-0.0027414293,0.0048365807
DTI,FTP,cbcl,5,F120,0.01349917,0.0054842345
DTI,FTP,cbcl,5,F121,-0.00727665,0.0056516747
DTI,FTP,cbcl,5,F122,0.00024794752,0.0056110723
DTI,FTP,cbcl,5,F123,0.0040760627,0.005357003
DTI,FTP,cbcl,5,F124,0.011164563,0.0050904653
DTI,FTP,cbcl,5,F125,0.0030683244,0.0045172204
DTI,FTP,cbcl,5,F126,0.00015359867,0.0054260665
DTI,FTP,cbcl,5,F127,-0.0016193691,0.005376165
DTI,FTP,cbcl,5,F128,0.0045816344,0.005408869
DTI,FTP,cbcl,5,F129,-0.003704355,0.0053037982
DTI,FTP,cbcl,5,F130,0.0031812903,0.0054058693
DTI,FTP,cbcl,5,F131,-0.0029793852,0.005304065
DTI,FTP,cbcl,5,F132,0.0025288772,0.0055207275
DTI,FTP,cbcl,5,F133,-0.012519857,0.005593634
DTI,FTP,cbcl,5,F134,0.0033063772,0.0049754605
DTI,FTP,cbcl,5,F135,0.00039893904,0.00504969
DTI,FTP,cbcl,5,F136,-0.0054979282,0.0058179754
DTI,FTP,cbcl,5,F137,-0.000224381,0.0048442218
DTI,FTP,cbcl,5,F138,-0.0048344685,0.004652443
DTI,FTP,cbcl,5,F139,-0.0028625182,0.0048558246
DTI,FTP,cbcl,5,F140,-0.00790603,0.006335136
DTI,FTP,cbcl,5,F141,-0.0010002615,0.004910088
DTI,FTP,cbcl,5,F142,-0.0074492856,0.0047685583
DTI,FTP,cbcl,5,F143,-0.006718695,0.0047919755
DTI,FTP,cbcl,5,F144,0.008055346,0.004487658
DTI,FTP,cbcl,5,F145,0.002460148,0.005261542
DTI,FTP,cbcl,5,F146,0.0058801104,0.0052870163
DTI,FTP,cbcl,5,F147,0.0014084887,0.0054214722
DTI,FTP,cbcl,5,F148,0.0038898946,0.005073118
DTI,FTP,cbcl,5,F149,-0.00013598023,0.0049782405
DTI,FTP,cbcl,5,F150,-0.005054037,0.0052324054
DTI,FTP,cbcl,5,F151,0.006975789,0.0067551103
DTI,FTP,cbcl,5,F152,0.008360584,0.0068513453
DTI,FTP,cbcl,5,F153,-0.0075905416,0.0054794988
DTI,FTP,cbcl,5,F154,-0.0011806085,0.0060710013
DTI,FTP,cbcl,5,F155,-0.0068744295,0.0055072745
DTI,FTP,cbcl,5,F156,-0.0046392065,0.004923816
DTI,FTP,cbcl,5,F157,-0.0100713475,0.004956455
DTI,FTP,cbcl,5,F158,-0.0025625885,0.006125289
DTI,FTP,cbcl,5,F159,0.0046512987,0.0049808724
DTI,FTP,cbcl,5,F160,-0.0055497396,0.0051136613
DTI,FTP,cbcl,5,F161,0.0068003745,0.0046815914
DTI,FTP,cbcl,5,F162,0.0008550799,0.005401011
DTI,FTP,cbcl,5,F163,0.004454195,0.0052007306
DTI,FTP,cbcl,5,F164,0.0014156513,0.004286229
DTI,FTP,cbcl,5,F165,0.0011886974,0.004721473
DTI,FTP,cbcl,5,F166,-0.0012576209,0.004817762
DTI,FTP,cbcl,5,F167,-0.0042035487,0.0051308144
DTI,FTP,cbcl,5,F168,0.0025184534,0.004811979
DTI,FTP,cbcl,5,F169,-0.001464604,0.0052750288
DTI,FTP,cbcl,5,T1,-0.007331375,0.005272659
DTI,FTP,cbcl,5,T2,-0.014101234,0.0060353777
DTI,FTP,cbcl,5,T3,0.004988175,0.0050393934
DTI,FTP,cbcl,5,T4,-0.0034145566,0.0053715603
DTI,FTP,cbcl,5,T5,-0.0009575782,0.005496918
DTI,FTP,cbcl,5,T6,0.0050086617,0.0052792737
DTI,FTP,cbcl,5,T7,0.004865465,0.0054187546
DTI,FTP,cbcl,5,T8,0.00083605695,0.00550344
DTI,FTP,cbcl,5,T9,0.0032134263,0.0049418835
DTI,FTP,cbcl,5,T10,0.008531958,0.0056313826
DTI,FTP,cbcl,5,T11,0.002167868,0.005126651
DTI,FTP,cbcl,5,T12,0.0023595437,0.004893084
DTI,FTP,cbcl,5,R1,0.0041487557,0.005247087
DTI,FTP,cbcl,5,P1,0.00673365,0.004884126
DTI,FTP,cbcl,5,P2,-0.006054532,0.0043628826
DTI,FTP,cbcl,5,P3,-0.004746851,0.0047754757
DTI,FTP,cbcl,5,P4,0.0043409015,0.0048951036
DTI,FTP,cbcl,5,P5,-0.00263168,0.0059076156
DTI,FTP,cbcl,5,P6,-0.0024405846,0.0047208085
DTI,FTP,cbcl,5,P7,0.0034138784,0.0053969463
DTI,FTP,cbcl,5,P8,-0.0020941067,0.0058554537
DTI,FTP,cbcl,5,P9,0.00047840257,0.005726048
DTI,FTP,cbcl,5,P10,0.0022240405,0.0046676407
DTI,FTP,cbcl,5,P11,-0.0006390412,0.0047975956
DTI,FTP,cbcl,5,P12,-3.5326506e-05,0.0043252334
DTI,FTP,cbcl,5,P13,-0.0039105406,0.0056673316
DTI,FTP,cbcl,5,P14,-0.0033284929,0.004706588
DTI,FTP,cbcl,5,P15,0.0001645596,0.006050397
DTI,FTP,cbcl,5,P16,0.0010183536,0.0048145684
DTI,FTP,cbcl,5,P17,0.0061733536,0.0051299944
DTI,FTP,cbcl,5,P18,-0.0019866764,0.005043592
