Data Type,Subset Type,Target,Feature,Mean_Gradient,Std_Gradient,Abs_Mean_Gradient
DTI,FTPC,cbcl,F60,-0.00852970296,0.005135731940000001,0.00852970296
DTI,FTPC,cbcl,P92,-0.00851345676,0.00519718206,0.00851345676
DTI,FTPC,cbcl,P40,-0.0078117282199999995,0.00567472726,0.0078117282199999995
DTI,FTPC,cbcl,P102,0.007575931199999999,0.00564081662,0.007575931199999999
DTI,FTPC,cbcl,P78,-0.00691500342,0.00520867138,0.00691500342
DTI,FTPC,cbcl,F124,0.006894717439999999,0.00529094872,0.006894717439999999
DTI,FTPC,cbcl,P53,0.0068090648,0.00497012154,0.0068090648
DTI,FTPC,cbcl,C27,-0.00676698876,0.00526243914,0.00676698876
DTI,FTPC,cbcl,P84,-0.00672795918,0.00528807664,0.00672795918
DTI,FTPC,cbcl,T1,-0.006628934120000001,0.00538017034,0.006628934120000001
DTI,FTPC,cbcl,P61,0.0066063092,0.00540397472,0.0066063092
DTI,FTPC,cbcl,P8,-0.00660260258,0.00497893724,0.00660260258
DTI,FTPC,cbcl,C9,-0.006397645320000001,0.0051322782,0.006397645320000001
DTI,FTPC,cbcl,P101,0.0062748087059999996,0.00492078358,0.0062748087059999996
DTI,FTPC,cbcl,C4,-0.0062205796,0.00486937448,0.0062205796
DTI,FTPC,cbcl,P19,-0.00621332954,0.00524390936,0.00621332954
DTI,FTPC,cbcl,F17,-0.0060794241199999995,0.005696901860000001,0.0060794241199999995
DTI,FTPC,cbcl,P43,-0.006054189,0.00483555942,0.006054189
DTI,FTPC,cbcl,P95,0.005985770919999999,0.00518891262,0.005985770919999999
DTI,FTPC,cbcl,F128,0.00593106402,0.0050491428,0.00593106402
DTI,FTPC,cbcl,F120,0.005905134859999999,0.00517811268,0.005905134859999999
DTI,FTPC,cbcl,F101,0.00588630972,0.00515196704,0.00588630972
DTI,FTPC,cbcl,T3,0.005847264699999999,0.0052885054,0.005847264699999999
DTI,FTPC,cbcl,P123,-0.005846948691999999,0.00530065232,0.005846948691999999
DTI,FTPC,cbcl,P30,-0.00579612414,0.00492541238,0.00579612414
DTI,FTPC,cbcl,F27,0.00573349502,0.00499887554,0.00573349502
DTI,FTPC,cbcl,C11,-0.00569876422,0.00512626106,0.00569876422
DTI,FTPC,cbcl,P44,-0.0056659287000000004,0.00519737494,0.0056659287000000004
DTI,FTPC,cbcl,T2,-0.00560043862,0.0050890905799999995,0.00560043862
DTI,FTPC,cbcl,T12,0.005504726512,0.0050280232000000005,0.005504726512
DTI,FTPC,cbcl,C6,-0.00542606084,0.0052345396,0.00542606084
DTI,FTPC,cbcl,F3,0.005361692714,0.00526570274,0.005361692714
DTI,FTPC,cbcl,C28,-0.00528174216,0.00559230744,0.00528174216
DTI,FTPC,cbcl,F143,-0.00527979674,0.0055001979800000005,0.00527979674
DTI,FTPC,cbcl,P35,0.00505116424,0.00504566752,0.00505116424
DTI,FTPC,cbcl,P38,0.00503687598,0.00521211132,0.00503687598
DTI,FTPC,cbcl,P68,0.00500801178,0.00506820794,0.00500801178
DTI,FTPC,cbcl,F141,0.0049883181,0.0047420653799999995,0.0049883181
DTI,FTPC,cbcl,P126,0.00498499179,0.005050352839999999,0.00498499179
DTI,FTPC,cbcl,F65,-0.004948990259999999,0.0050914685200000006,0.004948990259999999
DTI,FTPC,cbcl,F72,0.0049081700839999996,0.005586519680000001,0.0049081700839999996
DTI,FTPC,cbcl,P89,-0.00481641221,0.00501621236,0.00481641221
DTI,FTPC,cbcl,F114,0.0047506441674,0.00511511436,0.0047506441674
DTI,FTPC,cbcl,F42,-0.004705328199999999,0.0049926909,0.004705328199999999
DTI,FTPC,cbcl,F28,0.00465339244,0.0051537115799999995,0.00465339244
DTI,FTPC,cbcl,F69,0.0045209614399999995,0.00562391558,0.0045209614399999995
DTI,FTPC,cbcl,F74,-0.00450416618,0.005050016520000001,0.00450416618
DTI,FTPC,cbcl,F152,0.00446756342,0.0050197094999999995,0.00446756342
DTI,FTPC,cbcl,F50,0.00445560878,0.0050699381,0.00445560878
DTI,FTPC,cbcl,P75,-0.0043655885999999994,0.0052104333,0.0043655885999999994
DTI,FTPC,cbcl,F51,-0.00434839784,0.00495910242,0.00434839784
DTI,FTPC,cbcl,F53,0.004327445,0.004914413500000001,0.004327445
DTI,FTPC,cbcl,P58,0.00425897616,0.005376170160000001,0.00425897616
DTI,FTPC,cbcl,F2,0.00417079212,0.0049596199,0.00417079212
DTI,FTPC,cbcl,F54,0.00414483254,0.00481785084,0.00414483254
DTI,FTPC,cbcl,F125,0.004013963834,0.005124802239999999,0.004013963834
DTI,FTPC,cbcl,P39,-0.00400618042,0.00513241792,0.00400618042
DTI,FTPC,cbcl,C12,-0.0039235205,0.00510907764,0.0039235205
DTI,FTPC,cbcl,P64,-0.00392216616,0.00499882438,0.00392216616
DTI,FTPC,cbcl,P16,0.0038846646800000002,0.005494815,0.0038846646800000002
DTI,FTPC,cbcl,F135,-0.0038744513,0.00503303904,0.0038744513
DTI,FTPC,cbcl,C23,0.0038664506599999995,0.00478395318,0.0038664506599999995
DTI,FTPC,cbcl,F103,0.0038514202599999998,0.00496999426,0.0038514202599999998
DTI,FTPC,cbcl,F163,0.0037998878800000004,0.00480522786,0.0037998878800000004
DTI,FTPC,cbcl,F26,0.0037845451619999996,0.00490164554,0.0037845451619999996
DTI,FTPC,cbcl,F104,-0.0037753805199999997,0.0047427283,0.0037753805199999997
DTI,FTPC,cbcl,F86,0.003741471206,0.00505413596,0.003741471206
DTI,FTPC,cbcl,P88,0.0037225807200000002,0.005021933080000001,0.0037225807200000002
DTI,FTPC,cbcl,F146,0.0036771576,0.00479972262,0.0036771576
DTI,FTPC,cbcl,F62,0.0036624204600000003,0.00521469652,0.0036624204600000003
DTI,FTPC,cbcl,F25,-0.003662326606,0.00508915692,0.003662326606
DTI,FTPC,cbcl,F102,-0.00365983624,0.00501100302,0.00365983624
DTI,FTPC,cbcl,T8,0.0036445055399999997,0.005926844200000001,0.0036445055399999997
DTI,FTPC,cbcl,C1,-0.0036388152800000003,0.00492998152,0.0036388152800000003
DTI,FTPC,cbcl,P4,-0.0036325075120000002,0.00551927316,0.0036325075120000002
DTI,FTPC,cbcl,P91,-0.0036231780979999995,0.00501409996,0.0036231780979999995
DTI,FTPC,cbcl,F84,0.00361695832,0.0052500218,0.00361695832
DTI,FTPC,cbcl,F105,-0.0035772696799999996,0.0048564902799999995,0.0035772696799999996
