Data Type,Subset Type,Target,Feature,Mean_Gradient,Std_Gradient,Abs_Mean_Gradient
DTI,FTP,cbcl,F120,0.01099236254,0.00549834926,0.01099236254
DTI,FTP,cbcl,P40,-0.0108849501,0.00570176614,0.0108849501
DTI,FTP,cbcl,P92,-0.010476717322000001,0.00549917722,0.010476717322000001
DTI,FTP,cbcl,P123,-0.009251392819999999,0.00563802482,0.009251392819999999
DTI,FTP,cbcl,F157,-0.00898278634,0.00561066588,0.00898278634
DTI,FTP,cbcl,F39,-0.008371583839999999,0.00548585432,0.008371583839999999
DTI,FTP,cbcl,F135,-0.008356978652,0.00558999424,0.008356978652
DTI,FTP,cbcl,P84,-0.0080949884,0.0055328150800000005,0.0080949884
DTI,FTP,cbcl,F124,0.0079080186496,0.00514188418,0.0079080186496
DTI,FTP,cbcl,P63,-0.0077913822199999995,0.005611054779999999,0.0077913822199999995
DTI,FTP,cbcl,F57,-0.007783066260000001,0.00539622942,0.007783066260000001
DTI,FTP,cbcl,P53,0.00746108704,0.00557782134,0.00746108704
DTI,FTP,cbcl,T2,-0.00722171742,0.00586905536,0.00722171742
DTI,FTP,cbcl,F152,0.00719009128,0.0054691307,0.00719009128
DTI,FTP,cbcl,F133,-0.00706534026,0.00518218896,0.00706534026
DTI,FTP,cbcl,F27,0.007040965219999999,0.005488974119999999,0.007040965219999999
DTI,FTP,cbcl,P68,0.0069341436199999995,0.00524575336,0.0069341436199999995
DTI,FTP,cbcl,F142,-0.006908963079999999,0.005300672540000001,0.006908963079999999
DTI,FTP,cbcl,P66,0.0067391490999999994,0.0055938949,0.0067391490999999994
DTI,FTP,cbcl,P44,-0.006699195,0.00545305668,0.006699195
DTI,FTP,cbcl,T1,-0.006692434360000001,0.00531727576,0.006692434360000001
DTI,FTP,cbcl,P80,-0.0064695679140000005,0.0055779587,0.0064695679140000005
DTI,FTP,cbcl,P89,-0.006400599799999999,0.00533556134,0.006400599799999999
DTI,FTP,cbcl,F91,-0.0063283236199999995,0.00545680718,0.0063283236199999995
DTI,FTP,cbcl,F60,-0.006262399520000001,0.00545159546,0.006262399520000001
DTI,FTP,cbcl,T10,0.0062371873000000005,0.00602071272,0.0062371873000000005
DTI,FTP,cbcl,F6,0.006233664768,0.005349896580000001,0.006233664768
DTI,FTP,cbcl,F143,-0.00617567208,0.00541333854,0.00617567208
DTI,FTP,cbcl,P30,-0.00614231042,0.0056614727000000005,0.00614231042
DTI,FTP,cbcl,T6,0.006133248839999999,0.005147201079999999,0.006133248839999999
DTI,FTP,cbcl,F34,0.0061296491000000005,0.00532827032,0.0061296491000000005
DTI,FTP,cbcl,F111,-0.0060790867400000006,0.0054829822,0.0060790867400000006
DTI,FTP,cbcl,F30,-0.006039636714,0.0052192759200000004,0.006039636714
DTI,FTP,cbcl,P47,0.00589297508,0.00534192108,0.00589297508
DTI,FTP,cbcl,P64,-0.00582717992,0.0054507884999999996,0.00582717992
DTI,FTP,cbcl,F92,0.005822975419999999,0.0056482834,0.005822975419999999
DTI,FTP,cbcl,P126,0.00581209188,0.0059070483,0.00581209188
DTI,FTP,cbcl,F24,-0.00577422872,0.00508234638,0.00577422872
DTI,FTP,cbcl,P78,-0.00573278406,0.00546303,0.00573278406
DTI,FTP,cbcl,P91,-0.00571133526,0.00529112174,0.00571133526
