Data Type,Target,Feature,Mean_Gradient,Std_Gradient
DTI,cbcl,C1,-0.002841515022,0.006095259056666667
DTI,cbcl,C10,-0.0003528686366666667,0.0058809422733333006
DTI,cbcl,C11,-0.006676038183333333,0.006032037623333333
DTI,cbcl,C12,-0.005707623277666667,0.0059626375233333
DTI,cbcl,C13,-0.0027611841536666665,0.0059688799300000005
DTI,cbcl,C14,0.00020066294873340003,0.005649329866666633
DTI,cbcl,C15,0.0028138064126666334,0.0058506424033333004
DTI,cbcl,C16,-0.0013281950006666333,0.005862586739999999
DTI,cbcl,C17,0.0025198874189999664,0.006225602439999999
DTI,cbcl,C18,0.001696065841,0.0060908842566666675
DTI,cbcl,C19,-0.0021012508756665664,0.005863069503333234
DTI,cbcl,C2,-0.0021372814566666333,0.005900952269999967
DTI,cbcl,C20,-0.004282650178666666,0.005879135913333333
DTI,cbcl,C21,-0.0033101548496333,0.0058645130833333324
DTI,cbcl,C22,0.0007200329060000001,0.005824853476666667
DTI,cbcl,C23,0.0063080921553332675,0.005833644819999967
DTI,cbcl,C24,0.0008902647121999999,0.005845272556666667
DTI,cbcl,C25,-0.005209870098333333,0.00566031024
DTI,cbcl,C26,-0.00018224176200000008,0.006001007423333333
DTI,cbcl,C27,-0.007397365077333334,0.0061451190533333006
DTI,cbcl,C28,-0.0027944519533333336,0.00609768639
DTI,cbcl,C29,0.00013387342511329996,0.005724263236666634
DTI,cbcl,C3,-0.0005337935990666667,0.0057813288433333
DTI,cbcl,C30,0.0012046719873333334,0.0057047869033333
DTI,cbcl,C31,-0.00012162487866660005,0.005898150206666601
DTI,cbcl,C4,-0.008324658133333334,0.0057980171199999665
DTI,cbcl,C5,-0.0042563043099999665,0.005947798426666667
DTI,cbcl,C6,-0.0033630315296666337,0.0059874886833333
DTI,cbcl,C7,0.004517749087999933,0.006045434146666667
DTI,cbcl,C8,-0.0005383768873333334,0.006300932596666632
DTI,cbcl,C9,-0.005485413834666633,0.005792063273333333
DTI,cbcl,F1,0.002174676999333325,0.0057278090583333
DTI,cbcl,F10,-0.00227426219966665,0.0058302108383333
DTI,cbcl,F100,0.003172819471999975,0.0057578111716666495
DTI,cbcl,F101,0.006283627235166625,0.0060487613116666505
DTI,cbcl,F102,-0.004094201295333325,0.00593285730166665
DTI,cbcl,F103,0.00371615129299995,0.0056798329733333
DTI,cbcl,F104,-0.00404139142449995,0.00563991775166665
DTI,cbcl,F105,-0.004107809696666625,0.0057410669033333
DTI,cbcl,F106,0.00166296849216665,0.00575834548166665
DTI,cbcl,F107,0.0035739743814666245,0.005631338524999975
DTI,cbcl,F108,-0.002010405215833325,0.0058181008283333
DTI,cbcl,F109,0.000730519440333375,0.005600177253333325
DTI,cbcl,F11,-0.00064272970866665,0.005592041115
DTI,cbcl,F110,-5.0157077799975014e-05,0.00567751553666665
DTI,cbcl,F111,-0.003401560289166625,0.005709160513333325
DTI,cbcl,F112,0.003331993362999975,0.00576250098166665
DTI,cbcl,F113,0.000903013193666675,0.00546398847166665
DTI,cbcl,F114,0.004863939379166651,0.00582803718
DTI,cbcl,F115,0.00221826436066665,0.005649823573333325
DTI,cbcl,F116,0.001266575236299975,0.0060189769883333254
DTI,cbcl,F117,-6.70439248333e-05,0.005670971168333325
DTI,cbcl,F118,-0.0008754976418666499,0.005641869851666625
DTI,cbcl,F119,-0.0007041945243333501,0.005656771493333325
DTI,cbcl,F12,0.00110965447116665,0.005919370229999975
DTI,cbcl,F120,0.00836210321199995,0.005904771244999975
DTI,cbcl,F121,-0.0015915610537333,0.0056865600083332996
DTI,cbcl,F122,0.0005173592021833001,0.005723740059999925
DTI,cbcl,F123,-0.0024369792486666,0.005714670506666625
DTI,cbcl,F124,0.0074011527990666,0.0058522228366666255
DTI,cbcl,F125,-0.0002547005438033251,0.00565298425499995
DTI,cbcl,F126,0.00276098605799995,0.0056708025033333
DTI,cbcl,F127,-0.001073261905166675,0.0057566559783333
DTI,cbcl,F128,0.004659377018833325,0.00561751786666665
DTI,cbcl,F129,0.002570993722833275,0.00556462405666665
DTI,cbcl,F13,0.001983850414241625,0.005685228108333299
DTI,cbcl,F130,0.00035435561183330005,0.005836328036666625
DTI,cbcl,F131,-0.00044394497116665,0.00571145506666665
DTI,cbcl,F132,0.0029581000353333248,0.0060415588866666505
DTI,cbcl,F133,-0.00548918400249995,0.00588283435666665
DTI,cbcl,F134,0.002734411476499975,0.0058444254933333
DTI,cbcl,F135,-0.00641947990299995,0.00598332128666665
DTI,cbcl,F136,-0.003326057548833325,0.0060015051683333
DTI,cbcl,F137,0.000741387296166625,0.00564517862
DTI,cbcl,F138,-0.001375547647999975,0.00582517568666665
DTI,cbcl,F139,-0.00142282742966665,0.0055590773383333
DTI,cbcl,F14,0.0026309511888333,0.0056730713366666494
DTI,cbcl,F140,-0.002616665816499975,0.005596902866666625
DTI,cbcl,F141,0.002260825615583325,0.005682617684999975
DTI,cbcl,F142,-0.0060467431356666,0.00585448465666665
DTI,cbcl,F143,-0.005984827955999975,0.005834356559999975
DTI,cbcl,F144,0.001044390782666625,0.005550225099999975
DTI,cbcl,F145,0.0003551427358333,0.00581216322499995
DTI,cbcl,F146,0.003348934500999975,0.005739402296666625
DTI,cbcl,F147,0.0019233048858333,0.005670941903333275
DTI,cbcl,F148,-0.0006507742305,0.00588218667666665
DTI,cbcl,F149,-0.002809666809866625,0.005786835204999975
DTI,cbcl,F15,0.00022307914101665,0.0056198978716666004
DTI,cbcl,F150,0.0002440242943333,0.005655464406666625
DTI,cbcl,F151,0.0043878964608333,0.005889922716666625
DTI,cbcl,F152,0.006269907165333325,0.005876955411666625
DTI,cbcl,F153,-0.00057090653583335,0.0056820523099999996
DTI,cbcl,F154,-0.000363215094833325,0.005724902621666625
DTI,cbcl,F155,-0.002839972420316625,0.005948822349999975
DTI,cbcl,F156,-0.00010240946923329998,0.005614328873333325
DTI,cbcl,F157,-0.006183129976833325,0.005771001036666625
DTI,cbcl,F158,0.001051981330333325,0.0058540909933333
DTI,cbcl,F159,-0.00138922336216665,0.0057632742
DTI,cbcl,F16,0.000633363264999975,0.005666316558333325
DTI,cbcl,F160,0.00021694272757835002,0.0057809993283333
DTI,cbcl,F161,0.002740506804066625,0.00582747018166665
DTI,cbcl,F162,-0.00057541889583335,0.005817627993333325
DTI,cbcl,F163,0.0027114772438,0.005658574435
DTI,cbcl,F164,0.0043450017391666,0.005731181269999975
DTI,cbcl,F165,-3.3144945166674994e-05,0.005634024776666625
DTI,cbcl,F166,0.0006512274769000001,0.005882853968333325
DTI,cbcl,F167,-0.001392931939666625,0.005524311719999975
DTI,cbcl,F168,0.000564707519499975,0.005914150293333325
DTI,cbcl,F169,0.002256832530333275,0.005755071621666625
DTI,cbcl,F17,-0.0063414965766666245,0.00595156511
DTI,cbcl,F18,-0.0018953354368333,0.0057132545099999755
DTI,cbcl,F19,-0.0018165596758333,0.00566405952166665
DTI,cbcl,F2,0.004283589177316625,0.0057311310099999995
DTI,cbcl,F20,-0.00221304927166665,0.005784840493333325
DTI,cbcl,F21,-0.00069854916736665,0.005794334863333325
DTI,cbcl,F22,-0.00098719886041665,0.005644630879999999
DTI,cbcl,F23,-0.001649875660000025,0.00558585506166665
DTI,cbcl,F24,-0.0036041569675,0.00552485477499995
DTI,cbcl,F25,-0.00223467472066665,0.005668840193333325
DTI,cbcl,F26,0.0045173428688333,0.005718173126666625
DTI,cbcl,F27,0.00805995296199995,0.005951845114999976
DTI,cbcl,F28,0.004677762543333275,0.0057190685949999
DTI,cbcl,F29,0.003519647190333275,0.005704033803333325
DTI,cbcl,F3,0.006232919888499951,0.005849486794999975
DTI,cbcl,F30,-0.004726160419166625,0.005694049845
DTI,cbcl,F31,0.00272010824266665,0.00571533865666665
DTI,cbcl,F32,-0.00164884550599995,0.0058761107083333
DTI,cbcl,F33,0.000472087839433325,0.005675722114999975
DTI,cbcl,F34,0.002297508310148325,0.00585676611666665
DTI,cbcl,F35,0.00204103046183335,0.005550226383333325
DTI,cbcl,F36,0.000842709730666675,0.005694756078333325
DTI,cbcl,F37,0.00031484648347165,0.005758872244999975
DTI,cbcl,F38,0.00043286899535,0.0058400700533333
DTI,cbcl,F39,-0.004339934639999975,0.00563422458166665
DTI,cbcl,F4,0.0012703384103333248,0.0056881031483332995
DTI,cbcl,F40,-0.00154714914666665,0.00551230926666665
DTI,cbcl,F41,-0.00017923655016667496,0.00569328585666665
DTI,cbcl,F42,-0.0025897767354999502,0.005722263579999975
DTI,cbcl,F43,-0.00012349907049999997,0.0057332077033333
DTI,cbcl,F44,0.00010676858349997501,0.00595130115666665
DTI,cbcl,F45,-0.0020334219375,0.00561005769666665
DTI,cbcl,F46,-0.0006693160905,0.00552487201166665
DTI,cbcl,F47,6.895898966665002e-05,0.005690843358333325
DTI,cbcl,F48,0.001051285757666675,0.005625784675
DTI,cbcl,F49,0.00113514212699995,0.00560323340666665
DTI,cbcl,F5,-5.533479833350031e-06,0.005535992501666625
DTI,cbcl,F50,0.004457949522333325,0.0058288451083333
DTI,cbcl,F51,-0.0043524932127666505,0.00590104011666665
DTI,cbcl,F52,0.0007886646653333501,0.005598107634999975
DTI,cbcl,F53,0.001785484955549975,0.00565576473166665
DTI,cbcl,F54,0.002635489099999975,0.005757185286666625
DTI,cbcl,F55,0.00036884367798330003,0.0056245011083333
DTI,cbcl,F56,-0.00109894255883335,0.0057333192683333
DTI,cbcl,F57,-0.005810085890933325,0.0056045271549999744
DTI,cbcl,F58,-0.002206260598333325,0.005841291091666625
DTI,cbcl,F59,-0.0032886049843333,0.005661047628333325
DTI,cbcl,F6,0.002998851755666625,0.00570609902999995
DTI,cbcl,F60,-0.007439647968333325,0.0058988183366666495
DTI,cbcl,F61,0.002224780536666675,0.005614657665
DTI,cbcl,F62,0.00478404630166665,0.0060284913666666246
DTI,cbcl,F63,-0.0032438999776666253,0.005605734529999976
DTI,cbcl,F64,4.570594800002502e-05,0.0056396828649999745
DTI,cbcl,F65,-0.007441827903999975,0.005713449243333325
DTI,cbcl,F66,-0.003617929317899975,0.005550697993333325
DTI,cbcl,F67,-0.00412473999616665,0.0057438833683333
DTI,cbcl,F68,-4.0037229666625056e-05,0.005649018174999975
DTI,cbcl,F69,0.0035295892888333,0.0059809570149999495
DTI,cbcl,F7,-0.00416237235166665,0.005871423193333325
DTI,cbcl,F70,-0.00062772515966665,0.00558313146666665
DTI,cbcl,F71,-0.002213271018333325,0.00562748737666665
DTI,cbcl,F72,0.0035989799098333,0.005980872484999975
DTI,cbcl,F73,-0.0036183264113332997,0.006005803173333325
DTI,cbcl,F74,-0.003412843534999975,0.005804553659999975
DTI,cbcl,F75,-0.002439467150039975,0.0056906540633333245
DTI,cbcl,F76,0.000874026587949975,0.005756087293333325
DTI,cbcl,F77,-0.0020187654099999997,0.005491080776666625
DTI,cbcl,F78,0.0024631861556332997,0.00578859849499995
DTI,cbcl,F79,0.00036605969866665,0.00592055458666665
DTI,cbcl,F8,0.00106616109516665,0.00577884740666665
DTI,cbcl,F80,-0.0005079693665999749,0.005560751603333325
DTI,cbcl,F81,0.001513971759999975,0.005470431343333325
DTI,cbcl,F82,0.001127787660336675,0.00581475318
DTI,cbcl,F83,0.0036075148089666498,0.0056480382583333245
DTI,cbcl,F84,0.0005922875057333,0.005766989706666625
DTI,cbcl,F85,0.00117117362466665,0.0056372441566666254
DTI,cbcl,F86,0.0028658608585,0.005976688709999975
DTI,cbcl,F87,0.00037363016916667504,0.00565806553
DTI,cbcl,F88,0.0005328864788333749,0.00554278200166665
DTI,cbcl,F89,-0.0016567719051999751,0.005727557784999975
DTI,cbcl,F9,-0.001932071063333325,0.005755994165
DTI,cbcl,F90,-0.0038082573171666,0.0056522751649999495
DTI,cbcl,F91,-0.0015311283234999752,0.005737705689999975
DTI,cbcl,F92,0.005600436855333299,0.006102594331666625
DTI,cbcl,F93,-0.00113210225866665,0.00559840442999995
DTI,cbcl,F94,0.00073614683016665,0.0056660530099999756
DTI,cbcl,F95,-0.001462481670333275,0.00546158809166665
DTI,cbcl,F96,0.00078843768154165,0.0056253754433333
DTI,cbcl,F97,-0.002056776821666625,0.00562388195166665
DTI,cbcl,F98,0.00367156134416665,0.00578283122666665
DTI,cbcl,F99,-0.00332274424499995,0.00570798948666665
DTI,cbcl,P1,0.003007477932999967,0.005462103513333333
DTI,cbcl,P10,-0.003737317763333333,0.0056076654
DTI,cbcl,P100,-0.0018030665529999667,0.005628717686666666
DTI,cbcl,P101,0.005827003777333267,0.005513550609999966
DTI,cbcl,P102,0.0065268346743333,0.0056481538500000004
DTI,cbcl,P103,0.0018254607566666333,0.0057823798466665995
DTI,cbcl,P104,0.003020900198,0.005405744136666667
DTI,cbcl,P105,0.0008089684836666667,0.005233728333333266
DTI,cbcl,P106,0.0009226721733332667,0.0053839226533333
DTI,cbcl,P107,0.0025992838169999997,0.005709004843333333
DTI,cbcl,P108,0.0005789091226666333,0.005319773889999967
DTI,cbcl,P109,-0.0013945011600000003,0.00571600123
DTI,cbcl,P11,0.0005666272366665999,0.0055685755033333326
DTI,cbcl,P110,0.0019075378713333,0.005422056183333299
DTI,cbcl,P111,0.004412717536666634,0.005458518596666633
DTI,cbcl,P112,-0.0014759784293333,0.0054325835433333
DTI,cbcl,P113,0.0009923993074,0.005677667786666633
DTI,cbcl,P114,-0.0023710304506666664,0.00563508315
DTI,cbcl,P115,-0.0008450311179999333,0.005782257793333333
DTI,cbcl,P116,-0.0039365298881333,0.005556703749999967
DTI,cbcl,P117,-0.0008175670541666666,0.0055627367
DTI,cbcl,P118,0.0014711073116666334,0.0060329814999999995
DTI,cbcl,P119,-0.0010916772540333333,0.0056165561199999665
DTI,cbcl,P12,-0.0005532743900666667,0.0053815504633333
DTI,cbcl,P120,0.000145264594,0.0056997680900000005
DTI,cbcl,P121,-0.00105815925,0.005816492463333299
DTI,cbcl,P122,0.0019001359706666667,0.0057564979733332996
DTI,cbcl,P123,-0.0080822567489999,0.005771917806666633
DTI,cbcl,P124,-0.00034808364133333334,0.005414187153333266
DTI,cbcl,P125,0.0027337450949999668,0.005724534226666633
DTI,cbcl,P126,0.006544410586666633,0.005815063033333266
DTI,cbcl,P127,0.0020679032783333,0.005676182403333334
DTI,cbcl,P128,0.0030397710013333,0.005572121639999966
DTI,cbcl,P13,0.00039085099900003335,0.005624696429999999
DTI,cbcl,P14,0.0011500192866666333,0.005404733286666667
DTI,cbcl,P15,0.0039546453633333,0.005693091459999966
DTI,cbcl,P16,0.004895534438666666,0.005669312879999967
DTI,cbcl,P17,0.0024671119493332666,0.005479689286666666
DTI,cbcl,P18,-0.0015719111769999666,0.005452484173333333
DTI,cbcl,P19,-0.0050606537699999996,0.005561786410000001
DTI,cbcl,P2,0.001915152879,0.005630812733333333
DTI,cbcl,P20,0.003178827188799967,0.0054958524
DTI,cbcl,P21,0.003317384956666667,0.0055831974
