Data Type,Subset Type,Target,Outer Fold,Feature,Mean Gradient,Std Gradient
DTI,FTC,pca1,1,F1,0.014903754,0.0096929325
DTI,FTC,pca1,1,F2,0.0071110073,0.010051815
DTI,FTC,pca1,1,F3,0.030940443,0.011430381
DTI,FTC,pca1,1,F4,0.0027279744,0.008333419
DTI,FTC,pca1,1,F5,0.0116919195,0.008323152
DTI,FTC,pca1,1,F6,0.016318435,0.009762919
DTI,FTC,pca1,1,F7,0.0007701398,0.009620984
DTI,FTC,pca1,1,F8,-0.0057766354,0.008233688
DTI,FTC,pca1,1,F9,0.007918047,0.008614762
DTI,FTC,pca1,1,F10,0.009241685,0.008634316
DTI,FTC,pca1,1,F11,0.010250797,0.01133233
DTI,FTC,pca1,1,F12,0.007306423,0.01026017
DTI,FTC,pca1,1,F13,-0.00014989736,0.009191549
DTI,FTC,pca1,1,F14,0.0030500307,0.007879235
DTI,FTC,pca1,1,F15,0.0002691586,0.008601148
DTI,FTC,pca1,1,F16,0.009598388,0.0079436265
DTI,FTC,pca1,1,F17,-0.011510358,0.008095505
DTI,FTC,pca1,1,F18,0.013427901,0.00895736
DTI,FTC,pca1,1,F19,0.010411557,0.0114777675
DTI,FTC,pca1,1,F20,-0.002319421,0.009718509
DTI,FTC,pca1,1,F21,-0.008979757,0.008954002
DTI,FTC,pca1,1,F22,-0.001575232,0.011965944
DTI,FTC,pca1,1,F23,0.007822131,0.008658553
DTI,FTC,pca1,1,F24,0.0061958763,0.0106369145
DTI,FTC,pca1,1,F25,-0.011964568,0.009599737
DTI,FTC,pca1,1,F26,-0.0035720237,0.00966472
DTI,FTC,pca1,1,F27,0.032859813,0.0111593995
DTI,FTC,pca1,1,F28,0.007830613,0.009545773
DTI,FTC,pca1,1,F29,0.00033952427,0.0092783775
DTI,FTC,pca1,1,F30,-0.015423829,0.009444173
DTI,FTC,pca1,1,F31,0.012401551,0.010303569
DTI,FTC,pca1,1,F32,1.099266e-05,0.009817207
DTI,FTC,pca1,1,F33,-0.0030382825,0.008760059
DTI,FTC,pca1,1,F34,0.0202779,0.009557395
DTI,FTC,pca1,1,F35,0.007366924,0.009204261
DTI,FTC,pca1,1,F36,0.004885995,0.009180532
DTI,FTC,pca1,1,F37,-0.0071051046,0.00907222
DTI,FTC,pca1,1,F38,0.00092011585,0.011963682
DTI,FTC,pca1,1,F39,-0.0066476753,0.008934377
DTI,FTC,pca1,1,F40,-0.017814456,0.009320611
DTI,FTC,pca1,1,F41,-0.0051336708,0.0110415025
DTI,FTC,pca1,1,F42,-0.007749214,0.010844693
DTI,FTC,pca1,1,F43,-0.0011808033,0.009759256
DTI,FTC,pca1,1,F44,-0.0050972546,0.007993568
DTI,FTC,pca1,1,F45,-0.016789421,0.008773162
DTI,FTC,pca1,1,F46,0.0010163946,0.00804258
DTI,FTC,pca1,1,F47,-0.004175816,0.0087926695
DTI,FTC,pca1,1,F48,0.0022276524,0.010723594
DTI,FTC,pca1,1,F49,5.3624884e-05,0.008190164
DTI,FTC,pca1,1,F50,0.0036531615,0.008580521
DTI,FTC,pca1,1,F51,-0.016920855,0.010070016
DTI,FTC,pca1,1,F52,-0.011128744,0.007908746
DTI,FTC,pca1,1,F53,0.000119433746,0.008567473
DTI,FTC,pca1,1,F54,-0.0068352264,0.009630717
DTI,FTC,pca1,1,F55,0.015511565,0.008069155
DTI,FTC,pca1,1,F56,0.011579279,0.0077167833
DTI,FTC,pca1,1,F57,-0.012706449,0.008718504
DTI,FTC,pca1,1,F58,0.0004611168,0.0079304725
DTI,FTC,pca1,1,F59,0.007943327,0.007898637
DTI,FTC,pca1,1,F60,-0.0059146835,0.008028203
DTI,FTC,pca1,1,F61,0.00394696,0.008511594
DTI,FTC,pca1,1,F62,0.008265874,0.010948012
DTI,FTC,pca1,1,F63,-0.012148368,0.008786958
DTI,FTC,pca1,1,F64,0.011552597,0.0092897685
DTI,FTC,pca1,1,F65,-0.012673655,0.009220186
DTI,FTC,pca1,1,F66,-0.013114988,0.009417814
DTI,FTC,pca1,1,F67,0.0019728905,0.009452797
DTI,FTC,pca1,1,F68,-0.0007469327,0.008971418
DTI,FTC,pca1,1,F69,0.01734141,0.009127672
DTI,FTC,pca1,1,F70,0.007638917,0.009733194
DTI,FTC,pca1,1,F71,-0.0011191659,0.010089951
DTI,FTC,pca1,1,F72,0.0057753343,0.010501567
DTI,FTC,pca1,1,F73,-0.012020291,0.008115752
DTI,FTC,pca1,1,F74,-0.010087189,0.0084161265
DTI,FTC,pca1,1,F75,0.0055900044,0.008221277
DTI,FTC,pca1,1,F76,-0.015142324,0.008096905
DTI,FTC,pca1,1,F77,0.0016849042,0.007284444
DTI,FTC,pca1,1,F78,0.018137472,0.010746878
DTI,FTC,pca1,1,F79,-0.011489639,0.009774703
DTI,FTC,pca1,1,F80,0.017337948,0.008477444
DTI,FTC,pca1,1,F81,0.0037461438,0.008135791
DTI,FTC,pca1,1,F82,-0.003844119,0.010726541
DTI,FTC,pca1,1,F83,-0.0028942018,0.008357143
DTI,FTC,pca1,1,F84,-7.717457e-05,0.01102177
DTI,FTC,pca1,1,F85,-0.011705979,0.0096550975
DTI,FTC,pca1,1,F86,-0.010318483,0.00876907
DTI,FTC,pca1,1,F87,-0.006182129,0.008292435
DTI,FTC,pca1,1,F88,-0.0008082961,0.0098541
DTI,FTC,pca1,1,F89,0.0043376544,0.008890517
DTI,FTC,pca1,1,F90,-0.012490495,0.010254212
DTI,FTC,pca1,1,F91,-0.008278291,0.010445013
DTI,FTC,pca1,1,F92,0.0065456326,0.0090811765
DTI,FTC,pca1,1,F93,0.011847841,0.0076529416
DTI,FTC,pca1,1,F94,-0.013119011,0.008694761
DTI,FTC,pca1,1,F95,-0.0014682058,0.008394744
DTI,FTC,pca1,1,F96,0.0072460873,0.007841683
DTI,FTC,pca1,1,F97,-0.005351065,0.008316579
DTI,FTC,pca1,1,F98,0.013741156,0.009222649
DTI,FTC,pca1,1,F99,0.0021294123,0.007914181
DTI,FTC,pca1,1,F100,0.00088494795,0.0106963
DTI,FTC,pca1,1,F101,0.0055621853,0.008657248
DTI,FTC,pca1,1,F102,0.0004250773,0.010636131
DTI,FTC,pca1,1,F103,0.009234158,0.008433818
DTI,FTC,pca1,1,F104,-0.0031830135,0.009829345
DTI,FTC,pca1,1,F105,-0.006560861,0.008369471
DTI,FTC,pca1,1,F106,-0.012519746,0.010414748
DTI,FTC,pca1,1,F107,0.011718052,0.0088879885
DTI,FTC,pca1,1,F108,0.0057928856,0.00932173
DTI,FTC,pca1,1,F109,-0.0037889066,0.009779252
DTI,FTC,pca1,1,F110,0.0007184548,0.008381288
DTI,FTC,pca1,1,F111,-0.01578871,0.008166044
DTI,FTC,pca1,1,F112,0.005893973,0.007850275
DTI,FTC,pca1,1,F113,0.0023049356,0.009864957
DTI,FTC,pca1,1,F114,0.008542135,0.00883151
DTI,FTC,pca1,1,F115,0.009741395,0.009879427
DTI,FTC,pca1,1,F116,-0.0090589365,0.008968732
DTI,FTC,pca1,1,F117,0.0020794142,0.009707974
DTI,FTC,pca1,1,F118,-0.0024272415,0.009129286
DTI,FTC,pca1,1,F119,-0.007972166,0.009254283
DTI,FTC,pca1,1,F120,0.031024452,0.01008904
DTI,FTC,pca1,1,F121,0.0015394767,0.009431768
DTI,FTC,pca1,1,F122,-0.0061691315,0.011081165
DTI,FTC,pca1,1,F123,-0.009183157,0.009449481
DTI,FTC,pca1,1,F124,0.021055952,0.009550457
DTI,FTC,pca1,1,F125,-0.011832483,0.008236144
DTI,FTC,pca1,1,F126,0.009865646,0.008459777
DTI,FTC,pca1,1,F127,-0.0010928178,0.008108498
DTI,FTC,pca1,1,F128,0.014097507,0.008413666
DTI,FTC,pca1,1,F129,-0.023875874,0.00925669
DTI,FTC,pca1,1,F130,-0.015950648,0.009089131
DTI,FTC,pca1,1,F131,0.0022115372,0.008810838
DTI,FTC,pca1,1,F132,0.009506044,0.008866254
DTI,FTC,pca1,1,F133,-0.0126192095,0.008467017
DTI,FTC,pca1,1,F134,0.011299214,0.0087159695
DTI,FTC,pca1,1,F135,-0.012838643,0.008376089
DTI,FTC,pca1,1,F136,-0.00031920878,0.010396285
DTI,FTC,pca1,1,F137,0.005457742,0.007935036
DTI,FTC,pca1,1,F138,-0.0019676667,0.009504344
DTI,FTC,pca1,1,F139,-0.008153063,0.008246282
DTI,FTC,pca1,1,F140,-0.0073531996,0.008852705
DTI,FTC,pca1,1,F141,0.0023944294,0.008146676
DTI,FTC,pca1,1,F142,-0.011783592,0.011392823
DTI,FTC,pca1,1,F143,-0.013151977,0.00898344
DTI,FTC,pca1,1,F144,0.015608905,0.009419554
DTI,FTC,pca1,1,F145,-0.003009419,0.008688578
DTI,FTC,pca1,1,F146,0.0023219823,0.0093900515
DTI,FTC,pca1,1,F147,-0.0050747613,0.00821304
DTI,FTC,pca1,1,F148,0.0010447445,0.006985845
DTI,FTC,pca1,1,F149,-0.010482778,0.009345293
DTI,FTC,pca1,1,F150,-0.00063463894,0.011969357
DTI,FTC,pca1,1,F151,0.005445749,0.009063185
DTI,FTC,pca1,1,F152,0.024096888,0.009776347
DTI,FTC,pca1,1,F153,-0.006974172,0.008363347
DTI,FTC,pca1,1,F154,-0.00025090616,0.00794668
DTI,FTC,pca1,1,F155,0.0043278704,0.008597325
DTI,FTC,pca1,1,F156,0.006215689,0.0090722805
DTI,FTC,pca1,1,F157,-0.013779598,0.007646886
DTI,FTC,pca1,1,F158,0.005233585,0.011071914
DTI,FTC,pca1,1,F159,-0.0233491,0.011169287
DTI,FTC,pca1,1,F160,0.007548125,0.008707213
DTI,FTC,pca1,1,F161,0.0025662128,0.009501282
DTI,FTC,pca1,1,F162,0.006630527,0.009992327
DTI,FTC,pca1,1,F163,0.00683937,0.013809238
DTI,FTC,pca1,1,F164,0.018167997,0.00814751
DTI,FTC,pca1,1,F165,0.0061490363,0.008938226
DTI,FTC,pca1,1,F166,-0.0077353576,0.008779169
DTI,FTC,pca1,1,F167,-0.0053248457,0.008899123
DTI,FTC,pca1,1,F168,-0.007046115,0.009775504
DTI,FTC,pca1,1,F169,-0.0106799165,0.0101458635
DTI,FTC,pca1,1,T1,-0.01867332,0.007508961
DTI,FTC,pca1,1,T2,-0.020335048,0.012706176
DTI,FTC,pca1,1,T3,0.0013611248,0.010450428
DTI,FTC,pca1,1,T4,0.006698544,0.00896906
DTI,FTC,pca1,1,T5,0.00401486,0.0108261
DTI,FTC,pca1,1,T6,0.010428696,0.011107441
DTI,FTC,pca1,1,T7,-0.0062937737,0.008547785
DTI,FTC,pca1,1,T8,0.0001775868,0.008170438
DTI,FTC,pca1,1,T9,0.0028033364,0.008847138
DTI,FTC,pca1,1,T10,0.0035625407,0.010517378
DTI,FTC,pca1,1,T11,-0.0011166314,0.009345877
DTI,FTC,pca1,1,T12,0.001875121,0.008621434
DTI,FTC,pca1,1,C1,0.0028436196,0.01135896
DTI,FTC,pca1,1,C2,0.0031156288,0.010181635
DTI,FTC,pca1,1,C3,-0.0024880692,0.010012662
DTI,FTC,pca1,1,C4,-0.026188906,0.010643391
DTI,FTC,pca1,1,C5,-0.010450928,0.010338094
DTI,FTC,pca1,1,C6,-0.021791205,0.009567437
DTI,FTC,pca1,1,C7,0.0135875875,0.009935688
DTI,FTC,pca1,1,C8,0.017202223,0.009786588
DTI,FTC,pca1,1,C9,-0.012300826,0.0077526835
DTI,FTC,pca1,1,C10,-0.0074191084,0.0074091097
DTI,FTC,pca1,1,C11,-0.019465279,0.00964141
DTI,FTC,pca1,1,C12,-0.021121088,0.007881909
DTI,FTC,pca1,1,C13,-0.0055273287,0.007970899
DTI,FTC,pca1,1,C14,-0.0010924182,0.010428539
DTI,FTC,pca1,1,C15,0.022032691,0.0096097635
DTI,FTC,pca1,1,C16,-0.013080539,0.008588921
DTI,FTC,pca1,1,C17,-0.0090108635,0.009601108
DTI,FTC,pca1,1,C18,-0.005885946,0.009079528
DTI,FTC,pca1,1,C19,0.018373406,0.009942384
DTI,FTC,pca1,1,C20,0.001227331,0.008495661
DTI,FTC,pca1,1,C21,-0.015998699,0.008060544
DTI,FTC,pca1,1,C22,-0.0009086064,0.009439608
DTI,FTC,pca1,1,C23,0.018912606,0.009634217
DTI,FTC,pca1,1,C24,0.003387653,0.009460076
DTI,FTC,pca1,1,C25,-0.008851694,0.011096463
DTI,FTC,pca1,1,C26,0.01528747,0.009516493
DTI,FTC,pca1,1,C27,-0.021788936,0.008572664
DTI,FTC,pca1,1,C28,-0.0039803335,0.007618869
DTI,FTC,pca1,1,C29,-0.010287645,0.008261816
DTI,FTC,pca1,1,C30,0.007650712,0.009201706
DTI,FTC,pca1,1,C31,-0.0033725973,0.008967281
DTI,FTC,pca1,1,R1,-0.010896842,0.0086815525
