Data Type,Subset Type,Target,Outer Fold,Feature,Mean Gradient,Std Gradient
DTI,FTPC,pca1,1,F1,0.0050861496,0.007726302
DTI,FTPC,pca1,1,F2,0.01319178,0.008221663
DTI,FTPC,pca1,1,F3,0.009488954,0.008102863
DTI,FTPC,pca1,1,F4,0.011339698,0.0059410315
DTI,FTPC,pca1,1,F5,0.00937276,0.007848965
DTI,FTPC,pca1,1,F6,0.004713646,0.0075128204
DTI,FTPC,pca1,1,F7,-0.00054036384,0.005835924
DTI,FTPC,pca1,1,F8,0.0021818522,0.0066601336
DTI,FTPC,pca1,1,F9,-0.004343143,0.0065034204
DTI,FTPC,pca1,1,F10,0.0047324803,0.0073998426
DTI,FTPC,pca1,1,F11,0.010173673,0.006126074
DTI,FTPC,pca1,1,F12,0.005271834,0.0075718067
DTI,FTPC,pca1,1,F13,-0.0001770155,0.0059562586
DTI,FTPC,pca1,1,F14,0.0068187364,0.00716331
DTI,FTPC,pca1,1,F15,0.0058355797,0.0070882645
DTI,FTPC,pca1,1,F16,-0.0027727392,0.009145966
DTI,FTPC,pca1,1,F17,-0.0054239873,0.005877222
DTI,FTPC,pca1,1,F18,-0.009111083,0.006595078
DTI,FTPC,pca1,1,F19,0.0024144955,0.008072608
DTI,FTPC,pca1,1,F20,-0.010795474,0.007030391
DTI,FTPC,pca1,1,F21,-0.005570167,0.0070113847
DTI,FTPC,pca1,1,F22,0.003949009,0.0061656903
DTI,FTPC,pca1,1,F23,-0.001772519,0.0076693627
DTI,FTPC,pca1,1,F24,0.004768246,0.006912152
DTI,FTPC,pca1,1,F25,-0.00072830205,0.0060366583
DTI,FTPC,pca1,1,F26,-0.006797953,0.006656718
DTI,FTPC,pca1,1,F27,0.012704116,0.007237538
DTI,FTPC,pca1,1,F28,0.0018852837,0.0072815972
DTI,FTPC,pca1,1,F29,-0.0013089492,0.006712187
DTI,FTPC,pca1,1,F30,-0.0064949007,0.006233164
DTI,FTPC,pca1,1,F31,0.013402887,0.00906214
DTI,FTPC,pca1,1,F32,0.0023868266,0.007078906
DTI,FTPC,pca1,1,F33,-0.0052326713,0.0071328636
DTI,FTPC,pca1,1,F34,0.015820233,0.008515632
DTI,FTPC,pca1,1,F35,-0.00092270743,0.006536117
DTI,FTPC,pca1,1,F36,0.00066902576,0.0067697084
DTI,FTPC,pca1,1,F37,-0.0074668783,0.0067463946
DTI,FTPC,pca1,1,F38,-0.0049702297,0.006942838
DTI,FTPC,pca1,1,F39,-0.015086375,0.0072658043
DTI,FTPC,pca1,1,F40,-0.00690569,0.0067078285
DTI,FTPC,pca1,1,F41,0.0009575347,0.006882343
DTI,FTPC,pca1,1,F42,-0.013518819,0.00683886
DTI,FTPC,pca1,1,F43,0.008066848,0.006709755
DTI,FTPC,pca1,1,F44,-0.01612331,0.0071538524
DTI,FTPC,pca1,1,F45,-0.0037195615,0.0075627984
DTI,FTPC,pca1,1,F46,0.000987177,0.006973317
DTI,FTPC,pca1,1,F47,0.00027896353,0.0066438406
DTI,FTPC,pca1,1,F48,-0.003744164,0.0061285356
DTI,FTPC,pca1,1,F49,-0.00039122504,0.006131927
DTI,FTPC,pca1,1,F50,0.0020185518,0.006838641
DTI,FTPC,pca1,1,F51,-0.0034150488,0.0061940886
DTI,FTPC,pca1,1,F52,0.0019374382,0.0061797067
DTI,FTPC,pca1,1,F53,-0.009353725,0.0067220717
DTI,FTPC,pca1,1,F54,0.0027109315,0.0065932726
DTI,FTPC,pca1,1,F55,0.0054553417,0.0070714997
DTI,FTPC,pca1,1,F56,0.002350265,0.00695995
DTI,FTPC,pca1,1,F57,-0.0026727235,0.007259397
DTI,FTPC,pca1,1,F58,0.003444987,0.006804536
DTI,FTPC,pca1,1,F59,0.007430236,0.0054519847
DTI,FTPC,pca1,1,F60,0.001616758,0.006990011
DTI,FTPC,pca1,1,F61,0.003031416,0.007996991
DTI,FTPC,pca1,1,F62,0.004355565,0.0060942853
DTI,FTPC,pca1,1,F63,0.003053242,0.0058816257
DTI,FTPC,pca1,1,F64,0.011479813,0.0067539816
DTI,FTPC,pca1,1,F65,-0.016205013,0.0076906467
DTI,FTPC,pca1,1,F66,-0.007774505,0.0061481837
DTI,FTPC,pca1,1,F67,0.003428328,0.0071375193
DTI,FTPC,pca1,1,F68,0.008106169,0.007318663
DTI,FTPC,pca1,1,F69,0.013895106,0.0061171395
DTI,FTPC,pca1,1,F70,0.0032521868,0.006982041
DTI,FTPC,pca1,1,F71,-0.01398744,0.006455597
DTI,FTPC,pca1,1,F72,0.0074635777,0.007675343
DTI,FTPC,pca1,1,F73,-0.0039623403,0.0064178226
DTI,FTPC,pca1,1,F74,-0.011107424,0.007263102
DTI,FTPC,pca1,1,F75,0.003897793,0.005429115
DTI,FTPC,pca1,1,F76,-0.0022219366,0.0064122938
DTI,FTPC,pca1,1,F77,0.0025005683,0.0060546724
DTI,FTPC,pca1,1,F78,0.0032993064,0.00704761
DTI,FTPC,pca1,1,F79,-0.0054741562,0.006752698
DTI,FTPC,pca1,1,F80,0.0078537185,0.009151844
DTI,FTPC,pca1,1,F81,-0.0026045998,0.0068178624
DTI,FTPC,pca1,1,F82,-0.00013309228,0.006678997
DTI,FTPC,pca1,1,F83,0.0011712018,0.007862713
DTI,FTPC,pca1,1,F84,0.0022201745,0.007645515
DTI,FTPC,pca1,1,F85,-0.006028113,0.0067850137
DTI,FTPC,pca1,1,F86,0.002710926,0.0066522765
DTI,FTPC,pca1,1,F87,0.00086032634,0.007414675
DTI,FTPC,pca1,1,F88,-0.005248317,0.007704491
DTI,FTPC,pca1,1,F89,-0.013858714,0.0077136946
DTI,FTPC,pca1,1,F90,0.003313851,0.006004386
DTI,FTPC,pca1,1,F91,-0.00014459204,0.0064832545
DTI,FTPC,pca1,1,F92,0.0025299122,0.0071896575
DTI,FTPC,pca1,1,F93,0.002610638,0.006057282
DTI,FTPC,pca1,1,F94,-0.005422087,0.006997307
DTI,FTPC,pca1,1,F95,-0.0071197003,0.0068048574
DTI,FTPC,pca1,1,F96,0.0021417416,0.0070324307
DTI,FTPC,pca1,1,F97,0.001544344,0.0064689713
DTI,FTPC,pca1,1,F98,0.012537328,0.006375407
DTI,FTPC,pca1,1,F99,-0.0063017462,0.0068585235
DTI,FTPC,pca1,1,F100,-0.0052593895,0.007172754
DTI,FTPC,pca1,1,F101,-0.0035832315,0.0066926465
DTI,FTPC,pca1,1,F102,-0.0016222371,0.0070624272
DTI,FTPC,pca1,1,F103,0.0086805,0.0064617433
DTI,FTPC,pca1,1,F104,-0.009966513,0.006749342
DTI,FTPC,pca1,1,F105,0.003283376,0.0070685316
DTI,FTPC,pca1,1,F106,-0.0048228703,0.006549734
DTI,FTPC,pca1,1,F107,0.014568803,0.0074060536
DTI,FTPC,pca1,1,F108,0.007164977,0.0062193624
DTI,FTPC,pca1,1,F109,-0.004046703,0.0069431555
DTI,FTPC,pca1,1,F110,0.008973067,0.007095498
DTI,FTPC,pca1,1,F111,-0.008525686,0.0065892073
DTI,FTPC,pca1,1,F112,-0.008501331,0.008097937
DTI,FTPC,pca1,1,F113,-0.0036273976,0.006516995
DTI,FTPC,pca1,1,F114,0.010915798,0.007258474
