Data Type,Subset Type,Target,Outer Fold,Feature,Mean Gradient,Std Gradient
DTI,FTP,pca1,2,F1,0.0024072882,0.0051314984
DTI,FTP,pca1,2,F2,0.004441035,0.005337847
DTI,FTP,pca1,2,F3,0.0072386954,0.0065938984
DTI,FTP,pca1,2,F4,0.0025068263,0.0052357875
DTI,FTP,pca1,2,F5,0.0032050149,0.0066257915
DTI,FTP,pca1,2,F6,0.0039295466,0.00485755
DTI,FTP,pca1,2,F7,-7.981344e-05,0.004910052
DTI,FTP,pca1,2,F8,0.006738669,0.0048696073
DTI,FTP,pca1,2,F9,-2.2571618e-05,0.0055327113
DTI,FTP,pca1,2,F10,0.00086605205,0.005100974
DTI,FTP,pca1,2,F11,0.005334251,0.0053635
DTI,FTP,pca1,2,F12,0.0062735365,0.005161481
DTI,FTP,pca1,2,F13,0.0020156913,0.004718442
DTI,FTP,pca1,2,F14,0.0070120296,0.0063214926
DTI,FTP,pca1,2,F15,0.0016378015,0.005213689
DTI,FTP,pca1,2,F16,0.006915057,0.00474654
DTI,FTP,pca1,2,F17,-0.0067617707,0.00518886
DTI,FTP,pca1,2,F18,0.0018629292,0.004777323
DTI,FTP,pca1,2,F19,0.0024772212,0.005825628
DTI,FTP,pca1,2,F20,0.00072278886,0.0052458514
DTI,FTP,pca1,2,F21,0.00024934617,0.004669323
DTI,FTP,pca1,2,F22,-0.00062101317,0.0050721895
DTI,FTP,pca1,2,F23,0.0010356179,0.005175782
DTI,FTP,pca1,2,F24,0.0041816193,0.0044366247
DTI,FTP,pca1,2,F25,-0.0060854615,0.005341324
DTI,FTP,pca1,2,F26,0.003179747,0.0049095354
DTI,FTP,pca1,2,F27,0.0085949255,0.0054138843
DTI,FTP,pca1,2,F28,0.0023377207,0.005199141
DTI,FTP,pca1,2,F29,0.0045229155,0.0052217
DTI,FTP,pca1,2,F30,-0.005741441,0.0048113037
DTI,FTP,pca1,2,F31,0.0024752927,0.0049963994
DTI,FTP,pca1,2,F32,-0.0011295537,0.005459375
DTI,FTP,pca1,2,F33,0.000391213,0.004298053
DTI,FTP,pca1,2,F34,0.002369606,0.0053711804
DTI,FTP,pca1,2,F35,0.0022089703,0.005067445
