Data Type,Subset Type,Target,Feature,Mean_Gradient,Std_Gradient,Abs_Mean_Gradient
DTI,FTPC,pca1,C4,-0.0163911272,0.00641466158,0.0163911272
DTI,FTPC,pca1,P40,-0.013673511939999999,0.00640578308,0.013673511939999999
DTI,FTPC,pca1,P68,0.01340351852,0.0067426000399999995,0.01340351852
DTI,FTPC,pca1,P84,-0.013158663400000001,0.00650216336,0.013158663400000001
DTI,FTPC,pca1,P89,-0.013005952900000001,0.006411581600000001,0.013005952900000001
DTI,FTPC,pca1,P92,-0.011934997,0.0065026847599999995,0.011934997
DTI,FTPC,pca1,F136,-0.01164405415,0.0069054543400000005,0.01164405415
DTI,FTPC,pca1,F129,-0.011640755440000001,0.0067902087,0.011640755440000001
DTI,FTPC,pca1,T2,-0.01142597358,0.00693767802,0.01142597358
DTI,FTPC,pca1,P91,-0.0113168012,0.006472602480000001,0.0113168012
DTI,FTPC,pca1,P8,-0.011154793199999999,0.006919427319999999,0.011154793199999999
DTI,FTPC,pca1,P32,0.010834833280000001,0.0067686116,0.010834833280000001
DTI,FTPC,pca1,F107,0.010801442999999999,0.00635347212,0.010801442999999999
DTI,FTPC,pca1,F152,0.010798470860000001,0.006375259499999999,0.010798470860000001
DTI,FTPC,pca1,F30,-0.01067753664,0.00649264044,0.01067753664
DTI,FTPC,pca1,F11,0.0104442562,0.006351129059999999,0.0104442562
DTI,FTPC,pca1,F127,-0.01043855276,0.00613307302,0.01043855276
DTI,FTPC,pca1,P44,-0.010334087799999999,0.00660696088,0.010334087799999999
DTI,FTPC,pca1,C11,-0.01025836684,0.0062938436599999995,0.01025836684
DTI,FTPC,pca1,P90,-0.010180325779999999,0.00674761242,0.010180325779999999
DTI,FTPC,pca1,C9,-0.0101318024,0.0060283852,0.0101318024
DTI,FTPC,pca1,F98,0.01012885736,0.00600856634,0.01012885736
DTI,FTPC,pca1,F78,0.00999669114,0.00680298874,0.00999669114
DTI,FTPC,pca1,P27,-0.0098984404,0.00700559578,0.0098984404
DTI,FTPC,pca1,C6,-0.00980542962,0.00678832634,0.00980542962
DTI,FTPC,pca1,P70,-0.00960748116,0.00626583954,0.00960748116
DTI,FTPC,pca1,T1,-0.00958180526,0.006329957880000001,0.00958180526
DTI,FTPC,pca1,R1,-0.009567067660000001,0.00648288648,0.009567067660000001
DTI,FTPC,pca1,F115,0.00949874012,0.00685577832,0.00949874012
DTI,FTPC,pca1,F27,0.00940354674,0.00654212616,0.00940354674
DTI,FTPC,pca1,P41,-0.00928759554,0.006793076,0.00928759554
DTI,FTPC,pca1,P64,-0.009123023019999999,0.007357938159999999,0.009123023019999999
DTI,FTPC,pca1,F3,0.00889033634,0.006889995460000001,0.00889033634
DTI,FTPC,pca1,C5,-0.0087762696,0.006672002640000001,0.0087762696
DTI,FTPC,pca1,T10,0.008547816136,0.007022078980000001,0.008547816136
DTI,FTPC,pca1,P116,-0.00844812826,0.0069911758800000005,0.00844812826
DTI,FTPC,pca1,P51,-0.00844607374,0.0062486550000000005,0.00844607374
DTI,FTPC,pca1,P81,-0.0083721429,0.0062418701200000004,0.0083721429
DTI,FTPC,pca1,F124,0.0082008722,0.00655643414,0.0082008722
DTI,FTPC,pca1,F62,0.00811888694,0.00599484238,0.00811888694
DTI,FTPC,pca1,F160,0.00809296434,0.0063180931600000005,0.00809296434
DTI,FTPC,pca1,F164,0.007860526900000001,0.006945681380000001,0.007860526900000001
DTI,FTPC,pca1,P47,0.007836011600000001,0.0060923107800000004,0.007836011600000001
DTI,FTPC,pca1,F39,-0.0077825073600000004,0.006621474820000001,0.0077825073600000004
DTI,FTPC,pca1,P43,-0.00773952,0.006306954280000001,0.00773952
DTI,FTPC,pca1,P72,0.0076921452,0.00648639728,0.0076921452
DTI,FTPC,pca1,P123,-0.00768789494,0.00639063462,0.00768789494
DTI,FTPC,pca1,F34,0.00767543208,0.006728398500000001,0.00767543208
DTI,FTPC,pca1,P11,-0.007593937534000001,0.006738875619999999,0.007593937534000001
DTI,FTPC,pca1,F114,0.00745735812,0.006208177380000001,0.00745735812
DTI,FTPC,pca1,P6,-0.0074483061399999995,0.00595362826,0.0074483061399999995
DTI,FTPC,pca1,P22,-0.00731031446,0.0063435702600000005,0.00731031446
DTI,FTPC,pca1,F132,0.0073022882,0.00651607818,0.0073022882
DTI,FTPC,pca1,F168,-0.0071900327,0.00631783656,0.0071900327
DTI,FTPC,pca1,F104,-0.0070579002,0.0062644580399999995,0.0070579002
DTI,FTPC,pca1,F66,-0.007043926819999999,0.00620930142,0.007043926819999999
DTI,FTPC,pca1,P1,0.00699652186,0.00633497822,0.00699652186
DTI,FTPC,pca1,C27,-0.006963522378000001,0.00654261674,0.006963522378000001
DTI,FTPC,pca1,P97,-0.00688331256,0.00687679816,0.00688331256
DTI,FTPC,pca1,T3,0.006834727840000001,0.00707508548,0.006834727840000001
DTI,FTPC,pca1,F128,0.006826714239999999,0.006479805920000001,0.006826714239999999
DTI,FTPC,pca1,P78,-0.0067930468600000005,0.007231041739999999,0.0067930468600000005
DTI,FTPC,pca1,C7,0.0067420458599999995,0.006544229,0.0067420458599999995
DTI,FTPC,pca1,F111,-0.0066991156159999996,0.00621258982,0.0066991156159999996
DTI,FTPC,pca1,P4,-0.0066189518,0.00620825662,0.0066189518
DTI,FTPC,pca1,F2,0.006618638140000001,0.00677288176,0.006618638140000001
DTI,FTPC,pca1,P113,0.00661429667,0.00667927426,0.00661429667
DTI,FTPC,pca1,F40,-0.00651365318,0.00593070338,0.00651365318
DTI,FTPC,pca1,P103,0.00650813992,0.00638627682,0.00650813992
DTI,FTPC,pca1,F99,-0.006485087711999999,0.00648067354,0.006485087711999999
DTI,FTPC,pca1,C15,0.0063862083,0.0063035174999999995,0.0063862083
DTI,FTPC,pca1,F74,-0.0063637954099999994,0.006685502679999999,0.0063637954099999994
DTI,FTPC,pca1,P66,0.006312708119999999,0.00630504724,0.006312708119999999
DTI,FTPC,pca1,F80,0.00630263516,0.006678906399999999,0.00630263516
DTI,FTPC,pca1,P19,-0.00627398368,0.0066572279,0.00627398368
DTI,FTPC,pca1,F28,0.00625906748,0.00641901956,0.00625906748
DTI,FTPC,pca1,F120,0.00624426414,0.00627509392,0.00624426414
DTI,FTPC,pca1,C25,-0.0061352894000000005,0.00649892718,0.0061352894000000005
DTI,FTPC,pca1,P104,0.006045517459999999,0.00651344128,0.006045517459999999
DTI,FTPC,pca1,C12,-0.0060069530599999995,0.0062197097,0.0060069530599999995
DTI,FTPC,pca1,F72,0.00598884486,0.0066443405,0.00598884486
DTI,FTPC,pca1,P73,-0.0059818156999999995,0.006725695379999999,0.0059818156999999995
