Data Type,Target,Feature,Mean_Gradient,Std_Gradient
DTI,pca1,C1,0.000575422956,0.00690898723999995
DTI,pca1,C10,-0.00117600233899995,0.00662703179999995
DTI,pca1,C11,-0.011292322550000001,0.007166509229999949
DTI,pca1,C12,-0.0068172759399999,0.00640896111
DTI,pca1,C13,-0.00211311899,0.00641316018
DTI,pca1,C14,0.0022598278073,0.00671696824
DTI,pca1,C15,0.005878088272999999,0.00669923673999995
DTI,pca1,C16,-0.001652274323,0.006970191129999951
DTI,pca1,C17,0.0025259555099999,0.006926410060000001
DTI,pca1,C18,-0.001248091455,0.0068604160799999505
DTI,pca1,C19,0.002797533625,0.00674877131
DTI,pca1,C2,-0.000614956403,0.0067579785
DTI,pca1,C20,-0.00507215483,0.00707363480999995
DTI,pca1,C21,-0.005717893029,0.00684042745999995
DTI,pca1,C22,0.00440729998,0.006548829149999999
DTI,pca1,C23,0.00594438591399995,0.00654776557
DTI,pca1,C24,0.002253708136,0.00690235431999995
DTI,pca1,C25,-0.00602262209,0.00706291
DTI,pca1,C26,0.00396881366499995,0.0067454779
DTI,pca1,C27,-0.007680156165,0.006650837870000001
DTI,pca1,C28,-0.004961746249999999,0.00655976602999995
DTI,pca1,C29,-0.00218903654,0.00675099076
DTI,pca1,C3,-0.0010432383270000001,0.00668454187
DTI,pca1,C30,0.0040225191980000005,0.00654804977
DTI,pca1,C31,-0.002826163464,0.00668730961
DTI,pca1,C4,-0.016689104150000002,0.00707498778
DTI,pca1,C5,-0.00753714573,0.0069527415700000005
DTI,pca1,C6,-0.01021220356,0.00714062912999995
DTI,pca1,C7,0.00553084837999995,0.007146763170000001
DTI,pca1,C8,0.00083364974299995,0.00724521072999995
DTI,pca1,C9,-0.01055492328,0.0064560880299999995
DTI,pca1,F1,0.002313673966666633,0.0067505238933333
DTI,pca1,F10,0.0026971879526666333,0.0065597148866666675
DTI,pca1,F100,0.003433156342466633,0.006838125073333333
DTI,pca1,F101,0.0021188108286666336,0.0066363116
DTI,pca1,F102,-0.0027573933200000333,0.006798792079999966
