Data Type,Subset Type,Target,Outer Fold,Feature,Mean Gradient,Std Gradient
SMRI,FTPC,c0b,1,F1,0.0014989569,0.008871573
SMRI,FTPC,c0b,1,F2,-0.005704024,0.006098685
SMRI,FTPC,c0b,1,F3,-0.004425854,0.0063220095
SMRI,FTPC,c0b,1,F4,0.010800589,0.0063114855
SMRI,FTPC,c0b,1,F5,-0.0026653495,0.0069403052
SMRI,FTPC,c0b,1,F6,-0.008128933,0.0071936836
SMRI,FTPC,c0b,1,F7,0.012561114,0.0066056824
SMRI,FTPC,c0b,1,F8,0.014108555,0.008071599
SMRI,FTPC,c0b,1,F9,0.002233788,0.006201229
SMRI,FTPC,c0b,1,F10,-0.004213186,0.005344311
SMRI,FTPC,c0b,1,F11,0.008077064,0.00821095
SMRI,FTPC,c0b,1,F12,-0.014022122,0.0061587156
SMRI,FTPC,c0b,1,F13,1.17828495e-05,0.0052433186
SMRI,FTPC,c0b,1,F14,0.010695065,0.0072231926
SMRI,FTPC,c0b,1,F15,0.012589454,0.0061407653
SMRI,FTPC,c0b,1,F16,0.0022381563,0.0061237845
SMRI,FTPC,c0b,1,F17,-0.0079678735,0.006159574
SMRI,FTPC,c0b,1,F18,-0.004151686,0.0063176756
SMRI,FTPC,c0b,1,F19,0.009931214,0.006867606
SMRI,FTPC,c0b,1,F20,-0.015252372,0.0062649124
SMRI,FTPC,c0b,1,F21,0.0076380065,0.0061573726
SMRI,FTPC,c0b,1,F22,0.0029407272,0.00630372
SMRI,FTPC,c0b,1,F23,0.0030161338,0.007526851
SMRI,FTPC,c0b,1,F24,0.009463883,0.006925567
SMRI,FTPC,c0b,1,F25,0.01107545,0.0070943674
SMRI,FTPC,c0b,1,F26,0.009510002,0.0067006852
SMRI,FTPC,c0b,1,F27,0.0137423165,0.0071169697
SMRI,FTPC,c0b,1,F28,0.004104925,0.007064163
SMRI,FTPC,c0b,1,F29,-0.0050977124,0.0062923366
SMRI,FTPC,c0b,1,F30,-0.0059470856,0.0066921352
SMRI,FTPC,c0b,1,F31,0.009276898,0.0074561657
SMRI,FTPC,c0b,1,F32,-0.0036551808,0.0064691594
SMRI,FTPC,c0b,1,F33,0.0013425297,0.009072976
SMRI,FTPC,c0b,1,F34,0.009065481,0.006270753
SMRI,FTPC,c0b,1,F35,-0.001592984,0.0068257027
SMRI,FTPC,c0b,1,F36,-0.0029316677,0.006965775
SMRI,FTPC,c0b,1,F37,0.01977593,0.008138777
SMRI,FTPC,c0b,1,F38,0.011585142,0.00658161
SMRI,FTPC,c0b,1,F39,-0.0200507,0.0069377087
SMRI,FTPC,c0b,1,F40,0.00042188144,0.0061390377
SMRI,FTPC,c0b,1,F41,0.014392346,0.007609452
