Data Type,Subset Type,Target,Feature,Mean_Gradient,Std_Gradient,Abs_Mean_Gradient
SMRI,FTPC,c0b,R1,-0.031415529,0.009954616900000001,0.031415529
SMRI,FTPC,c0b,F158,0.025329891599999998,0.0094261712,0.025329891599999998
SMRI,FTPC,c0b,F56,0.0244422348,0.0087932006,0.0244422348
SMRI,FTPC,c0b,P21,0.0231142868,0.010030643340000001,0.0231142868
SMRI,FTPC,c0b,F123,-0.021966596999999997,0.009155627999999999,0.021966596999999997
SMRI,FTPC,c0b,F127,-0.02134561,0.00846363034,0.02134561
SMRI,FTPC,c0b,F39,-0.0198746022,0.00792409628,0.0198746022
SMRI,FTPC,c0b,F48,0.019788262,0.0086719002,0.019788262
SMRI,FTPC,c0b,T9,-0.0194189692,0.0084993844,0.0194189692
SMRI,FTPC,c0b,F142,-0.0193925672,0.00855396676,0.0193925672
SMRI,FTPC,c0b,F107,0.018642973200000003,0.0080086874,0.018642973200000003
SMRI,FTPC,c0b,F139,0.018077742,0.0083803633,0.018077742
SMRI,FTPC,c0b,F37,0.0180679398,0.00817584774,0.0180679398
SMRI,FTPC,c0b,T10,-0.017928442,0.0078827864,0.017928442
SMRI,FTPC,c0b,P20,0.017787397599999998,0.00805162234,0.017787397599999998
SMRI,FTPC,c0b,F108,0.017217491799999998,0.00806081986,0.017217491799999998
SMRI,FTPC,c0b,F72,-0.0165288314,0.00933264386,0.0165288314
SMRI,FTPC,c0b,P92,-0.016118590999999998,0.00854644086,0.016118590999999998
SMRI,FTPC,c0b,P78,-0.01604774356,0.00891600426,0.01604774356
SMRI,FTPC,c0b,P65,-0.0160195888,0.008702052339999999,0.0160195888
SMRI,FTPC,c0b,F141,-0.01568162328,0.00765924394,0.01568162328
SMRI,FTPC,c0b,P68,-0.0156077664,0.008246759119999999,0.0156077664
SMRI,FTPC,c0b,P107,0.015308788600000001,0.0085997803,0.015308788600000001
SMRI,FTPC,c0b,F41,0.01484200808,0.008617325079999998,0.01484200808
SMRI,FTPC,c0b,P81,0.014497946000000001,0.00884593756,0.014497946000000001
SMRI,FTPC,c0b,C9,0.0144885076,0.0075549801400000005,0.0144885076
SMRI,FTPC,c0b,P30,0.0143541434,0.007905882880000001,0.0143541434
SMRI,FTPC,c0b,P75,0.0142287011,0.0070635001,0.0142287011
SMRI,FTPC,c0b,F47,0.0139944088,0.0081294957,0.0139944088
SMRI,FTPC,c0b,P48,-0.013984240540000002,0.00769212462,0.013984240540000002
SMRI,FTPC,c0b,F19,0.0136561647,0.008225231119999999,0.0136561647
SMRI,FTPC,c0b,F147,0.013627051900000001,0.00758668262,0.013627051900000001
SMRI,FTPC,c0b,T2,-0.013484760899999998,0.00720274158,0.013484760899999998
SMRI,FTPC,c0b,F104,0.013437140480000002,0.008600784279999999,0.013437140480000002
SMRI,FTPC,c0b,F98,-0.01297910242,0.00759033784,0.01297910242
SMRI,FTPC,c0b,P73,0.01291427054,0.00755948962,0.01291427054
SMRI,FTPC,c0b,F4,0.0127642104,0.0076001185,0.0127642104
SMRI,FTPC,c0b,F136,0.012717201680000002,0.00897032438,0.012717201680000002
SMRI,FTPC,c0b,F167,-0.012652548359999998,0.00794757752,0.012652548359999998
SMRI,FTPC,c0b,F50,0.012576277679999998,0.00751867906,0.012576277679999998
SMRI,FTPC,c0b,F63,0.012549015,0.00755806426,0.012549015
