Data Type,Subset Type,Target,Outer Fold,Feature,Mean Gradient,Std Gradient
SMRI,FTC,c2b,5,F1,0.0002571444,0.012530199
SMRI,FTC,c2b,5,F2,0.016766883,0.01047839
SMRI,FTC,c2b,5,F3,0.0020024765,0.011567395
SMRI,FTC,c2b,5,F4,0.028121091,0.013425896
SMRI,FTC,c2b,5,F5,0.01702365,0.013256815
SMRI,FTC,c2b,5,F6,0.01454667,0.014321804
SMRI,FTC,c2b,5,F7,0.0076953676,0.009545241
SMRI,FTC,c2b,5,F8,0.014335284,0.01089975
SMRI,FTC,c2b,5,F9,-0.0053540654,0.011183776
SMRI,FTC,c2b,5,F10,0.009744377,0.010688591
SMRI,FTC,c2b,5,F11,0.017945997,0.011117902
SMRI,FTC,c2b,5,F12,0.006461846,0.012687709
SMRI,FTC,c2b,5,F13,0.01685336,0.012675277
SMRI,FTC,c2b,5,F14,-0.002076275,0.013926151
SMRI,FTC,c2b,5,F15,0.0019693896,0.009941002
SMRI,FTC,c2b,5,F16,0.0063876375,0.009599742
SMRI,FTC,c2b,5,F17,0.0041549886,0.012433328
SMRI,FTC,c2b,5,F18,-0.012439894,0.011091192
SMRI,FTC,c2b,5,F19,0.010374474,0.010177301
SMRI,FTC,c2b,5,F20,-0.010395051,0.014996057
SMRI,FTC,c2b,5,F21,0.007488637,0.009619024
SMRI,FTC,c2b,5,F22,0.009270812,0.011345416
SMRI,FTC,c2b,5,F23,0.0030104248,0.008900899
SMRI,FTC,c2b,5,F24,0.021622185,0.01262248
SMRI,FTC,c2b,5,F25,0.007476007,0.011652611
SMRI,FTC,c2b,5,F26,0.007990224,0.010810237
SMRI,FTC,c2b,5,F27,0.0027779783,0.011053741
SMRI,FTC,c2b,5,F28,-0.013304225,0.012002549
SMRI,FTC,c2b,5,F29,-0.0027279782,0.010548909
SMRI,FTC,c2b,5,F30,-0.021937903,0.010441966
SMRI,FTC,c2b,5,F31,0.0046536135,0.009776207
SMRI,FTC,c2b,5,F32,-0.0010529914,0.010852293
SMRI,FTC,c2b,5,F33,0.005683932,0.009662301
SMRI,FTC,c2b,5,F34,0.0051072757,0.011157
SMRI,FTC,c2b,5,F35,-0.0032717958,0.013266015
SMRI,FTC,c2b,5,F36,-0.0008336586,0.010825257
SMRI,FTC,c2b,5,F37,0.026818145,0.013382106
SMRI,FTC,c2b,5,F38,0.027221773,0.012285474
SMRI,FTC,c2b,5,F39,-0.023477463,0.013751954
SMRI,FTC,c2b,5,F40,-0.0058261314,0.012574893
SMRI,FTC,c2b,5,F41,0.026798598,0.011712961
SMRI,FTC,c2b,5,F42,0.0062090545,0.009931129
SMRI,FTC,c2b,5,F43,-0.015082662,0.010324788
SMRI,FTC,c2b,5,F44,-0.021832287,0.0109712
SMRI,FTC,c2b,5,F45,-0.013990195,0.009850111
SMRI,FTC,c2b,5,F46,-0.002419646,0.0099809235
SMRI,FTC,c2b,5,F47,0.010787453,0.011088421
SMRI,FTC,c2b,5,F48,0.032498594,0.011503589
SMRI,FTC,c2b,5,F49,-0.0027275223,0.01655559
SMRI,FTC,c2b,5,F50,0.010560673,0.010569677
SMRI,FTC,c2b,5,F51,0.013806838,0.011160272
SMRI,FTC,c2b,5,F52,0.0023191434,0.011131369
SMRI,FTC,c2b,5,F53,0.0076663103,0.010459853
SMRI,FTC,c2b,5,F54,-0.009288595,0.012685317
SMRI,FTC,c2b,5,F55,0.004577468,0.011404562
SMRI,FTC,c2b,5,F56,0.034933016,0.015853103
SMRI,FTC,c2b,5,F57,-0.007324077,0.010916583
SMRI,FTC,c2b,5,F58,-0.021323718,0.009869304
SMRI,FTC,c2b,5,F59,0.017083509,0.011172453
SMRI,FTC,c2b,5,F60,0.011748011,0.009522273
SMRI,FTC,c2b,5,F61,-0.008717602,0.012406867
SMRI,FTC,c2b,5,F62,-0.011216886,0.010161534
SMRI,FTC,c2b,5,F63,0.0154087795,0.010891546
SMRI,FTC,c2b,5,F64,-0.016175004,0.010045089
SMRI,FTC,c2b,5,F65,-0.012341536,0.011313112
SMRI,FTC,c2b,5,F66,0.02784086,0.01268528
SMRI,FTC,c2b,5,F67,-0.008185829,0.012302176
SMRI,FTC,c2b,5,F68,-0.017348414,0.011538981
SMRI,FTC,c2b,5,F69,-0.016307354,0.010744948
SMRI,FTC,c2b,5,F70,0.02689176,0.0116031375
SMRI,FTC,c2b,5,F71,-0.0018667645,0.014112245
SMRI,FTC,c2b,5,F72,0.0018733706,0.012781611
SMRI,FTC,c2b,5,F73,0.014179473,0.009395947
SMRI,FTC,c2b,5,F74,0.0029924612,0.010997142
SMRI,FTC,c2b,5,F75,-0.0079170335,0.010369398
SMRI,FTC,c2b,5,F76,0.012846844,0.009204913
SMRI,FTC,c2b,5,F77,-0.020235442,0.011985583
SMRI,FTC,c2b,5,F78,0.010251175,0.010810248
SMRI,FTC,c2b,5,F79,-0.021247605,0.014354521
SMRI,FTC,c2b,5,F80,-0.023474915,0.013252775
SMRI,FTC,c2b,5,F81,-0.015128967,0.010249431
SMRI,FTC,c2b,5,F82,-0.02261376,0.015770217
SMRI,FTC,c2b,5,F83,-0.016650053,0.0132238595
SMRI,FTC,c2b,5,F84,0.0055311415,0.01100905
SMRI,FTC,c2b,5,F85,-0.010078499,0.011302312
SMRI,FTC,c2b,5,F86,0.00037232737,0.0107242055
SMRI,FTC,c2b,5,F87,0.00038887854,0.012576195
SMRI,FTC,c2b,5,F88,0.0026743265,0.011791573
SMRI,FTC,c2b,5,F89,-0.014272342,0.00980921
SMRI,FTC,c2b,5,F90,0.008468389,0.010671753
SMRI,FTC,c2b,5,F91,-0.010211809,0.014649186
SMRI,FTC,c2b,5,F92,-0.023275949,0.011756491
SMRI,FTC,c2b,5,F93,0.031777594,0.012786184
SMRI,FTC,c2b,5,F94,-0.028457826,0.011860208
SMRI,FTC,c2b,5,F95,-0.014963899,0.013729257
SMRI,FTC,c2b,5,F96,0.0143815065,0.011590171
SMRI,FTC,c2b,5,F97,-0.0019440779,0.012857113
SMRI,FTC,c2b,5,F98,-0.016086059,0.010773952
SMRI,FTC,c2b,5,F99,-0.0074851154,0.012545024
SMRI,FTC,c2b,5,F100,0.012653544,0.010748307
SMRI,FTC,c2b,5,F101,-0.021057384,0.011784018
SMRI,FTC,c2b,5,F102,0.010567571,0.011406105
SMRI,FTC,c2b,5,F103,-0.00057011074,0.011635568
SMRI,FTC,c2b,5,F104,-0.0036372188,0.012433524
SMRI,FTC,c2b,5,F105,0.002934976,0.0116343945
SMRI,FTC,c2b,5,F106,-0.006687695,0.009587845
SMRI,FTC,c2b,5,F107,0.02908211,0.012336969
SMRI,FTC,c2b,5,F108,0.008035961,0.012013704
SMRI,FTC,c2b,5,F109,0.015948093,0.010251621
SMRI,FTC,c2b,5,F110,0.01651702,0.012008746
SMRI,FTC,c2b,5,F111,0.020448431,0.011069181
SMRI,FTC,c2b,5,F112,0.01067493,0.012073348
SMRI,FTC,c2b,5,F113,-0.0075664185,0.012028217
SMRI,FTC,c2b,5,F114,-0.0047263633,0.010764244
SMRI,FTC,c2b,5,F115,0.00016328861,0.012921436
SMRI,FTC,c2b,5,F116,0.0080066295,0.012324711
SMRI,FTC,c2b,5,F117,-0.018665913,0.011254701
SMRI,FTC,c2b,5,F118,-0.0026109444,0.011910258
SMRI,FTC,c2b,5,F119,0.0019173515,0.011351982
