Data Type,Subset Type,Target,Outer Fold,Feature,Mean Gradient,Std Gradient
SMRI,FTP,c2b,2,F1,-0.006311885,0.0057343696
SMRI,FTP,c2b,2,F2,-0.0038274212,0.006897718
SMRI,FTP,c2b,2,F3,0.005488175,0.006823203
SMRI,FTP,c2b,2,F4,0.014156691,0.007673948
SMRI,FTP,c2b,2,F5,0.020073103,0.007245783
SMRI,FTP,c2b,2,F6,-0.0026333863,0.0061175856
SMRI,FTP,c2b,2,F7,0.01071594,0.0067695472
SMRI,FTP,c2b,2,F8,0.011697296,0.008355493
SMRI,FTP,c2b,2,F9,0.0007128059,0.006283261
SMRI,FTP,c2b,2,F10,0.0024015307,0.0064451285
SMRI,FTP,c2b,2,F11,0.0039172443,0.00724738
SMRI,FTP,c2b,2,F12,-0.0059613655,0.007745476
SMRI,FTP,c2b,2,F13,-0.0047016973,0.006792472
SMRI,FTP,c2b,2,F14,-0.005063824,0.007203719
SMRI,FTP,c2b,2,F15,-0.016101005,0.008205472
SMRI,FTP,c2b,2,F16,0.0033189848,0.007953348
SMRI,FTP,c2b,2,F17,-0.00014628124,0.007273556
SMRI,FTP,c2b,2,F18,0.002703957,0.007763441
SMRI,FTP,c2b,2,F19,0.007629483,0.0065433485
SMRI,FTP,c2b,2,F20,0.0053323153,0.006679114
SMRI,FTP,c2b,2,F21,-0.0065591424,0.00651079
SMRI,FTP,c2b,2,F22,0.013768341,0.006995149
SMRI,FTP,c2b,2,F23,0.005764304,0.006588547
SMRI,FTP,c2b,2,F24,0.0067832014,0.00647833
SMRI,FTP,c2b,2,F25,0.009620008,0.0067233425
SMRI,FTP,c2b,2,F26,0.0054381425,0.0072453446
SMRI,FTP,c2b,2,F27,-0.0041316207,0.007311093
SMRI,FTP,c2b,2,F28,0.0040728427,0.0071568983
SMRI,FTP,c2b,2,F29,-0.021431815,0.007728693
SMRI,FTP,c2b,2,F30,-0.018177707,0.010846898
SMRI,FTP,c2b,2,F31,-1.2711201e-05,0.0062777856
SMRI,FTP,c2b,2,F32,0.009480515,0.009298736
SMRI,FTP,c2b,2,F33,6.4348337e-06,0.008260926
SMRI,FTP,c2b,2,F34,0.00082526903,0.0065203044
SMRI,FTP,c2b,2,F35,-0.011870207,0.007100731
SMRI,FTP,c2b,2,F36,-0.0050998777,0.008914936
SMRI,FTP,c2b,2,F37,0.011163109,0.008649435
SMRI,FTP,c2b,2,F38,0.0071252994,0.0076157465
SMRI,FTP,c2b,2,F39,-0.0046147564,0.006984968
SMRI,FTP,c2b,2,F40,-0.0026005665,0.007511946
SMRI,FTP,c2b,2,F41,0.016871344,0.007974988
SMRI,FTP,c2b,2,F42,0.009240964,0.0063212635
SMRI,FTP,c2b,2,F43,0.0071165627,0.007199299
SMRI,FTP,c2b,2,F44,-0.005921934,0.0072872736
SMRI,FTP,c2b,2,F45,-0.0018600984,0.006278522
SMRI,FTP,c2b,2,F46,0.001322855,0.00722574
SMRI,FTP,c2b,2,F47,0.005919637,0.007390971
SMRI,FTP,c2b,2,F48,0.0085401805,0.007222135
SMRI,FTP,c2b,2,F49,0.0015618148,0.007701201
SMRI,FTP,c2b,2,F50,0.017288871,0.009240338
SMRI,FTP,c2b,2,F51,0.009858658,0.006899349
SMRI,FTP,c2b,2,F52,-0.0017274728,0.007212217
SMRI,FTP,c2b,2,F53,-0.0068911184,0.007163187
SMRI,FTP,c2b,2,F54,-0.010977843,0.007504528
SMRI,FTP,c2b,2,F55,0.003899044,0.0079826275
SMRI,FTP,c2b,2,F56,0.024827354,0.009524742
SMRI,FTP,c2b,2,F57,-0.0032591955,0.008582943
SMRI,FTP,c2b,2,F58,-0.0030014508,0.007988007
SMRI,FTP,c2b,2,F59,0.0053040935,0.006808003
SMRI,FTP,c2b,2,F60,0.00917983,0.0070814616
SMRI,FTP,c2b,2,F61,0.008727323,0.006375272
SMRI,FTP,c2b,2,F62,-0.0045882543,0.00755549
SMRI,FTP,c2b,2,F63,0.0037206071,0.008348127
SMRI,FTP,c2b,2,F64,-0.005401793,0.009296907
SMRI,FTP,c2b,2,F65,-0.008647804,0.00806154
SMRI,FTP,c2b,2,F66,0.0061076824,0.0068228412
SMRI,FTP,c2b,2,F67,-0.0007472477,0.0075311363
SMRI,FTP,c2b,2,F68,0.0009235064,0.007373883
SMRI,FTP,c2b,2,F69,0.0033184562,0.006578667
SMRI,FTP,c2b,2,F70,0.0029085814,0.0062471502
SMRI,FTP,c2b,2,F71,0.0027764163,0.007082702
SMRI,FTP,c2b,2,F72,-0.013190707,0.0072532385
SMRI,FTP,c2b,2,F73,-0.000760439,0.010199991
SMRI,FTP,c2b,2,F74,-0.014263764,0.0071810945
SMRI,FTP,c2b,2,F75,-0.004856325,0.0071152486
SMRI,FTP,c2b,2,F76,-0.0007845024,0.008042046
SMRI,FTP,c2b,2,F77,-0.007876651,0.0078675
SMRI,FTP,c2b,2,F78,0.00865023,0.0072546043
SMRI,FTP,c2b,2,F79,-0.015363507,0.008003563
SMRI,FTP,c2b,2,F80,-0.00845883,0.0068556033
SMRI,FTP,c2b,2,F81,-0.007251655,0.008881624
SMRI,FTP,c2b,2,F82,-0.004239395,0.007926579
SMRI,FTP,c2b,2,F83,-0.00074685237,0.0074611763
SMRI,FTP,c2b,2,F84,0.012780922,0.009027169
SMRI,FTP,c2b,2,F85,0.0025200332,0.00664781
SMRI,FTP,c2b,2,F86,-0.0073973523,0.006921663
SMRI,FTP,c2b,2,F87,-0.0034629628,0.010089066
SMRI,FTP,c2b,2,F88,-0.0008263991,0.006749808
SMRI,FTP,c2b,2,F89,0.005476047,0.006096177
SMRI,FTP,c2b,2,F90,-0.002754319,0.0068183444
SMRI,FTP,c2b,2,F91,0.001033046,0.0081430385
SMRI,FTP,c2b,2,F92,-0.007072198,0.00683248
SMRI,FTP,c2b,2,F93,0.0037875334,0.008961122
SMRI,FTP,c2b,2,F94,-0.0058955844,0.007227706
SMRI,FTP,c2b,2,F95,0.005906107,0.008005624
SMRI,FTP,c2b,2,F96,0.005526341,0.007825812
SMRI,FTP,c2b,2,F97,0.0033033872,0.008015747
SMRI,FTP,c2b,2,F98,-0.004940618,0.006020844
SMRI,FTP,c2b,2,F99,0.0033249285,0.007194883
SMRI,FTP,c2b,2,F100,0.005664739,0.008287432
SMRI,FTP,c2b,2,F101,-0.006481647,0.0073213843
SMRI,FTP,c2b,2,F102,-0.007550293,0.007828648
SMRI,FTP,c2b,2,F103,-0.0046792747,0.0071623507
SMRI,FTP,c2b,2,F104,0.016397677,0.007845765
SMRI,FTP,c2b,2,F105,-0.00020138574,0.007583402
SMRI,FTP,c2b,2,F106,-0.008925462,0.0074439305
SMRI,FTP,c2b,2,F107,0.024199277,0.009512607
SMRI,FTP,c2b,2,F108,0.007551241,0.008806523
SMRI,FTP,c2b,2,F109,0.008508339,0.0069576455
SMRI,FTP,c2b,2,F110,0.0076887803,0.00927628
SMRI,FTP,c2b,2,F111,0.0064685526,0.008308698
SMRI,FTP,c2b,2,F112,0.0003949985,0.006448124
SMRI,FTP,c2b,2,F113,-0.004694839,0.006728794
SMRI,FTP,c2b,2,F114,0.0098733725,0.008136342
SMRI,FTP,c2b,2,F115,-0.004781738,0.006867333
