Data Type,Subset Type,Target,Feature,Mean_Gradient,Std_Gradient,Abs_Mean_Gradient
SMRI,FTP,c2b,R1,-0.030330103799999997,0.009763849299999999,0.030330103799999997
SMRI,FTP,c2b,F56,0.0250825698,0.009138963,0.0250825698
SMRI,FTP,c2b,F107,0.0236548636,0.0098660586,0.0236548636
SMRI,FTP,c2b,F158,0.0219486416,0.0083120936,0.0219486416
SMRI,FTP,c2b,T9,-0.0215587744,0.00884068568,0.0215587744
SMRI,FTP,c2b,P65,-0.0215323074,0.009688230400000001,0.0215323074
SMRI,FTP,c2b,P21,0.0208936564,0.0086697848,0.0208936564
SMRI,FTP,c2b,P92,-0.0203442274,0.0086876846,0.0203442274
SMRI,FTP,c2b,F123,-0.0196250356,0.0088690174,0.0196250356
SMRI,FTP,c2b,P78,-0.017931822,0.0084226186,0.017931822
SMRI,FTP,c2b,F127,-0.017555626339999998,0.008022637400000001,0.017555626339999998
SMRI,FTP,c2b,P68,-0.0172813013,0.009400249500000001,0.0172813013
SMRI,FTP,c2b,F41,0.0156302574,0.00761390032,0.0156302574
SMRI,FTP,c2b,P6,0.0156064554,0.00778116846,0.0156064554
SMRI,FTP,c2b,P20,0.0154291076,0.0081920536,0.0154291076
SMRI,FTP,c2b,F22,0.015356841,0.00753225924,0.015356841
SMRI,FTP,c2b,F139,0.0147583613,0.0085794214,0.0147583613
SMRI,FTP,c2b,P75,0.014165750999999999,0.007798443720000001,0.014165750999999999
SMRI,FTP,c2b,P38,-0.01412257966,0.0074995115,0.01412257966
SMRI,FTP,c2b,F84,0.013997456520000002,0.0085571786,0.013997456520000002
SMRI,FTP,c2b,P101,-0.013957471700000001,0.0081182899,0.013957471700000001
SMRI,FTP,c2b,F80,-0.0136275644,0.0077104072600000005,0.0136275644
SMRI,FTP,c2b,F109,0.0133186586,0.0080497572,0.0133186586
SMRI,FTP,c2b,F37,0.01292424844,0.00772857094,0.01292424844
SMRI,FTP,c2b,P80,-0.012827512600000002,0.0083694791,0.012827512600000002
SMRI,FTP,c2b,F142,-0.012802722999999998,0.00810562048,0.012802722999999998
SMRI,FTP,c2b,F133,-0.0127363648,0.00845930036,0.0127363648
SMRI,FTP,c2b,F5,0.012633397499999999,0.007517416460000001,0.012633397499999999
SMRI,FTP,c2b,F108,0.012577663,0.00790272806,0.012577663
SMRI,FTP,c2b,F111,0.012527843720000001,0.007580883080000001,0.012527843720000001
SMRI,FTP,c2b,F48,0.01244537498,0.0080552674,0.01244537498
SMRI,FTP,c2b,F59,0.0124202669,0.00787008738,0.0124202669
SMRI,FTP,c2b,T10,-0.01240388798,0.00801691552,0.01240388798
SMRI,FTP,c2b,F4,0.0123274978,0.0080656112,0.0123274978
SMRI,FTP,c2b,F51,0.012058134,0.00751935368,0.012058134
SMRI,FTP,c2b,F150,0.0117338332,0.00790553574,0.0117338332
SMRI,FTP,c2b,F77,-0.01156465,0.00766219994,0.01156465
SMRI,FTP,c2b,P120,0.0115010067,0.00785630572,0.0115010067
SMRI,FTP,c2b,F147,0.01142584628,0.00737964346,0.01142584628
SMRI,FTP,c2b,F141,-0.01135951,0.00767973788,0.01135951
SMRI,FTP,c2b,F39,-0.0113110258,0.0077235656,0.0113110258
SMRI,FTP,c2b,P113,0.011302590599999999,0.00717581618,0.011302590599999999
SMRI,FTP,c2b,F163,-0.011270033320000001,0.00764302974,0.011270033320000001
SMRI,FTP,c2b,F151,0.011212102800000002,0.00916975832,0.011212102800000002
SMRI,FTP,c2b,F136,0.0111683479,0.008068304,0.0111683479
SMRI,FTP,c2b,F164,0.0110433006,0.007376208380000001,0.0110433006
SMRI,FTP,c2b,P36,-0.01090159366,0.00859601314,0.01090159366
SMRI,FTP,c2b,P105,0.01089489326,0.0088241472,0.01089489326
SMRI,FTP,c2b,P73,0.010877889509999999,0.00788031036,0.010877889509999999
SMRI,FTP,c2b,F50,0.010862073,0.00804218898,0.010862073
SMRI,FTP,c2b,F134,-0.0107927163,0.00718369582,0.0107927163
SMRI,FTP,c2b,F25,0.0107811342,0.00718749458,0.0107811342
SMRI,FTP,c2b,P72,0.01075027626,0.007749645500000001,0.01075027626
SMRI,FTP,c2b,P76,-0.01053286512,0.0072367618600000004,0.01053286512
SMRI,FTP,c2b,F19,0.010432385720000001,0.007002607819999999,0.010432385720000001
SMRI,FTP,c2b,F55,0.01042342208,0.007787056759999999,0.01042342208
SMRI,FTP,c2b,P110,0.01028271048,0.007121920499999999,0.01028271048
SMRI,FTP,c2b,P41,0.01025702548,0.00727725132,0.01025702548
SMRI,FTP,c2b,T6,-0.010153753960000001,0.00823645468,0.010153753960000001
SMRI,FTP,c2b,P2,-0.01014822829,0.00746912704,0.01014822829
SMRI,FTP,c2b,F155,0.010053764679999999,0.008210969,0.010053764679999999
SMRI,FTP,c2b,F81,-0.010045272800000001,0.00764985346,0.010045272800000001
SMRI,FTP,c2b,F72,-0.0100438499,0.006926906280000001,0.0100438499
SMRI,FTP,c2b,P43,-0.0100282524,0.00788848672,0.0100282524
SMRI,FTP,c2b,P26,-0.00997189836,0.00744165166,0.00997189836
SMRI,FTP,c2b,F82,-0.0099475084,0.00815986732,0.0099475084
SMRI,FTP,c2b,P102,-0.00993570004,0.0073520133799999995,0.00993570004
SMRI,FTP,c2b,F110,0.00993248004,0.00844891962,0.00993248004
