Data Type,Subset Type,Target,Outer Fold,Feature,Mean Gradient,Std Gradient
SMRI,FTC,cbcl,1,F1,-0.0007910197,0.008396563
SMRI,FTC,cbcl,1,F2,-8.178672e-06,0.008307858
SMRI,FTC,cbcl,1,F3,0.011943227,0.007992939
SMRI,FTC,cbcl,1,F4,0.0021569342,0.013123626
SMRI,FTC,cbcl,1,F5,-0.0033063712,0.008895953
SMRI,FTC,cbcl,1,F6,0.016563062,0.008722623
SMRI,FTC,cbcl,1,F7,-0.002514686,0.008293178
SMRI,FTC,cbcl,1,F8,-0.020748656,0.010544349
SMRI,FTC,cbcl,1,F9,0.002179635,0.0077392426
SMRI,FTC,cbcl,1,F10,-0.0034906864,0.007652721
SMRI,FTC,cbcl,1,F11,0.0040814728,0.0075304005
SMRI,FTC,cbcl,1,F12,0.004764205,0.007128545
SMRI,FTC,cbcl,1,F13,-0.026971538,0.010794187
SMRI,FTC,cbcl,1,F14,-0.017618287,0.009422076
SMRI,FTC,cbcl,1,F15,0.015056354,0.01014766
SMRI,FTC,cbcl,1,F16,0.0028174382,0.00877234
SMRI,FTC,cbcl,1,F17,0.011631517,0.008580254
SMRI,FTC,cbcl,1,F18,-0.0035922406,0.00988831
SMRI,FTC,cbcl,1,F19,-0.012833603,0.008234051
SMRI,FTC,cbcl,1,F20,0.011695308,0.007426247
SMRI,FTC,cbcl,1,F21,0.0119822435,0.007802509
SMRI,FTC,cbcl,1,F22,-0.0006438196,0.0075577106
SMRI,FTC,cbcl,1,F23,-0.01073834,0.010118563
SMRI,FTC,cbcl,1,F24,-0.005576964,0.008149683
SMRI,FTC,cbcl,1,F25,-0.016791958,0.008735456
SMRI,FTC,cbcl,1,F26,0.0045995144,0.008912879
SMRI,FTC,cbcl,1,F27,-0.0046084393,0.007934983
SMRI,FTC,cbcl,1,F28,-0.0004483315,0.008969717
SMRI,FTC,cbcl,1,F29,0.002598738,0.008956338
SMRI,FTC,cbcl,1,F30,0.010829395,0.009334563
SMRI,FTC,cbcl,1,F31,-0.014866981,0.008841571
SMRI,FTC,cbcl,1,F32,0.0063853757,0.0066622794
SMRI,FTC,cbcl,1,F33,0.008960358,0.008879286
SMRI,FTC,cbcl,1,F34,0.0015752482,0.008035184
SMRI,FTC,cbcl,1,F35,-0.011071633,0.00903067
SMRI,FTC,cbcl,1,F36,-0.008909613,0.008673245
SMRI,FTC,cbcl,1,F37,-0.002572501,0.008103419
SMRI,FTC,cbcl,1,F38,-0.00025875453,0.007452819
SMRI,FTC,cbcl,1,F39,-0.002214304,0.008438319
SMRI,FTC,cbcl,1,F40,0.0077126934,0.00931075
SMRI,FTC,cbcl,1,F41,-0.00019906259,0.00999105
SMRI,FTC,cbcl,1,F42,0.0019690911,0.008411378
SMRI,FTC,cbcl,1,F43,-0.0044580917,0.008646206
SMRI,FTC,cbcl,1,F44,0.00042621137,0.008385899
SMRI,FTC,cbcl,1,F45,-0.0005758886,0.010903657
SMRI,FTC,cbcl,1,F46,-0.0049602953,0.008146748
SMRI,FTC,cbcl,1,F47,-0.0028776722,0.009032219
SMRI,FTC,cbcl,1,F48,-0.00088056707,0.0096788565
SMRI,FTC,cbcl,1,F49,0.027038507,0.012057325
SMRI,FTC,cbcl,1,F50,0.008392466,0.008080646
SMRI,FTC,cbcl,1,F51,-0.0045063547,0.008180642
SMRI,FTC,cbcl,1,F52,-0.002767657,0.009480416
SMRI,FTC,cbcl,1,F53,0.00023276049,0.008892306
SMRI,FTC,cbcl,1,F54,-0.0034075256,0.007734243
SMRI,FTC,cbcl,1,F55,-0.009373403,0.0103562
SMRI,FTC,cbcl,1,F56,-0.004191177,0.0073687793
SMRI,FTC,cbcl,1,F57,0.0022763289,0.010807702
SMRI,FTC,cbcl,1,F58,0.015690476,0.008912205
SMRI,FTC,cbcl,1,F59,-0.0058871894,0.008819492
SMRI,FTC,cbcl,1,F60,-0.016449096,0.008465164
SMRI,FTC,cbcl,1,F61,0.0008212879,0.009408783
SMRI,FTC,cbcl,1,F62,0.0013866575,0.01020181
SMRI,FTC,cbcl,1,F63,0.0047052708,0.008945999
SMRI,FTC,cbcl,1,F64,-0.007684494,0.008015272
SMRI,FTC,cbcl,1,F65,0.019065393,0.009061759
SMRI,FTC,cbcl,1,F66,-0.017062616,0.008770634
SMRI,FTC,cbcl,1,F67,-0.010342265,0.008921655
SMRI,FTC,cbcl,1,F68,0.010545336,0.008284998
SMRI,FTC,cbcl,1,F69,0.0039609633,0.008157542
SMRI,FTC,cbcl,1,F70,-0.009016483,0.009364957
SMRI,FTC,cbcl,1,F71,0.004623003,0.008428675
SMRI,FTC,cbcl,1,F72,0.01337035,0.0105058355
SMRI,FTC,cbcl,1,F73,-0.0068747126,0.008568403
SMRI,FTC,cbcl,1,F74,-0.0017524693,0.008181685
SMRI,FTC,cbcl,1,F75,-0.0012284798,0.008423786
SMRI,FTC,cbcl,1,F76,-0.0018434298,0.010049498
SMRI,FTC,cbcl,1,F77,0.0015706721,0.009060431
SMRI,FTC,cbcl,1,F78,-0.007160575,0.008190499
SMRI,FTC,cbcl,1,F79,0.005566597,0.00803588
SMRI,FTC,cbcl,1,F80,0.0059779827,0.00839746
SMRI,FTC,cbcl,1,F81,0.00806066,0.0074880365
SMRI,FTC,cbcl,1,F82,-0.0018852374,0.007848713
SMRI,FTC,cbcl,1,F83,-0.00022814353,0.008214497
SMRI,FTC,cbcl,1,F84,0.0062938426,0.007515386
SMRI,FTC,cbcl,1,F85,0.015203413,0.010126143
SMRI,FTC,cbcl,1,F86,-0.004102437,0.008757905
SMRI,FTC,cbcl,1,F87,-0.0002443691,0.007483554
SMRI,FTC,cbcl,1,F88,-0.0009999217,0.008266179
