Data Type,Subset Type,Target,Outer Fold,Feature,Mean Gradient,Std Gradient
SMRI,FTPC,cbcl,3,F1,-0.0014082026,0.0063223154
SMRI,FTPC,cbcl,3,F2,0.0005108365,0.0052469047
SMRI,FTPC,cbcl,3,F3,0.0039769122,0.0061118896
SMRI,FTPC,cbcl,3,F4,-0.008013764,0.005076228
SMRI,FTPC,cbcl,3,F5,-0.0064253528,0.0045000236
SMRI,FTPC,cbcl,3,F6,0.0046940953,0.0056972355
SMRI,FTPC,cbcl,3,F7,0.0023303742,0.005317641
SMRI,FTPC,cbcl,3,F8,-0.0032354973,0.004844743
SMRI,FTPC,cbcl,3,F9,-0.0012973052,0.00473871
SMRI,FTPC,cbcl,3,F10,0.0015742707,0.004954099
SMRI,FTPC,cbcl,3,F11,0.0018312008,0.005538717
SMRI,FTPC,cbcl,3,F12,-0.000538427,0.005199089
SMRI,FTPC,cbcl,3,F13,-0.0013731567,0.007078662
SMRI,FTPC,cbcl,3,F14,-0.006697822,0.0053739287
SMRI,FTPC,cbcl,3,F15,-0.0030608913,0.0050135055
SMRI,FTPC,cbcl,3,F16,-0.0036821684,0.0051010977
SMRI,FTPC,cbcl,3,F17,0.0034444293,0.0048210635
SMRI,FTPC,cbcl,3,F18,-0.00090221147,0.004677118
SMRI,FTPC,cbcl,3,F19,-0.0047315527,0.0049070404
SMRI,FTPC,cbcl,3,F20,0.0071429363,0.0049827825
SMRI,FTPC,cbcl,3,F21,-0.0012281851,0.005040947
SMRI,FTPC,cbcl,3,F22,0.0007307203,0.0061384668
SMRI,FTPC,cbcl,3,F23,0.006954593,0.0053917724
SMRI,FTPC,cbcl,3,F24,0.0014344873,0.005901891
SMRI,FTPC,cbcl,3,F25,-0.0065608853,0.0054800306
SMRI,FTPC,cbcl,3,F26,0.003754195,0.0051110573
SMRI,FTPC,cbcl,3,F27,-0.0032828888,0.0064768945
SMRI,FTPC,cbcl,3,F28,-0.0004949431,0.0048780497
SMRI,FTPC,cbcl,3,F29,0.0036049383,0.0042598364
SMRI,FTPC,cbcl,3,F30,0.0036612425,0.005471943
SMRI,FTPC,cbcl,3,F31,-0.0023909404,0.004948959
SMRI,FTPC,cbcl,3,F32,0.0038962718,0.004429673
SMRI,FTPC,cbcl,3,F33,-0.0020300953,0.005334098
SMRI,FTPC,cbcl,3,F34,0.00442103,0.0044650566
