Data Type,Subset Type,Target,Outer Fold,Feature,Mean Gradient,Std Gradient
SMRI,FTP,cbcl,3,F1,0.002657823,0.0063069277
SMRI,FTP,cbcl,3,F2,-0.00042894634,0.0053617624
SMRI,FTP,cbcl,3,F3,0.00071917207,0.005640408
SMRI,FTP,cbcl,3,F4,0.008988675,0.006499181
SMRI,FTP,cbcl,3,F5,-0.003553131,0.0057918625
SMRI,FTP,cbcl,3,F6,-0.0072019803,0.0055891876
SMRI,FTP,cbcl,3,F7,-0.0042847903,0.006050806
SMRI,FTP,cbcl,3,F8,-0.005431954,0.0073112296
SMRI,FTP,cbcl,3,F9,0.0043518986,0.005828477
SMRI,FTP,cbcl,3,F10,0.0015770169,0.0056613693
SMRI,FTP,cbcl,3,F11,0.0018484407,0.0064377403
SMRI,FTP,cbcl,3,F12,-0.0031544433,0.005132707
SMRI,FTP,cbcl,3,F13,-0.002429787,0.0055477144
SMRI,FTP,cbcl,3,F14,-0.0010710658,0.00638683
SMRI,FTP,cbcl,3,F15,0.0135107795,0.007351965
SMRI,FTP,cbcl,3,F16,0.0014092363,0.005684307
SMRI,FTP,cbcl,3,F17,0.007879621,0.005665388
SMRI,FTP,cbcl,3,F18,-0.0005349996,0.0059022796
SMRI,FTP,cbcl,3,F19,-0.00013776666,0.0052990704
SMRI,FTP,cbcl,3,F20,-0.0002742019,0.007298376
SMRI,FTP,cbcl,3,F21,0.008183396,0.0065995664
SMRI,FTP,cbcl,3,F22,0.002603127,0.0059674336
SMRI,FTP,cbcl,3,F23,-0.0024538366,0.005510266
SMRI,FTP,cbcl,3,F24,-0.001069777,0.0057674786
SMRI,FTP,cbcl,3,F25,0.00030084822,0.005662958
SMRI,FTP,cbcl,3,F26,-0.0035253603,0.0057249693
SMRI,FTP,cbcl,3,F27,0.004604534,0.0059003076
SMRI,FTP,cbcl,3,F28,0.0059739547,0.00540709
SMRI,FTP,cbcl,3,F29,-0.0045092697,0.0057454626
SMRI,FTP,cbcl,3,F30,0.0036703215,0.006027927
SMRI,FTP,cbcl,3,F31,0.004071276,0.0053794202
SMRI,FTP,cbcl,3,F32,0.0023866592,0.005517656
SMRI,FTP,cbcl,3,F33,0.0003277417,0.006036276
SMRI,FTP,cbcl,3,F34,-0.0066516977,0.004947039
SMRI,FTP,cbcl,3,F35,0.002626507,0.004704588
SMRI,FTP,cbcl,3,F36,-0.004432611,0.0063466406
SMRI,FTP,cbcl,3,F37,0.0016646124,0.005579436
SMRI,FTP,cbcl,3,F38,-0.0027606671,0.0052047526
SMRI,FTP,cbcl,3,F39,-0.0029030584,0.0055373902
SMRI,FTP,cbcl,3,F40,-0.0015631053,0.005602116
SMRI,FTP,cbcl,3,F41,-0.007906852,0.005807504
SMRI,FTP,cbcl,3,F42,-0.00048475259,0.006089808
SMRI,FTP,cbcl,3,F43,-0.0022080566,0.0061978432
SMRI,FTP,cbcl,3,F44,-0.0024579598,0.0062459204
SMRI,FTP,cbcl,3,F45,-0.0050293715,0.005739204
SMRI,FTP,cbcl,3,F46,-0.0015161,0.0057943924
SMRI,FTP,cbcl,3,F47,-0.00869555,0.0054344307
SMRI,FTP,cbcl,3,F48,-0.0004045138,0.0064573917
SMRI,FTP,cbcl,3,F49,0.015665732,0.007093746
SMRI,FTP,cbcl,3,F50,0.0046566594,0.006717952
SMRI,FTP,cbcl,3,F51,-0.0057703364,0.0051813973
SMRI,FTP,cbcl,3,F52,-0.003142533,0.006367764
SMRI,FTP,cbcl,3,F53,0.0007587674,0.005085081
SMRI,FTP,cbcl,3,F54,0.0041514123,0.0054438263
SMRI,FTP,cbcl,3,F55,-0.000521297,0.005842952
SMRI,FTP,cbcl,3,F56,-0.007862655,0.005496302
SMRI,FTP,cbcl,3,F57,-0.0056594205,0.006475753
SMRI,FTP,cbcl,3,F58,-0.0022444876,0.006626539
SMRI,FTP,cbcl,3,F59,0.00046376712,0.005626125
SMRI,FTP,cbcl,3,F60,-0.001815741,0.0061690197
SMRI,FTP,cbcl,3,F61,0.0010511747,0.0055400757
SMRI,FTP,cbcl,3,F62,0.002800234,0.006109235
SMRI,FTP,cbcl,3,F63,-0.0033319772,0.0056282724
SMRI,FTP,cbcl,3,F64,-0.00085914263,0.005616332
SMRI,FTP,cbcl,3,F65,0.00577952,0.00544099
