Data Type,Subset Type,Target,Feature,Mean_Gradient,Std_Gradient,Abs_Mean_Gradient
SMRI,FTC,cbcl,R1,0.0206672044,0.0073948348599999995,0.0206672044
SMRI,FTC,cbcl,F158,-0.0141388496,0.007084149519999999,0.0141388496
SMRI,FTC,cbcl,T9,-0.012444251,0.007557077380000001,0.012444251
SMRI,FTC,cbcl,F49,0.01222072464,0.00719289986,0.01222072464
SMRI,FTC,cbcl,F163,0.011748649449999999,0.006856068680000001,0.011748649449999999
SMRI,FTC,cbcl,F150,-0.011575575920000001,0.00704543042,0.011575575920000001
SMRI,FTC,cbcl,C14,0.01150761274,0.00688310354,0.01150761274
SMRI,FTC,cbcl,T1,-0.01105929034,0.0063220483600000005,0.01105929034
SMRI,FTC,cbcl,F66,-0.010966628400000001,0.007096405759999999,0.010966628400000001
SMRI,FTC,cbcl,F13,-0.01092298846,0.00685364342,0.01092298846
SMRI,FTC,cbcl,T5,-0.010690505,0.00707008732,0.010690505
SMRI,FTC,cbcl,C3,0.009803091974,0.0069841838,0.009803091974
SMRI,FTC,cbcl,F115,0.009532925959999999,0.00619471976,0.009532925959999999
SMRI,FTC,cbcl,F15,0.00943576514,0.00727311308,0.00943576514
SMRI,FTC,cbcl,F124,-0.00930830492,0.006683892919999999,0.00930830492
SMRI,FTC,cbcl,F134,-0.009301026382400001,0.00682796712,0.009301026382400001
SMRI,FTC,cbcl,F130,-0.00884723392,0.0065557268,0.00884723392
SMRI,FTC,cbcl,T8,0.008558757640000001,0.00624923864,0.008558757640000001
SMRI,FTC,cbcl,F152,0.008417494912000001,0.006284974699999999,0.008417494912000001
SMRI,FTC,cbcl,T7,-0.00824254848,0.0063797724400000005,0.00824254848
SMRI,FTC,cbcl,C30,0.008158034548,0.006626634419999999,0.008158034548
SMRI,FTC,cbcl,F85,0.008062641280000001,0.00746002738,0.008062641280000001
SMRI,FTC,cbcl,F56,-0.00778226766,0.00636658038,0.00778226766
SMRI,FTC,cbcl,F65,0.00774178032,0.0069715496,0.00774178032
SMRI,FTC,cbcl,F8,-0.007717685756000001,0.00708800426,0.007717685756000001
SMRI,FTC,cbcl,F104,-0.00741544632,0.0068450288400000005,0.00741544632
SMRI,FTC,cbcl,F35,-0.00736171676,0.00708141888,0.00736171676
SMRI,FTC,cbcl,C4,-0.007361028779999999,0.0064987957,0.007361028779999999
SMRI,FTC,cbcl,F136,-0.0072427716020000005,0.00672722954,0.0072427716020000005
SMRI,FTC,cbcl,F155,-0.0071175558,0.0071138145,0.0071175558
SMRI,FTC,cbcl,F116,-0.006858626808,0.00678748146,0.006858626808
SMRI,FTC,cbcl,F21,0.0066518201,0.00638939392,0.0066518201
SMRI,FTC,cbcl,C8,-0.006649923640000001,0.0067059413200000004,0.006649923640000001
