Data Type,Subset Type,Target,Feature,Mean_Gradient,Std_Gradient,Abs_Mean_Gradient
SMRI,FTP,cbcl,R1,0.015508296400000001,0.0058552832,0.015508296400000001
SMRI,FTP,cbcl,P18,-0.0100378294,0.0062541294800000004,0.0100378294
SMRI,FTP,cbcl,F158,-0.00878388548,0.00565503006,0.00878388548
SMRI,FTP,cbcl,P93,-0.0084471188,0.00549437522,0.0084471188
SMRI,FTP,cbcl,F147,-0.00824818938,0.0053639156,0.00824818938
SMRI,FTP,cbcl,P16,-0.00756667042,0.00547156796,0.00756667042
SMRI,FTP,cbcl,F118,-0.007426317222000001,0.00590884788,0.007426317222000001
SMRI,FTP,cbcl,F150,-0.00738280432,0.0057830906000000005,0.00738280432
SMRI,FTP,cbcl,P32,-0.007310373719999999,0.00611575112,0.007310373719999999
SMRI,FTP,cbcl,P73,-0.006884256479999999,0.005427553779999999,0.006884256479999999
SMRI,FTP,cbcl,P110,-0.0067261353999999995,0.00572557528,0.0067261353999999995
SMRI,FTP,cbcl,T8,0.00671269106,0.0054573317,0.00671269106
SMRI,FTP,cbcl,F79,0.006553079840000001,0.00615933966,0.006553079840000001
SMRI,FTP,cbcl,F49,0.0065114301999999995,0.00561248338,0.0065114301999999995
SMRI,FTP,cbcl,F155,-0.00650849186,0.0052336121,0.00650849186
SMRI,FTP,cbcl,F17,0.006455363340000001,0.00565562608,0.006455363340000001
SMRI,FTP,cbcl,F15,0.00645225314,0.006225322619999999,0.00645225314
SMRI,FTP,cbcl,P102,0.006426309400000001,0.00501463814,0.006426309400000001
SMRI,FTP,cbcl,T5,-0.006289487499999999,0.00525135456,0.006289487499999999
SMRI,FTP,cbcl,P42,0.0062160034000000005,0.0052722406,0.0062160034000000005
SMRI,FTP,cbcl,T9,-0.00610817422,0.00555039864,0.00610817422
SMRI,FTP,cbcl,P122,0.0060440957,0.0056792039400000004,0.0060440957
SMRI,FTP,cbcl,F41,-0.00604126076,0.0051854694,0.00604126076
SMRI,FTP,cbcl,F140,0.005965150000000001,0.0054899623600000004,0.005965150000000001
SMRI,FTP,cbcl,F30,0.00590409922,0.005197861539999999,0.00590409922
SMRI,FTP,cbcl,P77,-0.00585075734,0.00571734424,0.00585075734
SMRI,FTP,cbcl,P20,-0.00582179566,0.0056754952,0.00582179566
SMRI,FTP,cbcl,F56,-0.00571541034,0.0051948254,0.00571541034
SMRI,FTP,cbcl,F102,0.0057130454,0.00529654994,0.0057130454
SMRI,FTP,cbcl,P60,0.00570849958,0.00513048604,0.00570849958
SMRI,FTP,cbcl,F51,-0.0056708249,0.0057355656800000005,0.0056708249
SMRI,FTP,cbcl,F106,0.005652332,0.00543979244,0.005652332
SMRI,FTP,cbcl,P59,0.00558085952,0.005746322119999999,0.00558085952
SMRI,FTP,cbcl,F163,0.0055493780200000006,0.00571340488,0.0055493780200000006
SMRI,FTP,cbcl,P81,-0.005465245096800001,0.0059495506400000005,0.005465245096800001
SMRI,FTP,cbcl,P107,0.005382615879999999,0.00549542504,0.005382615879999999
SMRI,FTP,cbcl,F63,-0.0053824671400000005,0.00567738586,0.0053824671400000005
SMRI,FTP,cbcl,P79,-0.005318625919999999,0.0057368074,0.005318625919999999
SMRI,FTP,cbcl,P3,0.00530815023,0.00517667344,0.00530815023
SMRI,FTP,cbcl,P63,0.005267835300000001,0.00581082638,0.005267835300000001
SMRI,FTP,cbcl,P5,0.0052545692480000005,0.005486428020000001,0.0052545692480000005
SMRI,FTP,cbcl,F153,-0.00524482542,0.00538302638,0.00524482542
SMRI,FTP,cbcl,P15,-0.00522022684,0.00562081896,0.00522022684
SMRI,FTP,cbcl,F74,0.00517950854,0.00609704382,0.00517950854
SMRI,FTP,cbcl,P27,-0.00508124128,0.005376873379999999,0.00508124128
SMRI,FTP,cbcl,F85,0.0050462951200000005,0.005867652100000001,0.0050462951200000005
SMRI,FTP,cbcl,F90,0.005024059926,0.00587146028,0.005024059926
SMRI,FTP,cbcl,P87,-0.00501735944,0.005827584780000001,0.00501735944
SMRI,FTP,cbcl,P86,0.00490321036,0.005481659880000001,0.00490321036
SMRI,FTP,cbcl,P40,0.00487317658,0.00537847138,0.00487317658
SMRI,FTP,cbcl,F136,-0.004836430399999999,0.0057706625,0.004836430399999999
SMRI,FTP,cbcl,T1,-0.0048274276500000005,0.00570398668,0.0048274276500000005
SMRI,FTP,cbcl,P12,-0.00482481002,0.006428031119999999,0.00482481002
SMRI,FTP,cbcl,P75,-0.004820593046,0.0054966955999999996,0.004820593046
SMRI,FTP,cbcl,F83,0.00479495512,0.00580431026,0.00479495512
SMRI,FTP,cbcl,P108,-0.00477350114,0.00581454062,0.00477350114
SMRI,FTP,cbcl,P7,-0.00473780578,0.00552287264,0.00473780578
SMRI,FTP,cbcl,F89,0.00472086558,0.00612443668,0.00472086558
SMRI,FTP,cbcl,P55,0.00471577334,0.00534565402,0.00471577334
SMRI,FTP,cbcl,F13,-0.00469824542,0.00500968294,0.00469824542
SMRI,FTP,cbcl,F110,0.004619845856,0.00527741684,0.004619845856
SMRI,FTP,cbcl,F141,0.004586861706,0.00548912112,0.004586861706
SMRI,FTP,cbcl,P109,-0.00450783282,0.0058468986600000005,0.00450783282
SMRI,FTP,cbcl,P98,-0.004419820276,0.005450478,0.004419820276
SMRI,FTP,cbcl,F123,0.00431685527,0.0058309522,0.00431685527
SMRI,FTP,cbcl,F28,0.0043163673,0.00560221588,0.0043163673
SMRI,FTP,cbcl,P21,-0.00419177978,0.00621711984,0.00419177978
SMRI,FTP,cbcl,F133,-0.0041719726,0.00532894166,0.0041719726
