Data Type,Subset Type,Target,Outer Fold,Feature,Mean Gradient,Std Gradient
SMRI,FTC,pca1,2,F1,0.0105435345,0.010321353
SMRI,FTC,pca1,2,F2,0.0044695567,0.0089849
SMRI,FTC,pca1,2,F3,-0.008308426,0.0081678135
SMRI,FTC,pca1,2,F4,0.0001401971,0.008523095
SMRI,FTC,pca1,2,F5,-0.002687339,0.00915648
SMRI,FTC,pca1,2,F6,-0.0039722305,0.00881045
SMRI,FTC,pca1,2,F7,0.01327442,0.008735445
SMRI,FTC,pca1,2,F8,-0.018133262,0.008360848
SMRI,FTC,pca1,2,F9,-0.012142239,0.009129785
SMRI,FTC,pca1,2,F10,0.024069896,0.010773994
SMRI,FTC,pca1,2,F11,0.0009918758,0.01062285
SMRI,FTC,pca1,2,F12,-0.0090343915,0.0093888445
SMRI,FTC,pca1,2,F13,-0.016224284,0.008557526
SMRI,FTC,pca1,2,F14,-0.0034138856,0.008571259
SMRI,FTC,pca1,2,F15,0.010640444,0.008347811
SMRI,FTC,pca1,2,F16,-0.018022312,0.009323751
SMRI,FTC,pca1,2,F17,0.010084951,0.011909232
SMRI,FTC,pca1,2,F18,-0.0035483276,0.008498925
SMRI,FTC,pca1,2,F19,-0.010874206,0.010459772
SMRI,FTC,pca1,2,F20,0.0047292835,0.008382645
SMRI,FTC,pca1,2,F21,-0.0006199221,0.009446452
SMRI,FTC,pca1,2,F22,0.01067823,0.011469509
SMRI,FTC,pca1,2,F23,-0.008066553,0.0098335175
SMRI,FTC,pca1,2,F24,0.0022424036,0.0082084965
SMRI,FTC,pca1,2,F25,-0.0051514474,0.008758245
SMRI,FTC,pca1,2,F26,-0.0064234496,0.008882691
SMRI,FTC,pca1,2,F27,-0.0070468644,0.008089047
SMRI,FTC,pca1,2,F28,0.011257174,0.0085577965
SMRI,FTC,pca1,2,F29,0.007577869,0.0105910115
SMRI,FTC,pca1,2,F30,0.003487755,0.0070858155
SMRI,FTC,pca1,2,F31,0.00706382,0.010511983
SMRI,FTC,pca1,2,F32,-0.0024405783,0.010905836
SMRI,FTC,pca1,2,F33,0.0036525729,0.010163815
SMRI,FTC,pca1,2,F34,0.0017323435,0.010217846
SMRI,FTC,pca1,2,F35,-0.0020140572,0.0076249805
SMRI,FTC,pca1,2,F36,0.006490689,0.009009993
SMRI,FTC,pca1,2,F37,-0.0073392713,0.009817587
SMRI,FTC,pca1,2,F38,0.022380367,0.00831329
SMRI,FTC,pca1,2,F39,-0.017182602,0.010288771
SMRI,FTC,pca1,2,F40,0.017401537,0.009337805
SMRI,FTC,pca1,2,F41,-0.017993439,0.010862687
SMRI,FTC,pca1,2,F42,0.0035705492,0.008503454
SMRI,FTC,pca1,2,F43,-0.008226186,0.009317947
SMRI,FTC,pca1,2,F44,0.0017284296,0.009247708
SMRI,FTC,pca1,2,F45,0.017556768,0.011550831
SMRI,FTC,pca1,2,F46,0.003254861,0.009656698
SMRI,FTC,pca1,2,F47,0.0016415594,0.008141302
SMRI,FTC,pca1,2,F48,-0.030923855,0.010273784
SMRI,FTC,pca1,2,F49,0.014399962,0.01064894
SMRI,FTC,pca1,2,F50,0.0057538315,0.011126356
SMRI,FTC,pca1,2,F51,0.0024391094,0.008776331
SMRI,FTC,pca1,2,F52,-0.013327237,0.010572675
SMRI,FTC,pca1,2,F53,0.009106788,0.010247111
SMRI,FTC,pca1,2,F54,0.0016712798,0.009174658
SMRI,FTC,pca1,2,F55,0.0046139588,0.008300233
SMRI,FTC,pca1,2,F56,-0.027064465,0.010393394
SMRI,FTC,pca1,2,F57,0.0040228735,0.010215345
SMRI,FTC,pca1,2,F58,-0.0014789868,0.009799778
SMRI,FTC,pca1,2,F59,-0.010597421,0.008281138
SMRI,FTC,pca1,2,F60,0.0048185633,0.009136069
SMRI,FTC,pca1,2,F61,-0.007436255,0.008790749
SMRI,FTC,pca1,2,F62,0.0050533125,0.0089666415
SMRI,FTC,pca1,2,F63,0.008474841,0.00918336
SMRI,FTC,pca1,2,F64,-0.0043686875,0.007991257
SMRI,FTC,pca1,2,F65,0.0015390139,0.008164591
SMRI,FTC,pca1,2,F66,-0.0035141008,0.009483969
SMRI,FTC,pca1,2,F67,0.0012481331,0.008098778
SMRI,FTC,pca1,2,F68,-0.000612129,0.009155369
SMRI,FTC,pca1,2,F69,0.01381312,0.008746566
SMRI,FTC,pca1,2,F70,0.004209803,0.00964471
SMRI,FTC,pca1,2,F71,0.0017231238,0.010400737
SMRI,FTC,pca1,2,F72,-0.0014964723,0.008504264
SMRI,FTC,pca1,2,F73,-0.0014318964,0.009004199
SMRI,FTC,pca1,2,F74,0.0021893086,0.011502461
SMRI,FTC,pca1,2,F75,0.005375729,0.008620793
SMRI,FTC,pca1,2,F76,0.0037091868,0.009317714
SMRI,FTC,pca1,2,F77,-0.009389194,0.008980688
SMRI,FTC,pca1,2,F78,0.00014522643,0.0092869485
SMRI,FTC,pca1,2,F79,0.019524306,0.010640141
SMRI,FTC,pca1,2,F80,-0.008808443,0.009407146
SMRI,FTC,pca1,2,F81,0.00934866,0.008557973
SMRI,FTC,pca1,2,F82,-0.0009947392,0.009736634
SMRI,FTC,pca1,2,F83,-0.00067949196,0.008705261
SMRI,FTC,pca1,2,F84,0.015504617,0.009030542
SMRI,FTC,pca1,2,F85,0.01611673,0.008938898
