Data Type,Subset Type,Target,Outer Fold,Feature,Mean Gradient,Std Gradient
SMRI,FTPC,pca1,3,F1,0.009918554,0.009889223
SMRI,FTPC,pca1,3,F2,-0.012377938,0.006708182
SMRI,FTPC,pca1,3,F3,0.004729669,0.009250334
SMRI,FTPC,pca1,3,F4,-0.0057594734,0.009582885
SMRI,FTPC,pca1,3,F5,-0.010478288,0.0085502025
SMRI,FTPC,pca1,3,F6,-0.016532907,0.007783011
SMRI,FTPC,pca1,3,F7,0.007853517,0.008755126
SMRI,FTPC,pca1,3,F8,-0.004278281,0.0080584185
SMRI,FTPC,pca1,3,F9,0.009724107,0.008058369
SMRI,FTPC,pca1,3,F10,-0.0008739907,0.0070964596
SMRI,FTPC,pca1,3,F11,0.01049894,0.008491388
SMRI,FTPC,pca1,3,F12,0.012883357,0.009460045
SMRI,FTPC,pca1,3,F13,-0.021481797,0.00948856
SMRI,FTPC,pca1,3,F14,-0.008432293,0.008158871
SMRI,FTPC,pca1,3,F15,0.0038216151,0.008248267
SMRI,FTPC,pca1,3,F16,-0.0013295058,0.0077389777
SMRI,FTPC,pca1,3,F17,0.00690302,0.007606609
SMRI,FTPC,pca1,3,F18,-0.004925921,0.007053961
SMRI,FTPC,pca1,3,F19,-0.00683658,0.008874158
SMRI,FTPC,pca1,3,F20,0.005592009,0.008866065
SMRI,FTPC,pca1,3,F21,0.024363078,0.008534572
SMRI,FTPC,pca1,3,F22,0.002163774,0.008427046
SMRI,FTPC,pca1,3,F23,-0.0010330394,0.0075186626
SMRI,FTPC,pca1,3,F24,0.021956421,0.010250163
SMRI,FTPC,pca1,3,F25,-0.020089855,0.008454286
SMRI,FTPC,pca1,3,F26,0.0063542095,0.007108705
SMRI,FTPC,pca1,3,F27,-0.01821858,0.0086378595
SMRI,FTPC,pca1,3,F28,-0.0031998546,0.011371573
SMRI,FTPC,pca1,3,F29,0.0139079485,0.010215072
SMRI,FTPC,pca1,3,F30,0.008224523,0.008110759
SMRI,FTPC,pca1,3,F31,0.0028310553,0.007154833
SMRI,FTPC,pca1,3,F32,0.0044806097,0.007867891
SMRI,FTPC,pca1,3,F33,0.0044913003,0.0074982545
SMRI,FTPC,pca1,3,F34,-0.0036067185,0.0071834284
SMRI,FTPC,pca1,3,F35,0.0011852032,0.0073767756
SMRI,FTPC,pca1,3,F36,-0.0029079397,0.0078065307
SMRI,FTPC,pca1,3,F37,-1.6082375e-05,0.00854523
SMRI,FTPC,pca1,3,F38,-0.0013742562,0.009426792
SMRI,FTPC,pca1,3,F39,0.004354792,0.0078076255
SMRI,FTPC,pca1,3,F40,0.0031498172,0.008277436
SMRI,FTPC,pca1,3,F41,-0.02509171,0.010347798
SMRI,FTPC,pca1,3,F42,0.0031345615,0.009029966
SMRI,FTPC,pca1,3,F43,-0.0050391136,0.010361967
SMRI,FTPC,pca1,3,F44,0.0040334575,0.008095804
SMRI,FTPC,pca1,3,F45,0.0037269115,0.013604634
SMRI,FTPC,pca1,3,F46,-0.0021458003,0.008214982
SMRI,FTPC,pca1,3,F47,-0.008853909,0.010960248
SMRI,FTPC,pca1,3,F48,-0.02007071,0.010464769
SMRI,FTPC,pca1,3,F49,0.019529138,0.008489087
SMRI,FTPC,pca1,3,F50,0.0097926445,0.008962805
SMRI,FTPC,pca1,3,F51,0.0025808073,0.0064587477
SMRI,FTPC,pca1,3,F52,-0.0045553576,0.00779294
SMRI,FTPC,pca1,3,F53,-0.0048754234,0.00993822
SMRI,FTPC,pca1,3,F54,0.0013195592,0.007419961
SMRI,FTPC,pca1,3,F55,-0.004451786,0.00848618
SMRI,FTPC,pca1,3,F56,-0.018838245,0.008209316
SMRI,FTPC,pca1,3,F57,0.00053101766,0.0076749707
SMRI,FTPC,pca1,3,F58,-0.0034467208,0.008473106
SMRI,FTPC,pca1,3,F59,-0.023220515,0.006870905
SMRI,FTPC,pca1,3,F60,0.00456757,0.008548492
SMRI,FTPC,pca1,3,F61,-0.005548413,0.008870792
SMRI,FTPC,pca1,3,F62,0.0017666613,0.009724843
SMRI,FTPC,pca1,3,F63,-0.0053227614,0.00796836
SMRI,FTPC,pca1,3,F64,0.0152626475,0.008056974
SMRI,FTPC,pca1,3,F65,0.013917614,0.00820093
SMRI,FTPC,pca1,3,F66,-0.004800669,0.007852983
SMRI,FTPC,pca1,3,F67,0.0070267026,0.0088405665
SMRI,FTPC,pca1,3,F68,0.012096244,0.009329213
SMRI,FTPC,pca1,3,F69,0.0067588533,0.008037426
SMRI,FTPC,pca1,3,F70,-0.010338455,0.006519736
SMRI,FTPC,pca1,3,F71,0.008879594,0.00875986
SMRI,FTPC,pca1,3,F72,-0.0021900062,0.008419474
SMRI,FTPC,pca1,3,F73,0.005142442,0.008198877
SMRI,FTPC,pca1,3,F74,-0.009723297,0.007696442
SMRI,FTPC,pca1,3,F75,-0.004875847,0.014134712
SMRI,FTPC,pca1,3,F76,0.0043960554,0.00740069
SMRI,FTPC,pca1,3,F77,-0.0083795525,0.008287158
SMRI,FTPC,pca1,3,F78,0.010350386,0.008122485
SMRI,FTPC,pca1,3,F79,0.005782394,0.0076348595
SMRI,FTPC,pca1,3,F80,0.00039109951,0.009039466
SMRI,FTPC,pca1,3,F81,0.012376662,0.0073758746
SMRI,FTPC,pca1,3,F82,-0.0038443035,0.009631132
SMRI,FTPC,pca1,3,F83,0.009037026,0.011392131
SMRI,FTPC,pca1,3,F84,0.010648122,0.011063487
SMRI,FTPC,pca1,3,F85,0.0111539075,0.010011281
SMRI,FTPC,pca1,3,F86,0.00492738,0.0075236945
SMRI,FTPC,pca1,3,F87,0.010705566,0.0076363697
SMRI,FTPC,pca1,3,F88,-0.008500267,0.011676245
SMRI,FTPC,pca1,3,F89,0.0009896962,0.007758842
SMRI,FTPC,pca1,3,F90,0.0047448277,0.009420022
SMRI,FTPC,pca1,3,F91,0.011995013,0.007139349
SMRI,FTPC,pca1,3,F92,0.013455933,0.008455714
SMRI,FTPC,pca1,3,F93,0.00022683307,0.008619873
SMRI,FTPC,pca1,3,F94,0.0051856637,0.008762923
SMRI,FTPC,pca1,3,F95,-0.02267685,0.008207089
SMRI,FTPC,pca1,3,F96,-0.0010704484,0.008082938
SMRI,FTPC,pca1,3,F97,0.007010262,0.010936615
SMRI,FTPC,pca1,3,F98,0.018086446,0.008500735
SMRI,FTPC,pca1,3,F99,0.0068273693,0.007488502
SMRI,FTPC,pca1,3,F100,0.009024676,0.0072913705
SMRI,FTPC,pca1,3,F101,0.00089752686,0.00907646
SMRI,FTPC,pca1,3,F102,-0.0060938573,0.009839316
SMRI,FTPC,pca1,3,F103,-0.0008981046,0.009453249
SMRI,FTPC,pca1,3,F104,-0.013432091,0.009751449
SMRI,FTPC,pca1,3,F105,-0.010069114,0.0073909275
SMRI,FTPC,pca1,3,F106,0.00053022144,0.007849921
SMRI,FTPC,pca1,3,F107,0.0021632772,0.0076446086
SMRI,FTPC,pca1,3,F108,0.0055724806,0.012777279
SMRI,FTPC,pca1,3,F109,0.0073241014,0.007686247
SMRI,FTPC,pca1,3,F110,0.015666224,0.0078007216
SMRI,FTPC,pca1,3,F111,0.0016891549,0.008163233
SMRI,FTPC,pca1,3,F112,0.010255684,0.009370737
SMRI,FTPC,pca1,3,F113,-0.00045636177,0.00875306
SMRI,FTPC,pca1,3,F114,0.0027435308,0.011882843
SMRI,FTPC,pca1,3,F115,0.004162257,0.010017398
SMRI,FTPC,pca1,3,F116,-0.010167145,0.00784268
SMRI,FTPC,pca1,3,F117,-0.0075226272,0.008349598
SMRI,FTPC,pca1,3,F118,-0.004764194,0.012035535
SMRI,FTPC,pca1,3,F119,-0.007149468,0.006608834
SMRI,FTPC,pca1,3,F120,-0.016095018,0.008774906
SMRI,FTPC,pca1,3,F121,-0.0053746114,0.008316022
SMRI,FTPC,pca1,3,F122,-0.006562375,0.01054423
SMRI,FTPC,pca1,3,F123,0.0028241249,0.0075343424
SMRI,FTPC,pca1,3,F124,-0.010667354,0.008416671
SMRI,FTPC,pca1,3,F125,-0.0004881644,0.009530167
SMRI,FTPC,pca1,3,F126,0.0045162616,0.00917382
SMRI,FTPC,pca1,3,F127,0.0012780856,0.009539738
SMRI,FTPC,pca1,3,F128,-0.0008070049,0.0073088137
SMRI,FTPC,pca1,3,F129,-0.002185265,0.008034989
SMRI,FTPC,pca1,3,F130,-0.0014705817,0.009154752
SMRI,FTPC,pca1,3,F131,0.0067244875,0.0083663175
SMRI,FTPC,pca1,3,F132,-0.0032217035,0.008477047
SMRI,FTPC,pca1,3,F133,-0.023434503,0.009753215
SMRI,FTPC,pca1,3,F134,-0.017046737,0.011320617
SMRI,FTPC,pca1,3,F135,0.0049414784,0.0076952535
SMRI,FTPC,pca1,3,F136,-0.01443289,0.00882053
SMRI,FTPC,pca1,3,F137,0.00033718176,0.010278268
SMRI,FTPC,pca1,3,F138,-0.0027794747,0.007757073
SMRI,FTPC,pca1,3,F139,0.017024824,0.008613246
SMRI,FTPC,pca1,3,F140,0.0029913967,0.010771804
SMRI,FTPC,pca1,3,F141,0.009702333,0.008519697
SMRI,FTPC,pca1,3,F142,0.009798547,0.009772047
SMRI,FTPC,pca1,3,F143,0.0037117365,0.008144557
SMRI,FTPC,pca1,3,F144,-0.009088634,0.0077018584
SMRI,FTPC,pca1,3,F145,0.0011909228,0.009372933
SMRI,FTPC,pca1,3,F146,0.008779439,0.010802662
SMRI,FTPC,pca1,3,F147,0.0016156436,0.007417676
SMRI,FTPC,pca1,3,F148,-0.008584831,0.007692047
SMRI,FTPC,pca1,3,F149,-0.0065460424,0.0074897357
SMRI,FTPC,pca1,3,F150,-0.025927646,0.009315194
SMRI,FTPC,pca1,3,F151,-0.002410149,0.0076552965
SMRI,FTPC,pca1,3,F152,0.0073509705,0.007471333
SMRI,FTPC,pca1,3,F153,0.005993882,0.008466029
SMRI,FTPC,pca1,3,F154,-0.0057355496,0.008696731
SMRI,FTPC,pca1,3,F155,-0.0046162573,0.007052013
SMRI,FTPC,pca1,3,F156,0.006427942,0.0077607525
