Data Type,Subset Type,Target,Outer Fold,Feature,Mean Gradient,Std Gradient
SMRI,FTP,pca1,4,F1,0.009920034,0.0056215604
SMRI,FTP,pca1,4,F2,0.0072018,0.0055461642
SMRI,FTP,pca1,4,F3,-0.0018161904,0.0050702323
SMRI,FTP,pca1,4,F4,-0.003172585,0.0059010745
SMRI,FTP,pca1,4,F5,-0.0023283854,0.005268257
SMRI,FTP,pca1,4,F6,-0.008486058,0.004965599
SMRI,FTP,pca1,4,F7,-0.0032168715,0.005528846
SMRI,FTP,pca1,4,F8,-0.003945289,0.004469527
SMRI,FTP,pca1,4,F9,0.002220505,0.0058989897
SMRI,FTP,pca1,4,F10,0.0015586665,0.0061376593
SMRI,FTP,pca1,4,F11,-0.0016656071,0.006090642
SMRI,FTP,pca1,4,F12,0.00021557586,0.0059324023
SMRI,FTP,pca1,4,F13,-0.007581915,0.0053978977
SMRI,FTP,pca1,4,F14,-0.0008458465,0.005658482
SMRI,FTP,pca1,4,F15,0.0048171044,0.008049425
SMRI,FTP,pca1,4,F16,0.0016420924,0.005520858
SMRI,FTP,pca1,4,F17,0.005275288,0.004984804
SMRI,FTP,pca1,4,F18,0.0023033575,0.006361871
SMRI,FTP,pca1,4,F19,-0.012501364,0.005630712
SMRI,FTP,pca1,4,F20,-0.0020622797,0.0068729906
SMRI,FTP,pca1,4,F21,0.016376968,0.005526778
SMRI,FTP,pca1,4,F22,0.0059820767,0.0051346375
SMRI,FTP,pca1,4,F23,-0.010055748,0.0055444026
SMRI,FTP,pca1,4,F24,0.0038100276,0.004681277
SMRI,FTP,pca1,4,F25,0.0020705708,0.0048790257
SMRI,FTP,pca1,4,F26,0.0054030097,0.0051466227
SMRI,FTP,pca1,4,F27,-0.008099647,0.0055909026
SMRI,FTP,pca1,4,F28,-0.0029301313,0.0050528604
SMRI,FTP,pca1,4,F29,0.0024244015,0.0051094145
SMRI,FTP,pca1,4,F30,0.012446475,0.0059647383
SMRI,FTP,pca1,4,F31,0.0013824165,0.0061349673
SMRI,FTP,pca1,4,F32,0.005321042,0.004796614
SMRI,FTP,pca1,4,F33,0.00023998415,0.005451944
SMRI,FTP,pca1,4,F34,0.0015673519,0.005868609
SMRI,FTP,pca1,4,F35,-0.0011844612,0.004973988
SMRI,FTP,pca1,4,F36,-0.006676713,0.0059467787
SMRI,FTP,pca1,4,F37,0.0038686774,0.0050446335
SMRI,FTP,pca1,4,F38,0.0050333017,0.0053399173
SMRI,FTP,pca1,4,F39,-0.0015380845,0.0051114373
SMRI,FTP,pca1,4,F40,0.006158452,0.00586996
SMRI,FTP,pca1,4,F41,-0.001723516,0.005095874
SMRI,FTP,pca1,4,F42,0.005553574,0.0058007566
SMRI,FTP,pca1,4,F43,0.0055172257,0.0052088415
SMRI,FTP,pca1,4,F44,0.0014551309,0.004797868
SMRI,FTP,pca1,4,F45,0.009978515,0.0062908833
SMRI,FTP,pca1,4,F46,-0.0053957924,0.0068834093
SMRI,FTP,pca1,4,F47,-0.0011811914,0.005052609
SMRI,FTP,pca1,4,F48,-0.00058733684,0.005060847
SMRI,FTP,pca1,4,F49,0.007891666,0.006059182
SMRI,FTP,pca1,4,F50,0.0051469244,0.0047049765
SMRI,FTP,pca1,4,F51,-0.0016719863,0.005438206
SMRI,FTP,pca1,4,F52,-0.0098213,0.0062816218
SMRI,FTP,pca1,4,F53,-0.005472132,0.0053276704
SMRI,FTP,pca1,4,F54,0.0040485756,0.0053870976
SMRI,FTP,pca1,4,F55,0.007588571,0.0047578732
SMRI,FTP,pca1,4,F56,-0.012794379,0.0057598203
SMRI,FTP,pca1,4,F57,0.0017071116,0.0055092354
SMRI,FTP,pca1,4,F58,0.00070747134,0.0050387583
SMRI,FTP,pca1,4,F59,-0.010946482,0.0060018892
SMRI,FTP,pca1,4,F60,-0.0032187763,0.005458406
SMRI,FTP,pca1,4,F61,-0.004881486,0.0062230453
SMRI,FTP,pca1,4,F62,-0.00289967,0.0057976386
SMRI,FTP,pca1,4,F63,-0.00046583725,0.004497914
SMRI,FTP,pca1,4,F64,0.0024335019,0.005669756
