Data Type,Subset Type,Target,Feature,Mean_Gradient,Std_Gradient,Abs_Mean_Gradient
SMRI,FTPC,pca1,R1,0.032977335600000005,0.00898311588,0.032977335600000005
SMRI,FTPC,pca1,F158,-0.0228877566,0.00790610806,0.0228877566
SMRI,FTPC,pca1,T8,0.02017963448,0.008716964399999999,0.02017963448
SMRI,FTPC,pca1,T9,-0.018346391740000002,0.0080853149,0.018346391740000002
SMRI,FTPC,pca1,P81,-0.018256793400000002,0.00782309686,0.018256793400000002
SMRI,FTPC,pca1,C14,0.0181846219,0.00843426186,0.0181846219
SMRI,FTPC,pca1,T6,0.01702909414,0.0073012104800000005,0.01702909414
SMRI,FTPC,pca1,P86,0.0165323576,0.0083182694,0.0165323576
SMRI,FTPC,pca1,F21,0.01570575572,0.007460616840000001,0.01570575572
SMRI,FTPC,pca1,F150,-0.015206572800000002,0.008455112,0.015206572800000002
SMRI,FTPC,pca1,P110,-0.015195560459999998,0.00811261922,0.015195560459999998
SMRI,FTPC,pca1,C23,-0.014360298399999999,0.00692652994,0.014360298399999999
SMRI,FTPC,pca1,P2,-0.0143048909,0.00781649754,0.0143048909
SMRI,FTPC,pca1,F49,0.013670981339999999,0.00817549674,0.013670981339999999
SMRI,FTPC,pca1,P62,0.01353163482,0.00776507248,0.01353163482
SMRI,FTPC,pca1,F13,-0.013457353,0.00737666674,0.013457353
SMRI,FTPC,pca1,F136,-0.013448476800000001,0.007850633,0.013448476800000001
SMRI,FTPC,pca1,F163,0.013240210260000001,0.008779560459999999,0.013240210260000001
SMRI,FTPC,pca1,P77,-0.01303376106,0.00751751324,0.01303376106
SMRI,FTPC,pca1,F134,-0.01258919154,0.0079534696,0.01258919154
SMRI,FTPC,pca1,P73,-0.0122429106,0.007425867680000001,0.0122429106
SMRI,FTPC,pca1,F155,-0.012168911293999999,0.0065779896000000004,0.012168911293999999
SMRI,FTPC,pca1,F48,-0.01214556308,0.00760944554,0.01214556308
SMRI,FTPC,pca1,F110,0.0121160174,0.0073413032399999995,0.0121160174
SMRI,FTPC,pca1,P39,0.01205808488,0.0068971877,0.01205808488
SMRI,FTPC,pca1,P109,-0.01178809086,0.007198964939999999,0.01178809086
SMRI,FTPC,pca1,C30,0.011745511279999999,0.00727044738,0.011745511279999999
SMRI,FTPC,pca1,C6,-0.0117007024,0.00742506906,0.0117007024
SMRI,FTPC,pca1,P16,-0.011098352720000001,0.0075631958,0.011098352720000001
SMRI,FTPC,pca1,P38,-0.01103753554,0.007078966559999999,0.01103753554
SMRI,FTPC,pca1,F95,-0.010781208859999999,0.0072171238,0.010781208859999999
SMRI,FTPC,pca1,P18,-0.01053173822,0.00756083794,0.01053173822
SMRI,FTPC,pca1,F59,-0.010393046152,0.006827749399999999,0.010393046152
SMRI,FTPC,pca1,F87,0.0103089433,0.0068454833800000005,0.0103089433
SMRI,FTPC,pca1,P50,-0.01018397444,0.00755784514,0.01018397444
SMRI,FTPC,pca1,P32,-0.01007128056,0.0080423644,0.01007128056
SMRI,FTPC,pca1,F56,-0.010069402596000001,0.00731252062,0.010069402596000001
SMRI,FTPC,pca1,F24,0.010045414412,0.0076390241,0.010045414412
SMRI,FTPC,pca1,F81,0.00989824236,0.00720297704,0.00989824236
SMRI,FTPC,pca1,F85,0.00983343566,0.0078852857,0.00983343566
SMRI,FTPC,pca1,F41,-0.00979536736,0.00804401228,0.00979536736
SMRI,FTPC,pca1,P58,0.00977331382,0.007382339040000001,0.00977331382
SMRI,FTPC,pca1,P22,0.009612674,0.00828510686,0.009612674
SMRI,FTPC,pca1,P33,0.009516265329999999,0.00844803692,0.009516265329999999
SMRI,FTPC,pca1,P59,0.00947233794,0.00753922666,0.00947233794
SMRI,FTPC,pca1,P122,0.0094530562,0.00747513182,0.0094530562
SMRI,FTPC,pca1,P107,0.00924011596,0.00734883052,0.00924011596
SMRI,FTPC,pca1,C7,-0.009130321032,0.00718363628,0.009130321032
SMRI,FTPC,pca1,P75,-0.00891472642,0.00699175338,0.00891472642
SMRI,FTPC,pca1,P124,0.00888702086,0.007491385219999999,0.00888702086
SMRI,FTPC,pca1,P78,0.008878516940000001,0.007548142419999999,0.008878516940000001
SMRI,FTPC,pca1,F126,-0.008858426999999999,0.0078594059,0.008858426999999999
SMRI,FTPC,pca1,P15,-0.008799281576,0.00727994508,0.008799281576
SMRI,FTPC,pca1,F120,-0.00872994864,0.007893305540000001,0.00872994864
SMRI,FTPC,pca1,P104,-0.00870884618,0.00807669532,0.00870884618
SMRI,FTPC,pca1,F130,-0.00866705694,0.00774616792,0.00866705694
SMRI,FTPC,pca1,P9,-0.00866496772,0.006980631920000001,0.00866496772
SMRI,FTPC,pca1,P118,0.00861789216,0.00783271298,0.00861789216
SMRI,FTPC,pca1,P91,0.008614919090000001,0.0072924123199999994,0.008614919090000001
SMRI,FTPC,pca1,F116,-0.00860643944,0.0066050297800000005,0.00860643944
SMRI,FTPC,pca1,F144,-0.008596767,0.006951179639999999,0.008596767
SMRI,FTPC,pca1,F15,0.00841256332,0.00700790206,0.00841256332
SMRI,FTPC,pca1,F8,-0.008367657939999999,0.007694318859999999,0.008367657939999999
SMRI,FTPC,pca1,F124,-0.008288360259999999,0.00738005642,0.008288360259999999
SMRI,FTPC,pca1,P64,-0.008228455700000002,0.0079978878,0.008228455700000002
SMRI,FTPC,pca1,P87,-0.00820234758,0.00830101972,0.00820234758
SMRI,FTPC,pca1,F1,0.0081639265,0.0076533433,0.0081639265
SMRI,FTPC,pca1,P116,0.008147619980000001,0.0077214484400000005,0.008147619980000001
SMRI,FTPC,pca1,T10,-0.00812406844,0.00848383166,0.00812406844
SMRI,FTPC,pca1,F109,0.008053099159999999,0.00678721322,0.008053099159999999
SMRI,FTPC,pca1,C9,0.00804153834,0.00752033624,0.00804153834
SMRI,FTPC,pca1,P82,-0.00797589306,0.00684508222,0.00797589306
SMRI,FTPC,pca1,P113,0.00794671806,0.00812193854,0.00794671806
SMRI,FTPC,pca1,F79,0.0079350617,0.007124562060000001,0.0079350617
SMRI,FTPC,pca1,F25,-0.007914770496,0.0077253747999999995,0.007914770496
SMRI,FTPC,pca1,F65,0.00785604044,0.0078066288400000005,0.00785604044
SMRI,FTPC,pca1,P115,-0.0078266066,0.00787496486,0.0078266066
SMRI,FTPC,pca1,T11,-0.00781858876,0.0072801142,0.00781858876
SMRI,FTPC,pca1,F69,0.00781577456,0.00754802606,0.00781577456
SMRI,FTPC,pca1,F61,-0.007803862334,0.00722375208,0.007803862334
SMRI,FTPC,pca1,P46,-0.0077886469,0.007134002140000001,0.0077886469
SMRI,FTPC,pca1,P67,0.0077505436000000014,0.007279168799999999,0.0077505436000000014
SMRI,FTPC,pca1,F5,-0.007686863300000001,0.0067519096399999996,0.007686863300000001
SMRI,FTPC,pca1,F50,0.007554547440000001,0.0071668411,0.007554547440000001
SMRI,FTPC,pca1,P102,0.007365800308000001,0.007518714260000001,0.007365800308000001
SMRI,FTPC,pca1,F17,0.0073006823999999994,0.007244403200000001,0.0073006823999999994
SMRI,FTPC,pca1,F112,0.007254514279999999,0.00759089904,0.007254514279999999
SMRI,FTPC,pca1,P66,-0.007239400260000001,0.00740436988,0.007239400260000001
SMRI,FTPC,pca1,P92,0.00720725528,0.00817680972,0.00720725528
SMRI,FTPC,pca1,P19,-0.00718765736,0.0077635044,0.00718765736
SMRI,FTPC,pca1,P93,-0.007174719260000001,0.007492011099999999,0.007174719260000001
SMRI,FTPC,pca1,F7,0.00713688374,0.007000862599999999,0.00713688374
SMRI,FTPC,pca1,T7,0.00708073086,0.00755479226,0.00708073086
SMRI,FTPC,pca1,T3,-0.00706375472,0.007630259259999999,0.00706375472
SMRI,FTPC,pca1,P27,-0.007016485014,0.0071384851,0.007016485014
SMRI,FTPC,pca1,F70,-0.007003159640000001,0.0070663611200000006,0.007003159640000001
SMRI,FTPC,pca1,F68,0.00698828946,0.006999783579999999,0.00698828946
SMRI,FTPC,pca1,P6,0.00692799018,0.0077496942,0.00692799018
SMRI,FTPC,pca1,P28,-0.00691019586,0.007667287019999999,0.00691019586
SMRI,FTPC,pca1,C12,-0.00688725794,0.00743568922,0.00688725794
SMRI,FTPC,pca1,F67,0.006881277708,0.0076684881799999995,0.006881277708
SMRI,FTPC,pca1,F27,-0.006840053360000001,0.006683875840000001,0.006840053360000001
SMRI,FTPC,pca1,P42,0.006827917960000001,0.007572412619999999,0.006827917960000001
SMRI,FTPC,pca1,F19,-0.006737134680000001,0.007486442759999999,0.006737134680000001
SMRI,FTPC,pca1,F152,0.006585817569999999,0.0070165174,0.006585817569999999
SMRI,FTPC,pca1,P69,0.00651215757712,0.00725098336,0.00651215757712
SMRI,FTPC,pca1,T5,-0.006446128333999999,0.00788494832,0.006446128333999999
SMRI,FTPC,pca1,C3,0.0064387316799999995,0.00680118314,0.0064387316799999995
SMRI,FTPC,pca1,F84,0.00642524778,0.007525386320000001,0.00642524778
SMRI,FTPC,pca1,C10,0.006359905840000001,0.0077194205,0.006359905840000001
SMRI,FTPC,pca1,P123,0.006337084600000001,0.00752521542,0.006337084600000001
SMRI,FTPC,pca1,P24,-0.00630437794,0.00730260448,0.00630437794
SMRI,FTPC,pca1,F71,0.006291398500000001,0.007571364860000001,0.006291398500000001
SMRI,FTPC,pca1,F98,0.006284697182,0.00748950586,0.006284697182
SMRI,FTPC,pca1,P17,0.00621886786,0.007133967539999999,0.00621886786
SMRI,FTPC,pca1,F105,-0.0061573874,0.0067551741200000005,0.0061573874
SMRI,FTPC,pca1,P41,0.00611278164,0.0077083032,0.00611278164
SMRI,FTPC,pca1,F90,0.00610544452,0.00735652812,0.00610544452
SMRI,FTPC,pca1,F118,-0.006054683890000001,0.007900451,0.006054683890000001
SMRI,FTPC,pca1,F139,0.005972405460000001,0.008270387799999999,0.005972405460000001
SMRI,FTPC,pca1,F10,0.00567394742,0.00688099244,0.00567394742
SMRI,FTPC,pca1,F133,-0.005653450736,0.007814808000000001,0.005653450736
SMRI,FTPC,pca1,F147,-0.005627657060000001,0.0070641758,0.005627657060000001
SMRI,FTPC,pca1,F30,0.005578023292,0.007679531840000001,0.005578023292
SMRI,FTPC,pca1,F146,0.00550895098,0.00905971686,0.00550895098
