Data Type,Subset Type,Target,Feature,Mean_Gradient,Std_Gradient,Abs_Mean_Gradient
SMRI,FTP,pca1,R1,0.029793792800000003,0.00815276144,0.029793792800000003
SMRI,FTP,pca1,T8,0.0166245104,0.0070581929,0.0166245104
SMRI,FTP,pca1,P86,0.014268949255999998,0.00763756434,0.014268949255999998
SMRI,FTP,pca1,P81,-0.0142145606,0.00731940534,0.0142145606
SMRI,FTP,pca1,P77,-0.013618468759999999,0.0070173399,0.013618468759999999
SMRI,FTP,pca1,F150,-0.0134834122,0.0073570738400000005,0.0134834122
SMRI,FTP,pca1,F56,-0.0129755446,0.0069842340599999995,0.0129755446
SMRI,FTP,pca1,F19,-0.012484776159999999,0.0070772353,0.012484776159999999
SMRI,FTP,pca1,F158,-0.01202865774,0.007240755139999999,0.01202865774
SMRI,FTP,pca1,F115,0.011995488,0.006256713499999999,0.011995488
SMRI,FTP,pca1,P110,-0.0118808231,0.0067998264,0.0118808231
SMRI,FTP,pca1,T11,-0.0113551315,0.00664312758,0.0113551315
SMRI,FTP,pca1,T6,0.011289259528,0.006556495600000001,0.011289259528
SMRI,FTP,pca1,F124,-0.01112926488,0.00639267072,0.01112926488
SMRI,FTP,pca1,F110,0.0110660885,0.0064443752,0.0110660885
SMRI,FTP,pca1,P62,0.0109048479,0.006628381,0.0109048479
SMRI,FTP,pca1,P104,-0.0108435679,0.0067127251200000005,0.0108435679
SMRI,FTP,pca1,T9,-0.010773607760000001,0.00694142792,0.010773607760000001
SMRI,FTP,pca1,F59,-0.01052291176,0.00726962738,0.01052291176
SMRI,FTP,pca1,P18,-0.01025117948,0.00645506728,0.01025117948
SMRI,FTP,pca1,F10,0.0100927304,0.0071228492599999995,0.0100927304
SMRI,FTP,pca1,P124,0.009847501179999999,0.0059804077800000004,0.009847501179999999
SMRI,FTP,pca1,F21,0.00964950309,0.0070721404,0.00964950309
SMRI,FTP,pca1,P39,0.00939786808,0.0066632718,0.00939786808
SMRI,FTP,pca1,P46,-0.009265865600000001,0.0064807337399999995,0.009265865600000001
SMRI,FTP,pca1,F49,0.00909756008,0.00691896474,0.00909756008
SMRI,FTP,pca1,F13,-0.00908171734,0.006130896219999999,0.00908171734
SMRI,FTP,pca1,P2,-0.00896515148,0.006494146100000001,0.00896515148
SMRI,FTP,pca1,F15,0.00895605652,0.007483048860000001,0.00895605652
SMRI,FTP,pca1,P91,0.008815870200000001,0.00673992208,0.008815870200000001
SMRI,FTP,pca1,F83,0.00876065682,0.0072787107000000005,0.00876065682
SMRI,FTP,pca1,F55,0.00875387188,0.006736553500000001,0.00875387188
SMRI,FTP,pca1,F134,-0.00870301496,0.006579501559999999,0.00870301496
SMRI,FTP,pca1,F155,-0.0086199794,0.0066151448,0.0086199794
SMRI,FTP,pca1,P59,0.00855241004,0.00681331476,0.00855241004
SMRI,FTP,pca1,F66,-0.0085523426,0.007515696099999999,0.0085523426
SMRI,FTP,pca1,P73,-0.00848196912,0.00636153652,0.00848196912
SMRI,FTP,pca1,F35,-0.008099118300000001,0.0062124824,0.008099118300000001
SMRI,FTP,pca1,F144,-0.00803903378,0.006488577800000001,0.00803903378
SMRI,FTP,pca1,P93,-0.00801977336,0.006260363200000001,0.00801977336
