DataType,Model ,Target,Group,Mean r2,Mean std
SMRI,BRR,c0b,FTPC,0.049,0.0091
SMRI,BRR,c0b,FTP,0.0454,0.0093
SMRI,BRR,c0b,FTC,0.0469,0.009
SMRI,SVR,c0b,FTPC,0.05447,0.0078
SMRI,SVR,c0b,FTP,0.04985,0.0063
SMRI,SVR,c0b,FTC,0.052,0.0073
SMRI,NN,c0b,FTPC,0.04846,0.0082
SMRI,NN,c0b,FTP,0.0463,0.0093
SMRI,NN,c0b,FTC,0.04647,0.0091
DTI,BRR,c0b,FTPC,0.0378,0.006
DTI,BRR,c0b,FTP,0.0375,0.0049
DTI,BRR,c0b,FTC,0.0328,0.0064
DTI,SVR,c0b,FTPC,0.03383,0.0067
DTI,SVR,c0b,FTP,0.03385,0.0073
DTI,SVR,c0b,FTC,0.02755,0.0071
DTI,NN,c0b,FTPC,0.0354,0.0095
DTI,NN,c0b,FTP,0.0336,0.0037
DTI,NN,c0b,FTC,0.0307,0.0093
