Feature,Importance
T9,0.002031531843954837
P27,0.0018623217752324229
F141,0.0013090477944815771
F109,0.001213370967910321
F136,0.0012084068512346001
F111,0.001102083197373771
R1,0.0010813422652803828
P92,0.0010628815651519074
F61,0.0010271414758287634
P33,0.0010196003589384218
F57,0.0010035866355507794
F143,0.0010020312782951456
F32,0.0009818269608351748
F65,0.0009742868670894911
P75,0.0009615016763020901
P23,0.0009504884302438787
P120,0.000949911103983725
F22,0.0009011709458238704
F76,0.0008851849441906756
P91,0.0008827364514754743
P49,0.0008688304209295339
F148,0.0008615333316683404
F86,0.0008602059311583421
P128,0.0008102916333289079
P104,0.0007716269513984297
F167,0.0007643868214960659
F13,0.000740114886651888
F79,0.0007284345368792078
F165,0.0007150221535263234
F52,0.000709536391445531
P13,0.0007001987810105082
P24,0.0006433744551649801
F74,0.0006374973734206036
F45,0.0006251290969005785
F139,0.0006250512210681736
F36,0.0005977521913422601
F60,0.0005975629731163723
P74,0.0005898955738471212
F140,0.0005847842473719389
P115,0.0005697284012672998
P57,0.000564744328100808
T6,0.0005550308185315655
F152,0.0005499421721332665
F83,0.0005400939594548016
P108,0.0005381410183372459
F31,0.000532488746686699
P70,0.0005143810774649538
P97,0.0005103856836768727
F117,0.000507926509505241
P126,0.0005060492853062204
F50,0.0005044548907429114
P28,0.000504209362407293
F157,0.0005041841400658775
T12,0.0004914743223053408
P89,0.00048808764596000034
F20,0.00048585019666786967
F162,0.0004820140234843784
F35,0.00048119394813712636
P117,0.0004808432448343947
P103,0.00047762781929363565
F26,0.00046897739648907864
P113,0.00045889370865930256
P106,0.000457950876074964
F156,0.0004542616984321901
F48,0.00045117791412998545
F107,0.00044523210989115823
P78,0.00043511977559342887
F23,0.0004333687179485901
F39,0.0004280561714463671
P121,0.00042151099168390437
F56,0.00041330478862533493
P79,0.00041183191359679406
P64,0.00040356317356122774
F89,0.00040132315080829704
P19,0.0003974060410814939
P52,0.000392236305349547
P110,0.00038695394371197623
F102,0.0003809277713699544
P6,0.00038022368519776697
T8,0.00036678923565662823
F122,0.00036169149852942616
P31,0.000359872513935211
P114,0.00035642622666263166
F144,0.0003537972137050094
P84,0.0003536384245958368
P99,0.00034971568299244635
P100,0.00033991248049123344
F149,0.00033681950968607045
F108,0.0003341199081964508
F134,0.00033345877937016597
P85,0.00032761755267427526
F4,0.0003249707577356542
F46,0.0003209919979683562
P30,0.0003201676759415406
F114,0.0003151553897984494
P44,0.0003102456515508889
P40,0.0003102444473113142
P56,0.00030447928621670786
F78,0.00030429935010169997
P10,0.0003026037004500548
F55,0.00029737944590362274
F67,0.0002966543466968785
F169,0.0002959562944016003
F9,0.00028847620598422276
F84,0.0002840477104103734
F166,0.0002838953672401834
F44,0.0002801900818638625
F80,0.00027788786960372127
P15,0.00027204524086335005
F1,0.000271668458686003
F94,0.00026829553356997324
F98,0.00026810993199308795
F27,0.0002676323655441015
F155,0.0002564239510602917
P50,0.00025548261726369146
F153,0.0002526515645596472
F101,0.0002515162974103369
F105,0.0002510120503907753
F16,0.00025051956172761347
F73,0.00024990975498602187
F6,0.0002461629026069501
P3,0.0002445399072822374
F113,0.000242772465447727
P122,0.0002422337780489503
F68,0.00024016336922183523
F151,0.00023949720946510046
F15,0.00023922043860908905
T5,0.00022967210307254238
P68,0.0002223567158034623
P124,0.0002211138669640178
F130,0.00021918385314205756
P36,0.00021780084263023358
P38,0.00021692344280141996
P61,0.0002149291916131446
F121,0.00021436615785288548
T7,0.00020908662139782486
F25,0.00020647485960352264
F24,0.00020634022576788703
F62,0.00020564976982173633
F154,0.00020452158572490387
F29,0.00020329900776097087
P32,0.00019879490712488846
P34,0.00019715202548555854
F18,0.0001954853008847568
P55,0.00019501808977844258
F159,0.00019409170245758832
F17,0.0001932784228655171
F104,0.00019193304399955924
P9,0.0001908837073553604
P76,0.0001875906689283502
F82,0.00018301881259481513
P111,0.00017774422739165187
F41,0.00017713482880614694
F103,0.00017296350510012103
P45,0.0001728620331858055
F63,0.00016811305963670975
F124,0.00016175733962375816
F3,0.00015632757996315584
F116,0.00015611747339545624
F106,0.0001560318525042348
F164,0.00015439421481080461
T1,0.00015374857621166526
F75,0.00014667677941744285
P2,0.00014565416944392062
P22,0.00014214878043772305
F118,0.0001402951515805606
F135,0.00013758956682643486
P25,0.00013297749659588743
F131,0.00013255039555284397
F126,0.0001320475881729344
P11,0.00013143715425882884
P105,0.0001303379114289127
F119,0.00012973944862673114
P41,0.00012476338165667844
P82,0.0001243787917989181
F40,0.00012318564271771582
F33,0.0001222428585257118
P12,0.00012081458498094388
F77,0.00011948278721434225
P14,0.00011756226255188462
F137,0.00011422558437652608
F146,0.00011270382907802023
F8,0.0001081873823572943
F127,0.00010553925346221683
P87,0.00010366848698295517
F72,0.00010124030933043038
P65,0.00010004402352494778
F59,9.848526702862514e-05
F160,9.503321909163365e-05
F161,9.364397705080574e-05
F145,9.238727657585599e-05
T11,8.998474566690451e-05
P67,8.866508413449826e-05
F150,8.816675217726555e-05
P83,8.520382942160954e-05
F97,8.491892167230563e-05
F64,8.288021481277497e-05
P47,8.040068394095101e-05
F47,7.98098728344243e-05
F38,7.97048187724636e-05
P17,7.893451300633458e-05
P46,7.66931261410253e-05
F132,7.580147037049567e-05
F129,7.387520509241074e-05
P127,7.248930652399288e-05
P88,7.028572242304688e-05
F7,6.969864415258264e-05
F28,6.907963689759545e-05
T2,6.653076837022098e-05
F92,6.5694025209595e-05
P95,6.311436767587608e-05
F90,6.063838535710353e-05
P35,5.970058098014874e-05
P80,5.5504942503437074e-05
P18,5.4259380513577146e-05
F93,5.148219590209724e-05
P119,5.087349595747082e-05
F43,4.7559327543456045e-05
P98,4.3536058981841205e-05
P107,4.2283877326210197e-05
F158,4.150547739734112e-05
F115,3.910026394029487e-05
P42,3.7851679613098986e-05
F87,3.2439240214454657e-05
P1,3.223238597915845e-05
F133,3.14168193799258e-05
P66,3.061153207102318e-05
P7,2.9644602607792336e-05
F88,2.521024235899727e-05
T4,2.3260228124399875e-05
F91,2.0838473131856718e-05
F81,1.9764509406683396e-05
F125,1.6971093762441215e-05
F147,7.194539783461629e-06
P48,6.76543773476812e-06
P63,2.5452134780001857e-06
P53,-4.532336192708541e-06
P109,-7.1163244079297526e-06
P62,-8.626708402270645e-06
F128,-1.0243181852054306e-05
P93,-1.1502223574044734e-05
F58,-1.356644127576967e-05
F112,-1.590596411316092e-05
P29,-1.703055181141444e-05
F96,-2.4175148067939743e-05
F168,-2.7363593627049988e-05
P21,-2.9637068087295938e-05
P71,-3.1597659741944285e-05
F120,-3.592898133657485e-05
F42,-3.657005446602302e-05
F37,-4.0516626831021973e-05
P5,-4.101225808272879e-05
P86,-4.244218038700343e-05
F70,-4.8046427266745795e-05
F138,-5.113004339345473e-05
P118,-5.144795350517928e-05
P72,-5.188456883691295e-05
P37,-5.465874171057816e-05
F69,-5.9687347252967984e-05
F110,-6.196129958786489e-05
P26,-7.003892474721773e-05
F51,-7.50527478623475e-05
P81,-7.746071287404455e-05
P8,-8.616843460504953e-05
P59,-9.196805209283898e-05
F85,-9.728413825706994e-05
T3,-0.00011099225347928065
T10,-0.00011148282665582876
F5,-0.0001265326641376463
P60,-0.0001276524683786695
F30,-0.0001327653133915918
F163,-0.0001338858038976598
P125,-0.00014462352265607326
P96,-0.00014689639695770752
P94,-0.00014962970504071028
F95,-0.00015446004777237566
F142,-0.0001569986945043622
P43,-0.00016129716799140326
P123,-0.00016213559106350583
P90,-0.0001625337450260611
F49,-0.00017123527466889055
F34,-0.00018010168313606912
