Feature,Importance
T9,0.0028150599932981633
F61,0.002084290426284374
F109,0.001965892692235549
F148,0.0017720597576641683
F122,0.0016882047958809432
F26,0.0016129193702322908
F3,0.0015951411108529935
F144,0.0012452627228730195
T2,0.0011985039612108172
F114,0.001122147169739085
F100,0.0010945654498641932
F156,0.0010408278865948084
F136,0.0009754697015052161
C14,0.0009660015611993256
F40,0.0009479823522536623
F22,0.0009284996004863544
F104,0.0008819477582360901
F128,0.000811034523338483
F165,0.0008071754250452478
F115,0.0007758105575842
T12,0.0007598349552095484
F92,0.0007383101225707289
F94,0.0006829193748288276
F74,0.0006552277029258536
F86,0.0006487954490673297
C10,0.0006454305659611803
F134,0.0006450202824757056
F15,0.0006388970917610371
F111,0.0005976520393309759
F76,0.0005699844169761104
F168,0.0005514230278813814
F103,0.0005447049302320872
F4,0.0005366285515020719
F66,0.0005268810554150294
F31,0.0005242996619085005
F169,0.0005233998004147589
C4,0.0004914908951184404
C9,0.00047660227775263574
F164,0.0004719329357357749
F124,0.00046351319808373147
F143,0.00046275816199596863
F152,0.00045851628909030493
F95,0.00044462947044463517
F108,0.0004368317547355005
F96,0.00042848999646258876
F147,0.00042792706272036795
F117,0.00041148134900776957
F167,0.00039579099919977433
F65,0.00038986533011073907
F69,0.0003853615385366993
F80,0.0003813933226802124
F129,0.00036306634367739844
C19,0.0003615039238644924
T6,0.00036045443830661216
F75,0.00035782514429578695
F16,0.0003337001980089793
F7,0.00032756186631948124
F107,0.000317599587402384
F85,0.0003168976243410393
T1,0.00031215703223048675
F119,0.0003112817507625376
C27,0.00031010047602064716
F159,0.0003042349632498498
C21,0.0003009728661134137
F57,0.0002990884948977257
F79,0.00029577548320038896
F123,0.0002914459480150011
F155,0.0002855555189370529
F23,0.00027958203369087274
F42,0.00027372158320340125
F135,0.00026453648277038335
F51,0.0002516221682565156
F145,0.00025144807647889953
F88,0.000250313882648312
C31,0.0002498212344480111
F12,0.0002447969150394247
F158,0.00024185479382095033
F11,0.00023660837946966052
F101,0.00022778915453391946
F163,0.00022581753844250763
F89,0.0002245040656708497
F46,0.00021714715587706213
F54,0.00021637395265066138
F20,0.00021146332516452926
C29,0.00020684121492646755
F18,0.0002054567078619618
F32,0.00020284035821502844
F21,0.00020055705286399218
F130,0.00019580812260611147
F70,0.00019108370703921907
F62,0.00018515872512929742
F1,0.0001748020244793036
F126,0.00017240682696979538
F153,0.00015792940976437907
F49,0.0001561533506552193
F45,0.0001530322629982539
F161,0.0001491229164136687
F56,0.00014472621916326034
F2,0.0001427245080040329
F55,0.00014046307516446532
F154,0.0001403566486160024
F8,0.0001383476722402577
F90,0.00013351087184583222
F43,0.0001291297803977409
F73,0.00011761077141991816
F27,0.00011241070455232371
F50,0.00010411242765531181
F13,0.00010341200744348188
F157,0.00010058034265709725
F105,9.981184556333567e-05
F10,9.961498552866211e-05
F48,9.80128010436454e-05
F41,9.327427580032576e-05
F58,9.190509908556521e-05
F106,8.944832648940526e-05
C28,8.045102677733951e-05
C5,7.648888949132182e-05
F9,7.193929706603708e-05
F116,6.936828846453303e-05
F67,6.92292981218312e-05
F162,6.765383431481809e-05
F35,6.547566554100381e-05
F14,5.922665912507785e-05
F77,5.490908956393703e-05
F118,5.3099863436312236e-05
F93,4.707666225391982e-05
C30,4.198897887841557e-05
C1,4.010749885812182e-05
F64,3.9479034517064804e-05
F30,3.890540253601582e-05
F81,3.7203577835032145e-05
F139,3.5088915413750146e-05
C2,2.445300502171843e-05
F166,1.8301830653366657e-05
F25,1.4740241404220811e-05
C25,1.408111034546522e-05
C24,9.437063369155397e-06
F125,8.259697419465972e-06
F47,3.653392562896762e-06
F59,2.7192201174086605e-06
F24,-2.719457207889242e-06
R1,-5.410397381200305e-06
F53,-1.2983409732747475e-05
F113,-1.4516117850704725e-05
C6,-1.825373873500791e-05
F87,-2.103449216310782e-05
F33,-2.2006792335105274e-05
F121,-2.2408970765996905e-05
F83,-2.474641090106644e-05
F138,-2.631834362427643e-05
F84,-4.15715790462734e-05
T11,-4.257589965555031e-05
T10,-4.8160595480428726e-05
F5,-5.5109372228256956e-05
F110,-5.6645415529388286e-05
T5,-5.736459277536632e-05
C11,-5.8258516374531943e-05
F82,-6.26680900353449e-05
F72,-6.583871211729431e-05
C16,-6.62097541302753e-05
C26,-8.080097962515076e-05
F68,-9.058544465361252e-05
C23,-9.11558366701204e-05
F17,-9.212325338123773e-05
F37,-9.628988414751571e-05
F102,-0.00010093558047157281
C22,-0.00010220634158601971
C3,-0.0001051332899916435
F28,-0.0001055260526898083
C20,-0.00012158003190074763
F99,-0.0001339569833774368
F120,-0.00013540331389578776
F29,-0.00013990084633415113
T3,-0.00014380293444702375
F34,-0.00016549861036647685
F6,-0.0001657595110845733
F140,-0.00017151293965689263
T8,-0.00017387605676160155
F151,-0.00017943000889288906
F71,-0.00018266900350207837
F127,-0.0001957890031229148
F150,-0.00020028127492583981
C12,-0.00020078610800986497
F149,-0.00021657218462891591
C18,-0.0002183487620947
F132,-0.00021847317387793108
F141,-0.00023188359459740403
C13,-0.00023696374084911654
T7,-0.000242305018082134
F19,-0.0002476839218008342
F60,-0.0002624403502012651
C7,-0.0002749024102393083
C15,-0.0002755471820072186
C17,-0.0002789019584282126
F98,-0.0002860091775473972
F52,-0.00029646849607893876
F142,-0.0002995486122163715
F97,-0.0003159411744476204
F131,-0.0003460441799721492
F91,-0.00034983814903040146
F112,-0.00035842562057017966
T4,-0.00035855501741781647
F39,-0.0003624864850362508
F133,-0.0004313931995912457
F137,-0.00044274452463759494
F63,-0.00045110205902574305
C8,-0.0004688666731316626
F44,-0.0005131604026889392
F78,-0.0005165367657997688
F38,-0.000558876879556891
F160,-0.0007072727257706913
F36,-0.0007460265316796999
F146,-0.0008455547663705598
