Feature,Importance
F124,0.00409545154447879
F62,0.0035249870608243137
F136,0.0032423880129950344
F14,0.002625228570431215
T10,0.0025357023651115806
F137,0.0024137846732209755
F134,0.0022937026189245647
C23,0.002161753599346872
F138,0.00215184597524809
C5,0.002131062904557446
F104,0.0020345178181979673
F79,0.0020334526446333713
F133,0.001978922082508472
F143,0.0019329805830048841
F132,0.0015240388367943059
F51,0.001463539272192893
F1,0.0014429563207265517
F77,0.0014266287121650124
F49,0.0014243142576062962
C28,0.0014140343415594003
F140,0.0013367524411330932
F120,0.0013193503935398977
F31,0.0012600231658912886
F167,0.0012586876084467401
F125,0.0012453734992888155
F60,0.0012184206602801507
F3,0.00120581408614302
C29,0.0011223514335997997
F165,0.0011169640658481139
F145,0.0010977042984084751
F146,0.0010563625175011638
F147,0.0010421998384709142
F153,0.0010356222572815987
F96,0.0009943652629424982
F45,0.0009943570676789193
F7,0.0009924257471856546
F54,0.0009700900508994526
F123,0.0009006206330327337
F135,0.000896913133028221
T11,0.0008941570368766527
F64,0.0008733700762554974
F114,0.0008614634497770446
F117,0.0008573001937260294
F98,0.0008247357721118398
F2,0.0008215653719798599
F69,0.0008178530969624287
F15,0.0008086485066663762
T9,0.0008076773112568603
F102,0.0008055286305684639
F100,0.0007988536596035712
F78,0.0007939078792604803
C7,0.0007831542839853878
F35,0.0007752979468111931
F17,0.00072219370568396
F83,0.0006909314565280766
F122,0.0006848351546509424
F48,0.0006595709352180901
F53,0.0006489039361326388
T7,0.0006267145796591933
F108,0.0006013373837242764
F101,0.0005732909303594713
F65,0.0005730673296608036
C11,0.0005575540133590185
F23,0.0005462773054582204
C6,0.0005177972048737711
F42,0.0005102648697456136
F115,0.0005083567466981354
F112,0.0004998884820946792
F110,0.00048688676253387796
C24,0.0004772284564489748
F90,0.0004676911930775685
C13,0.00045017209325632913
C9,0.0004357590566589131
C12,0.00042815892979897185
T5,0.00041862055390882167
T1,0.000374576322819653
C19,0.0003425471675463143
F66,0.0003408433018687429
