Feature,Importance
F124,0.0030224388589446425
P78,0.0022925001608936845
F136,0.002138034155523183
F62,0.0020970583871033456
P66,0.0018810474034499868
C23,0.0018410627162043446
F137,0.0017416703656139454
P106,0.0017167509866769849
P116,0.0016796594776816054
P50,0.001600206474673227
F133,0.0015761871408454641
P113,0.0015440219358860753
F134,0.00149513648267261
F14,0.0014050117840285203
C5,0.0014043702321058227
F104,0.0012897671392722466
P60,0.0012833484865939493
C7,0.0012811287421570228
P89,0.0012793644128308746
P33,0.0011651267509697138
F143,0.00111932686882672
F138,0.0010863271713180023
P121,0.001085614723348094
F49,0.0010419072792838603
F79,0.0010409639498507595
F140,0.001027030254171013
T10,0.0009379739378634344
C28,0.0008923667978006477
F147,0.0008705770037547467
P69,0.0008523085985055357
F146,0.000831412907206408
P23,0.0008225983274672277
F132,0.0008041794487761766
F101,0.0008002173894262832
F51,0.0007797426725494105
F123,0.0007649522689455069
P16,0.0007583954464432275
P32,0.0007481753826901639
P79,0.0007466066660073878
P84,0.0007342166392304339
F100,0.0007317094589016637
C29,0.0007209624737304577
P126,0.0007165619737752316
T9,0.0007046427605117867
P46,0.0006968433348520265
F31,0.0006763808308973829
F135,0.0006728522584273034
F114,0.0006665143923908712
P12,0.0006617431574615029
P11,0.0006608346297660717
P81,0.0006607618396942793
F165,0.0006550398612354513
F77,0.0006520288383576212
F117,0.0006508084617561583
F1,0.0006484539562013669
P3,0.0006403726491774009
P92,0.0006355839512716344
F96,0.0006310641543235907
F45,0.0006159052430663615
F34,0.0006118455047206429
P7,0.0006095338413851347
F54,0.0006053718083912863
F78,0.0006002941783534333
F167,0.0005954378802081273
P128,0.0005910201236205114
P25,0.0005896547701853105
F120,0.0005887333052651212
F10,0.0005847366290322231
P94,0.0005818128041045423
F7,0.0005667534665649843
F2,0.0005564910570722947
T7,0.0005556717082024765
F153,0.0005442938301309485
F60,0.0005200210128841309
F102,0.0005187280731759003
C19,0.0005086279848340424
F125,0.0004972342344438108
P13,0.0004944089479742786
T11,0.0004921929097677858
F48,0.000488336378119536
F12,0.00043491500995047617
F64,0.00042647686623320524
F3,0.00042611185204717296
F17,0.0004179416480100784
P53,0.00041768599402733917
P22,0.0004139710520584039
F65,0.00041078558540217356
P100,0.000405916331587175
P27,0.0004051653282789669
P105,0.0004017289502923127
F98,0.00039296325695450387
P1,0.0003835689527284192
F15,0.0003678560781467333
F53,0.00036302736584317155
P71,0.00034509013823296185
P24,0.00033936171634678657
P17,0.0003372238006094985
F35,0.000322975959289229
P108,0.0003217696637058953
C24,0.0003151665064741849
C9,0.00030695370006634805
P87,0.00030469143073625916
F108,0.0002940066559885768
F122,0.00029211079584219314
P122,0.00028942703361862777
F145,0.000288959321922011
F83,0.0002750649338331357
P2,0.0002685567395076749
C3,0.0002552788754831781
P10,0.00025065409313511643
P123,0.0002498213348095746
P74,0.00024938864022998607
C31,0.00023924134349555536
F21,0.00023091010092981534
C10,0.00022242783208801243
P51,0.00022144603087022042
P57,0.00021508717024194547
P68,0.00021136664365526415
F142,0.00019495401201892194
P18,0.00018754015684323554
C13,0.00018607597756736816
F69,0.00018042062483685227
P45,0.00017494654470433523
P21,0.00017326218299471564
F9,0.00017079376803694757
F42,0.00016720201820636938
F90,0.00016337694012311666
C12,0.00015412328681914113
P85,0.00015191259642697297
F168,0.00015111170792185823
P120,0.00014923264760682286
C11,0.0001441550499004407
F103,0.000120754114054078
F33,0.00010750651324729077
P40,9.852613375587183e-05
F129,9.672381707073185e-05
F56,9.416294045827556e-05
R1,8.902202970348939e-05
F164,8.351317701400518e-05
C6,8.18964476536177e-05
P97,8.089528808836732e-05
C1,8.061581961542608e-05
F160,7.636982237220202e-05
T1,7.325880620459024e-05
F105,6.80674946837545e-05
F169,6.31502952907148e-05
F112,4.933103260578165e-05
F91,4.564297097635617e-05
C21,4.541482282189868e-05
T5,4.485919845342856e-05
P77,2.3847986456715375e-05
F152,2.2830817968477744e-05
F159,1.874183086645331e-05
