Feature,Importance
F124,0.0030482334022556845
F62,0.0022946147356107892
F136,0.002292953738920289
P78,0.0021891191835883284
P66,0.0021362334626503277
P116,0.0019344374518815322
F133,0.0017947791727460417
P106,0.0017943759150022664
F137,0.0017926876148887327
F134,0.0016698394594765631
P50,0.0016611649011183615
F14,0.0015710120348688683
P113,0.001558656050621021
P89,0.001526658818439852
P60,0.0013628049122750507
F104,0.001321741596322612
P121,0.0012718028654504555
F143,0.0012546616424891966
F140,0.0012511457473849852
F138,0.0012145293214462338
F49,0.001132190302563041
P33,0.0010504692887454148
F132,0.0009511753723379535
P23,0.0009269597523437145
T10,0.0009227986607705408
P3,0.0009125071691788555
F79,0.0009045996708760828
F100,0.0009012979692767598
F123,0.0008713387787706584
P81,0.0008680234803718267
P69,0.0008418436322265244
P84,0.0008409306552379814
F51,0.000835686393534596
F146,0.0007954476324209647
P79,0.0007539820266288632
P126,0.0007502927094913848
F114,0.0007482253715362485
P46,0.0007468688160502613
F1,0.0007287935551985481
F167,0.0007266764405136072
F12,0.0006882798422713332
F10,0.0006734826090718293
F31,0.0006704785499282107
P16,0.000664644766163569
F64,0.0006602707241769145
F77,0.0006557658853135973
T11,0.0006503302148134438
F147,0.0006470006637889547
F135,0.0006449925706963455
P92,0.0006248321542873025
P32,0.0006241355702141683
F101,0.0006210207546038848
P11,0.0006097313580813779
P12,0.0006041279085644113
F54,0.0005987664409230486
F78,0.0005772587233356941
F102,0.0005760064593437697
T7,0.0005756010237139453
F120,0.0005735241283524762
P128,0.000573171576900533
F2,0.0005693861597051431
P25,0.000557846981121779
F96,0.0005524476191138827
F7,0.0005394568850493276
P13,0.0005374498266685456
F17,0.0005351926776584026
F125,0.0005316395457835909
T9,0.0005282793947272602
F45,0.0005239472637920794
P7,0.0005042042151601311
F65,0.0005035662541627683
F60,0.000500009308795768
P100,0.00048827896742564825
P27,0.0004757953170785978
F153,0.0004726700362555292
P94,0.0004720059230896911
F98,0.0004578910235959022
P24,0.00045750793601904147
F165,0.0004344826036278171
F34,0.00043099249539952923
F145,0.00042730263923091983
P22,0.0004204726549927873
F15,0.00042005012874839486
P123,0.00040069279479246764
F48,0.00039711346871387223
P1,0.0003958372647471009
P105,0.00038486845908414224
F35,0.0003742349245000387
F117,0.0003685994163023398
F3,0.00036636330681916185
F53,0.0003569164521354029
P53,0.0003541899435429485
P108,0.0003534284670791088
F108,0.0003408013350717276
P51,0.00033730402438538756
P71,0.0003299118433106152
P122,0.00032844005573373636
F122,0.00032745390692610064
F21,0.00027988777695528986
F168,0.0002449932791333875
P17,0.00024244410196589962
P10,0.00023623690838352472
F129,0.00022030682104765554
P68,0.0002169655058628539
F83,0.00020429861595783194
P74,0.00020398362555669182
P18,0.0002032013351110251
F90,0.00020101884388101787
P57,0.00020017099826072915
P45,0.0001918124950475608
P2,0.00019147595947535123
F69,0.0001911451980857848
P21,0.00018050343108337862
T5,0.000177614543671778
P85,0.00017261820672809236
F42,0.00016851533005355357
F142,0.00015620293502442982
F103,0.00014134180168712263
T1,0.00013566592874538763
P120,0.00011452569014394065
F9,0.00010933818086660274
F105,0.00010318404698375083
R1,9.945359242227169e-05
P87,9.041153311355466e-05
P40,8.399043145015383e-05
F164,7.231742520690254e-05
P97,7.213997074511092e-05
F169,6.250726971033239e-05
F66,5.998811541778615e-05
F56,4.7664840190408955e-05
F91,4.040412875987443e-05
P4,3.5090839161933116e-05
F33,1.275573497823146e-05
P77,-9.993158902288357e-06
P125,-2.5037517813064624e-05
F160,-3.1506060137243e-05
F85,-4.2771626377557936e-05
F47,-4.541741129653332e-05
P29,-6.719501944263406e-05
F112,-8.667704697429279e-05
P19,-9.103130866119357e-05
F159,-9.601716677085648e-05
F166,-0.0001042232473120297
T6,-0.00010873920563509998
F19,-0.0001126088380062562
P6,-0.00011937637985042216
F44,-0.0001208590123037201
F43,-0.0001263982476766401
P102,-0.00013522025027237205
F154,-0.00013675857430257566
F115,-0.0001367968813798637
F50,-0.00014395452579605284
P117,-0.0001672629121981295
F84,-0.00016868887083294483
P127,-0.0001768638287598545
F36,-0.00017804041908986434
F152,-0.00019119334045547554
F68,-0.00019208907416481402
P111,-0.00020184434364964866
F95,-0.00020406557940853
F89,-0.00020615516188309256
P70,-0.00021612448797645457
F22,-0.00021815636484259215
P26,-0.00021956416908626154
F126,-0.0002232458887645006
F27,-0.0002246693064481775
F141,-0.00022521841385882979
P95,-0.00023623047942646913
P65,-0.00023914281486216992
F23,-0.0002396790061705456
F59,-0.00024230981951753883
P110,-0.00024625973227485607
P124,-0.0002492080921724149
P39,-0.0002618567740249489
P47,-0.00027298978935963447
F157,-0.0002746085523173125
P36,-0.0002751860854577348
F26,-0.00027764859815868623
F110,-0.0002777960030040827
F55,-0.0002817402256575452
P59,-0.00028384564510859357
P115,-0.00028954971836152587
F46,-0.000299020428414476
P35,-0.000350381206333239
P72,-0.00035146712332090324
P14,-0.00035836837172245064
P61,-0.0003604660600269316
P38,-0.000362924077684923
F86,-0.0003629940713030244
F139,-0.00036561676664721433
F13,-0.00036878934005954986
P98,-0.00036966452462698917
F107,-0.0003857432913323855
P99,-0.00038661905345014345
P54,-0.0003914636644309244
F80,-0.0003946229219001562
P58,-0.0004022735129574961
P109,-0.00041345164674617686
P15,-0.00042178740160676577
F158,-0.0004502449541626152
F57,-0.00045583123730938977
F6,-0.00045669610588503493
F148,-0.00046064493288375805
P104,-0.0004618673069073598
P28,-0.00046480366271670623
F67,-0.00047079154550089264
F163,-0.0004855601247323538
P73,-0.0004975275837379112
P103,-0.0004983379468213922
T4,-0.0004990982496543061
F156,-0.000515305078162509
P107,-0.0005224178379956701
F8,-0.0005294198928346816
F20,-0.000536621758109268
P9,-0.0005373562761877615
P101,-0.000540326570148908
P114,-0.0005417314397164752
F119,-0.000544142332313724
P80,-0.000553659895188341
P43,-0.0005630408182153879
P90,-0.0005724125850576467
F127,-0.0005747687818475012
F93,-0.0005789973239307411
P42,-0.0005818806740657045
P119,-0.0005848694299022128
F5,-0.0005982825973303463
P56,-0.0006173814553760426
F40,-0.0006180377238017343
P34,-0.0006211388967403586
F39,-0.0006214191162493776
F128,-0.0006244802079286238
P31,-0.0006364458632901471
F81,-0.0006397540000762092
P93,-0.0006421116060767673
F52,-0.00064380802336923
P75,-0.0006459786509513509
