Feature,Importance
C5,0.0042044944327567
F152,0.0034786923240101688
F1,0.0032532579978107544
F40,0.0031585426101426338
F142,0.0025579073165698405
F73,0.0025416795778277377
F93,0.0024606635441267065
F27,0.0023613641457884693
F100,0.0022617970065816006
F48,0.002250669530535809
F137,0.002220847945358839
F132,0.0021649850779112078
F96,0.0020898154977648355
F3,0.002084241117745389
C12,0.0020765618622529567
F143,0.0020134411643077943
F167,0.0019713890624237784
F145,0.0019044181452113397
F66,0.0018844500220859927
F78,0.0018266976741274643
T11,0.0018262568494679331
C13,0.0017965890912335248
F136,0.0017760352203393115
F14,0.0017609190403287567
F35,0.0016881226090299073
F61,0.0016721244496694433
F138,0.0016608635613646339
F115,0.0016052974355805106
F45,0.0015962553167724104
F123,0.001548771510731095
F85,0.001383120134499638
F22,0.0013425665971743771
F108,0.001250305538572327
F134,0.0012489558396548528
F24,0.0012212051212464824
F98,0.001144577796605617
F64,0.001127290300179773
F125,0.0011207727879455564
C19,0.0010585000895039
F83,0.0009944048361110625
F135,0.0009643077503881603
F159,0.0009432069117901066
F147,0.00088586226156524
C28,0.0008699238343053306
R1,0.000847114930597126
F112,0.0008154009150545428
T5,0.0007654096292910584
F15,0.000761957142947578
F110,0.0007413025186887801
F43,0.0007334231576674455
F84,0.0007232815971292439
F21,0.000718586999804316
C24,0.0006598788700237889
C29,0.000657661148472144
F133,0.0006382853888713402
F128,0.0006318601574323068
C15,0.0005935003796140315
F5,0.0005867455105257324
F79,0.0005805583896944632
F6,0.0005577828474653934
F119,0.0005530704704170386
F33,0.0005479847676048699
F91,0.0005246921824370698
F95,0.0005130373565763957
F157,0.000512213073865908
F65,0.0005110147236741635
T1,0.00048024565600042203
C4,0.0004526486550162634
C16,0.0004514478168780034
F90,0.0004268004835739525
F60,0.00040501575496212363
F146,0.00039237322953806776
F77,0.00037740026062542674
C3,0.000358113046786146
C2,0.00035659358155122335
T10,0.00034874774258919494
F28,0.00032244401785992417
F8,0.000314366329624427
F86,0.0003129653094835039
F18,0.00030365022617768745
F53,0.00026559866999962265
F51,0.00024904583884080014
F56,0.0002474348721031028
F9,0.0002255294494318605
T2,0.00017204719405379266
F122,0.00015319337345549578
F104,0.00013870380349789713
F47,0.00013334857914002463
F141,0.00012788549854905184
F74,0.00010653659708128593
F31,0.00010487620555217347
F50,8.60949591804605e-05
F111,7.592026637555093e-05
F11,6.10398471272422e-05
F153,5.8627682317391463e-05
F126,4.358386001808156e-05
C7,3.752883796952489e-05
C9,2.816782468220147e-05
F46,1.7555093583432325e-05
F76,-3.6739003628660784e-06
C10,-2.1743842065680143e-05
F26,-4.7559135480268466e-05
C23,-4.849679657703554e-05
F17,-5.617642068220796e-05
F49,-9.046409542867728e-05
F69,-9.781642837807248e-05
F81,-9.785214364814721e-05
F2,-0.00010558433167613401
F166,-0.00011187464658215517
F94,-0.000135773301729758
F10,-0.00014445620995342522
C26,-0.00015847418702694683
F59,-0.00020738991775814952
F97,-0.00023341707735302641
C31,-0.00023476992288529175
F117,-0.0002991821733975275
F140,-0.0003280033737450783
F82,-0.00035510071107642817
F103,-0.00037179002890050936
F30,-0.0003734196202610729
F154,-0.0003871772983202071
C8,-0.0003891609274500496
T3,-0.0004157600177976839
F58,-0.0004896482694992432
F102,-0.000518456831256442
C22,-0.0005829381495492836
F12,-0.0006092629207963718
F158,-0.0006205281569600984
F149,-0.000631879819195147
C20,-0.0006949626618383053
F54,-0.0007024713036566599
F160,-0.0007103743410584506
C14,-0.0007226092226253478
F118,-0.0007247930496252497
F169,-0.0007329686662840285
F139,-0.0007389523436720947
F88,-0.0007414973504721089
F52,-0.0007667915483405618
F101,-0.000791960986973228
F163,-0.0007969438263046413
F120,-0.0008266826866035526
T7,-0.0008416679723115994
F114,-0.0008707315545644079
F68,-0.0008977974267120991
C6,-0.0009588745642465035
F19,-0.0009590333599143186
F144,-0.0009989776396258864
F57,-0.0010319407658370139
F34,-0.0010438627875999362
F87,-0.0010729842816010748
F4,-0.0010762290583256283
F151,-0.0010771621520906383
C1,-0.0011187142614818234
F106,-0.0011736736339609255
F148,-0.0011959221565731593
F55,-0.0012006936138400537
F39,-0.0012135537640468375
F99,-0.0012438207655762312
F89,-0.0012813257273270652
F124,-0.0013053192071271092
F164,-0.0013076826002549335
F13,-0.001313999484790207
