Feature,Importance
P121,0.0037467196791481695
P44,0.003184451038896796
P84,0.0031133032788544846
P32,0.0028333133852034287
P46,0.002742200652844273
P116,0.002392615099567541
F142,0.0023774244307256166
C5,0.0023686095376685757
P113,0.0022882320241060404
F93,0.0021164846263988847
P27,0.00198766462306752
P12,0.0018831201209042804
F1,0.001840621266007414
P105,0.001760878136722832
F27,0.001724849322405886
F152,0.001675659798782103
F143,0.0015928924108020049
C12,0.001529699604524737
P101,0.0015091811300961045
F137,0.0014919524544703133
T11,0.001467299705124958
P51,0.0013592217036023867
F85,0.001349834765646385
F45,0.0013104292856963794
F132,0.0012979303343216397
F40,0.001289630237158157
P125,0.001258940152409327
P74,0.0012422125235430404
P16,0.0012229227738127068
P6,0.0012006785110951768
P102,0.0011763840391100012
F115,0.001164363222526621
P66,0.0011039934590633572
P96,0.0011028211093506268
R1,0.0010987019529788977
P114,0.0010972435495294254
F96,0.001078556763197236
F145,0.0010711412432087286
F35,0.0010539733418596597
F30,0.001053829471228962
C28,0.0010524454810887374
C13,0.0010408429895386374
P60,0.0010314224995014332
P3,0.0010245599180796817
F66,0.0009905907942777236
F136,0.0009515036506857922
P45,0.0009481715526838741
F135,0.0009366006426838158
P50,0.0009320150938284755
C19,0.0009302703289574499
F83,0.0008839545388858117
T1,0.0008792055847125724
F73,0.0008737043243940868
P40,0.0008708578692036451
P89,0.0008682510013779066
F123,0.000865242043730019
F112,0.000859003096960631
F78,0.0008523010293069788
T2,0.0008467828332890725
F134,0.0008349944839445734
P24,0.0008019855114168361
P73,0.0008017016161258716
P87,0.0007967020785500268
F24,0.0007860860605218622
F22,0.0007829734654557274
P2,0.0007780176954006012
F98,0.0007686677413218934
P64,0.0007585026504919323
P18,0.0007581713205986329
F147,0.0007472320218350426
P17,0.0007318594207194717
F3,0.0007210432690882395
P107,0.0007130449137050298
P86,0.0007120767376251003
C4,0.000701385011698985
F108,0.0006953837463564039
F91,0.0006921439647221472
P79,0.0006807984111664389
F138,0.0006806417683596245
