Feature,Importance
P121,0.003934504264723504
P84,0.0035330569256817766
P44,0.0031521040040071837
P46,0.0030451345021541786
P32,0.00276036108635469
P116,0.0024783719328967725
F93,0.0024679517597324895
F142,0.002393853035519422
P27,0.0023617012656250934
P113,0.002282942267441701
F1,0.002196861274624995
P12,0.0019907938049656517
F143,0.001961408123495856
T11,0.0019507813249012961
P105,0.0018349145528429923
P101,0.0017431203817010576
F145,0.0017336683339690406
F40,0.0017194981133900721
F137,0.0016773654858089682
F30,0.0016602366398775549
F27,0.001584579294514743
F85,0.0015729261389327842
P66,0.0015632190021201975
F132,0.0015235763165347472
F115,0.001393291240164052
F66,0.00138992841755341
P125,0.0013807710172962118
P74,0.0013733866532215978
F152,0.001359701922107126
F45,0.0013560829282561748
P114,0.001355590772929105
F135,0.001335607940273409
P6,0.0013222230610976827
P51,0.0012541436799514028
F35,0.0012373465065057322
F123,0.0012301109670182608
P3,0.0012247840659986853
F134,0.0011907989156058729
P60,0.0011718673389837786
F136,0.0011333668490192128
F83,0.0011317579767368357
P24,0.0011213716464300028
P102,0.0011056262810810401
F96,0.0011027935904293518
T2,0.0010958949396005836
P89,0.0010817933261683343
P50,0.0010569622468215468
P45,0.0010548301472285359
P96,0.0010402905570364052
R1,0.0010054323990100755
F147,0.0009887217576856511
T1,0.000977802900844349
P16,0.0009627776744178806
F98,0.0009584374732814815
P73,0.0009480411086839168
P79,0.0009197152749786496
F22,0.0009183605172172982
P40,0.0008962255203424973
F50,0.0008904721640291324
F133,0.0008865170257745358
P122,0.0008789907148241127
F64,0.0008562646768771831
F138,0.0008529124101990693
F78,0.0008444877688620345
F100,0.0008440504254818126
P17,0.0008375974778828344
F56,0.0008249447813651667
F91,0.0008248411846220272
P107,0.0008108336594747634
F112,0.000798951527242009
F73,0.0007920358977017816
P104,0.0007739064509744153
P2,0.000747396200318251
F21,0.0007364911569949673
F125,0.0007230042889778687
F24,0.0007175335575250851
P18,0.0007038193985721364
P86,0.0007013223447439376
F95,0.0007000022405841744
F49,0.0006491614332560846
P78,0.0006434179377062587
F84,0.0006369015197912997
F167,0.000627256840065904
F108,0.0006089355353582349
F157,0.0005766147329615556
F33,0.0005721344284854268
F90,0.0005343379519066715
P64,0.0005290091140466302
F48,0.0005185537900151971
P87,0.0005148657449690397
F10,0.0005053718179039545
F128,0.0005044600970833812
P91,0.0004966748199035642
P106,0.0004888891727594213
P49,0.00047411785138304905
F2,0.00046707078184264893
F14,0.0004373271126798972
F8,0.0004255517488806593
T5,0.0004227765035525355
F103,0.0004186373926367892
T10,0.0004100339774365747
F122,0.00040074568254206967
P33,0.00039909682323790996
F159,0.0003896746730899903
F51,0.00038592316837058325
F3,0.00038534666138549943
P53,0.000381784880908187
P43,0.0003812076429620337
P81,0.00037864370747664466
F61,0.0003596097339899185
P9,0.00035423338410036644
P21,0.00035153959538551937
F77,0.0003419428221830056
F53,0.00032825561618898824
P68,0.000326474259603593
F28,0.00032201522586632335
P7,0.00032082294255086907
T3,0.0002968418641822623
F74,0.00029108405786417715
P11,0.0002841157496045188
P115,0.00027196659519597156
F26,0.0002697239353337988
F141,0.00026643132852033347
F110,0.00025373612860701833
F65,0.00025158233151780787
F146,0.0002488471251890445
F154,0.00024520607276481423
P26,0.00024138989739732608
P42,0.0002405598016147703
P124,0.0002268300054206307
P39,0.0002234250046244668
P8,0.0002123402110655981
F12,0.00021024912875806657
F111,0.00020118379367044524
P109,0.00019921675399654505
F6,0.0001804979147184582
P14,0.00016843019738725927
P119,0.00016104953893769647
P19,0.00015784051785101562
P54,0.0001547633670290427
P108,0.00014892411255171823
F52,0.00014457483592922316
F47,0.00014349374871134302
F60,0.00014145721982146143
F86,0.0001327907397368211
P41,0.00010718851452553579
F81,9.300922752299989e-05
F5,7.132046790783164e-05
P71,4.834404063074338e-05
P38,4.602041961030423e-05
P69,3.872960282307325e-05
F104,2.430264363932899e-05
P65,2.0491508811470994e-05
F43,1.6051686710705226e-05
F15,-3.128905341589494e-05
F166,-3.2352531383805784e-05
F9,-3.733733891828628e-05
F126,-4.046045618868455e-05
F119,-4.3963313633232916e-05
P23,-4.6870153301137305e-05
P123,-6.402105663414482e-05
P82,-7.43395286106896e-05
F120,-7.59623932384379e-05
F153,-8.63799441030988e-05
P77,-8.851968419620881e-05
F82,-9.705540344455699e-05
P1,-9.829478681266934e-05
F54,-0.00010255332806718975
F87,-0.000109603758528376
F46,-0.00012079945053211638
P88,-0.00012565438737071054
F102,-0.00012630917509519611
P118,-0.00013753391292983252
P128,-0.00013834848549518775
F11,-0.00014751878197021283
F17,-0.0001528322582410535
F140,-0.00016158639954610976
F117,-0.00017094368759194012
F68,-0.00017130274376162547
P31,-0.00017456378969993303
P4,-0.00017584934493632964
P90,-0.0001774705199317328
P10,-0.00017798327963758354
P126,-0.00018057213640938486
P111,-0.00018473435309389606
F69,-0.00019283402163434716
P30,-0.0001949151740083366
F59,-0.00020067986685221584
P13,-0.00021001255516064354
F94,-0.000220608300872982
P92,-0.00022691189305841243
F4,-0.00023186258918816982
P95,-0.0002466501345228966
P76,-0.0002489988842263813
F97,-0.0002609520554131883
F58,-0.0002664903336709656
P94,-0.0002852755136088625
P127,-0.00030090203308925646
P5,-0.00030634682163483974
P100,-0.0003245823459119723
F101,-0.00033699498282668827
P99,-0.00034109815823448744
F130,-0.0003590456425726085
P117,-0.0003590653868392746
P70,-0.00042454244719243307
F169,-0.00042546916141152915
F88,-0.0004399149026731664
P52,-0.000449742377825757
F31,-0.0004643351542477969
F41,-0.00047247057608612586
P22,-0.0004759810636882023
P25,-0.0004839110300398186
P112,-0.0004929033512266479
P93,-0.0004938777149283257
P80,-0.0004967530609974347
P47,-0.0005288985656066725
P56,-0.0005353082759957494
F139,-0.0005490309621985823
P110,-0.0005499069706874415
P34,-0.0005504538578960716
P103,-0.0005769431829593774
F20,-0.0005791662823840582
P28,-0.0005872255297466378
F79,-0.0005883203003738124
F99,-0.000591517517619522
P48,-0.0005950856073037248
F55,-0.0006381880973465925
F57,-0.0006522698968395968
T4,-0.0006556308007657386
P29,-0.0006579443353670111
T7,-0.0006617053237524928
F29,-0.0006654428244713628
F158,-0.0006733028444791955
F19,-0.0006858008029317463
P83,-0.0006923382049213167
F62,-0.0006934246679361156
F18,-0.0007014266357511456
F124,-0.0007160498856317865
F149,-0.0007247814493813287
F165,-0.0007499787920106638
T12,-0.0007749708595718551
F34,-0.0007890614634306736
F76,-0.0007938527218343428
F92,-0.0007969678634394573
F162,-0.0008249854538191492
P97,-0.0008682685786346233
F44,-0.0008775020591968552
P36,-0.0008784207771570073
F118,-0.0008900505555008209
F39,-0.0008973815815582764
F80,-0.0009031911577774387
F113,-0.0009495353659517037
T9,-0.0009613785766123151
F144,-0.0009866798688854318
F116,-0.001000204216130829
F89,-0.0010323001634083174
F13,-0.0010358933562955475
F160,-0.0010538402632310096
F164,-0.0010609491838755591
F23,-0.0010662958035368764
F121,-0.0010738842864007393
P57,-0.0010862448513528466
F106,-0.0010883445758848697
F127,-0.0010895284766073044
F168,-0.0010911188527661154
F114,-0.001095403699008557
P120,-0.0010967646693774923
P75,-0.0011240591951760415
P98,-0.0011420710164570026
P59,-0.0011574583548698669
F38,-0.001165353434457117
F7,-0.0012111641560104136
F161,-0.001218118065366669
F75,-0.0012191786866695864
F72,-0.0012402554498236907
F156,-0.0012601899867964229
F32,-0.0012758805777288273
P15,-0.0013099389273367734
F163,-0.0013135972935351514
P20,-0.0013381377570802933
F151,-0.001345256114794191
P37,-0.0013490206288785168
P62,-0.0013744835261275679
P85,-0.0013745041741422882
F16,-0.0013801897382362594
F37,-0.0013879940750038955
F129,-0.0013922976157354939
F67,-0.0013966301576599615
F150,-0.0015365140311279558
