Feature,Importance
F158,0.004853853314526768
R1,0.004014600776501798
F147,0.002522149254815376
F56,0.002503847639765411
F107,0.0022796179657030404
F136,0.0019152951608913504
F123,0.0018387349373589546
F4,0.0017135036893475286
F38,0.0014654318755310315
F150,0.0013842787211544084
F48,0.0013251372948354767
T3,0.0013148768301193714
T6,0.00131375459098495
C5,0.0012759323115643095
F125,0.0012577513598802438
F93,0.0011316465769072304
F23,0.0011305642499090274
T9,0.0011281339927738943
F66,0.0010740485994997773
F84,0.0010581616151117412
F31,0.0010301321223148863
F155,0.0010251000035524705
F64,0.0009961551746661135
F116,0.0009918849952188723
C25,0.0009630531690700605
C29,0.0009312358814624666
C10,0.0009215146734793622
F132,0.0008896876786769869
F41,0.0008848428838573064
F111,0.000806911175126035
F98,0.0008056787736465454
C8,0.0007653226830528715
F59,0.0007503215131515973
F70,0.0007480494041979035
F5,0.0007431286604327569
F141,0.0007359192312837104
F50,0.0007091147967273725
C21,0.0006977726839286769
F110,0.0006960539770676011
F27,0.0006871894950879698
F112,0.0006768501162811358
F139,0.0006657438043485176
F47,0.0006298693639170017
F148,0.0006277876487615908
F22,0.0006158991782772461
C28,0.0006085056932979338
T7,0.0005962392027372365
F75,0.0005866376278520713
T11,0.0005858125628888766
F161,0.0005849142751243042
C9,0.0005703327783431522
C19,0.0005567785112798651
C13,0.0005451147117964128
F120,0.0005426868943536389
F51,0.0005424053542441465
F149,0.0005371226218001013
F1,0.0005360805712441019
F28,0.0005264050054058611
F156,0.0005055865347478816
C11,0.00047271048516894787
F17,0.00047153776225172805
C3,0.00045906152222623396
F21,0.0004459905793215757
F126,0.000434336508153943
F16,0.0004332515456879849
F15,0.00042167970285240665
T4,0.0004197212802843131
C15,0.00039491982082571207
F6,0.00038636944472076885
F143,0.0003733519857173961
F163,0.00037176304500241564
C26,0.00035813270430022913
C6,0.00035358430687257856
F137,0.0003493347644723421
C27,0.00034750179914802006
C20,0.00033174723145241726
F154,0.0003313943472758485
F87,0.0003295330293872745
F54,0.0003231944457018132
T1,0.00028383494808794654
F7,0.0002718407783759202
F60,0.0002718038106035214
F114,0.0002630957246237076
C16,0.00026168778121351546
F109,0.0002574438096771381
F127,0.000254048019762898
F33,0.00024530975034824375
F128,0.00024079193781938456
F77,0.00023861262056279475
F37,0.0002381804165632051
F159,0.00023398168938506547
F134,0.0002250391955039177
F81,0.0002232511607953347
F117,0.00020852222660980858
C4,0.0002080341742027203
F108,0.0002038150839763331
F32,0.00019781817925743628
F88,0.0001924072435005142
F138,0.0001887914631833576
F25,0.00018250595514215373
F142,0.0001804956036082217
F29,0.00017070643419365706
F165,0.00017050207732829392
F63,0.00015571278479777905
F91,0.00015298158151551
C24,0.0001465817906916689
C31,0.0001463805911383398
F52,0.00014623696172910705
T5,0.0001299770699366709
C1,0.0001213863929397041
C22,0.00012106791965620367
F39,0.00011293865847126217
F14,0.00011256451899233078
C18,0.00010988442507542384
F151,0.00010642424887765677
C2,9.918090079501507e-05
F43,9.84091769081985e-05
F90,9.490828865466039e-05
F18,9.095723152936497e-05
F10,8.988668009048961e-05
F74,8.070537451891902e-05
C14,6.935587515111141e-05
F86,6.559332670001972e-05
F35,4.659655356697989e-05
C17,4.622516952643707e-05
F65,2.95926115936318e-05
F12,2.628948169471901e-05
F76,2.2493401194467743e-05
F42,1.8993797292532477e-05
F89,6.542623890282151e-06
C7,2.3427366806938467e-06
F160,9.891243630599788e-07
F72,-4.1749717879069335e-06
F61,-6.703340595559659e-06
F24,-7.988381763301966e-06
F130,-2.7828207249802618e-05
F94,-2.990793340720277e-05
F40,-4.4012025821671405e-05
F102,-4.460194711803922e-05
F104,-7.915130474340781e-05
C12,-7.92770000417331e-05
F19,-8.415654454638766e-05
F82,-8.606804046251693e-05
F53,-9.128499376340749e-05
F146,-9.356637584818639e-05
C30,-9.618721372499639e-05
F71,-0.00010103074624889796
F113,-0.00011142351275224005
F92,-0.00012547359397676593
F68,-0.00014239611614050852
F131,-0.00015961368834080947
F145,-0.00017859507490123328
F69,-0.00018685897202872504
F103,-0.00019242111340134205
F162,-0.00020073686748334207
F11,-0.000201172565339669
T8,-0.00020167956670722465
F164,-0.00020984603337430573
F152,-0.00021027863856353245
F79,-0.00021740947242385734
F99,-0.00023248351116680332
F34,-0.00023997359870331358
T12,-0.00024634641480887344
F9,-0.00025513213578960415
F45,-0.000257159163358156
F78,-0.00025775853076199785
F133,-0.0002587509477366412
F26,-0.0002616580133832036
F36,-0.00026214047507355787
F124,-0.0002645699639510113
F167,-0.0002708787911590571
F157,-0.00027308159863748127
F67,-0.0002807941470972075
F118,-0.0002810577678731274
F166,-0.00028369622941499807
F95,-0.0002930504149595281
F30,-0.00029360826404101203
F153,-0.0002956042634321143
F140,-0.00029771018113842194
F46,-0.0003020082488758735
F49,-0.00033732102945309704
F58,-0.0003407894653218335
F73,-0.0003433200077447962
F2,-0.0003465684381856127
T10,-0.0003518561537279474
F119,-0.0003550690547436508
F85,-0.00035552761623585115
F44,-0.00037079479665449446
F8,-0.0003963483560337711
F20,-0.0003995257353718529
F121,-0.000402902413395867
F80,-0.00043984251650344144
F101,-0.0004541524068774061
F122,-0.0004675847638643038
F100,-0.0004703083053664736
F13,-0.0005076045549887942
F83,-0.0005160568798228349
F105,-0.0005341450692019079
F62,-0.0005500643190023968
F129,-0.0005823483510402738
F135,-0.0006023294836526638
F96,-0.000604856397358966
F115,-0.0006076553273766105
F144,-0.0006369272410365224
F3,-0.0006419041820265425
C23,-0.000674104521462282
F55,-0.0007637557840606713
T2,-0.0007742346082179275
F106,-0.0008351584899209507
F57,-0.0008990329574243061
F97,-0.0013942540001766757
