Feature,Importance
R1,0.0027182448606243746
F158,0.0021401455191057293
P65,0.0020103412231514462
F56,0.0016689071624998108
F107,0.0016628565472038392
F123,0.001332961808098232
P20,0.0012844041079608458
F147,0.0012360258519704237
F136,0.0011480490576100343
P92,0.0010517850408397812
F48,0.0009907022685423205
F4,0.000864883132816563
F150,0.0007838060499740119
P102,0.0007777016908874224
T3,0.0007750191404770623
F41,0.0007636223479622339
C5,0.0007606664765572146
T9,0.0007518830613351346
F23,0.0007458793900492866
F66,0.0007216294777980137
F110,0.0007205062664400908
P113,0.0007127454294814761
F27,0.000695823179462951
P101,0.0006936346941165183
F31,0.0006787153512108457
F111,0.0006547985264908407
P4,0.0006329533244186392
F155,0.0006299671270109774
F84,0.0006234250056448732
P6,0.0006144968137405726
F132,0.0006132922997018175
P88,0.0006115062338343912
C10,0.0005969057032048752
T6,0.0005918237515792679
P95,0.000589967956740911
F125,0.0005559383132466955
F116,0.0005524772870478367
F70,0.0005473182209763561
P124,0.0005434115744733292
F108,0.00053863617924792
F22,0.0005355463520820391
P123,0.0005277841282731455
P14,0.0005263108422689955
F127,0.0005255677922063606
C21,0.0005130922581181308
F28,0.0005094636448079726
F50,0.0005061819098675536
C19,0.0004938482426143365
P2,0.0004935908338904449
P21,0.0004884433940144595
C25,0.0004684861481815128
F139,0.000464106007987608
F112,0.00045985038180682556
P47,0.00045593802238448334
C6,0.00043950812883146727
F47,0.000433193471566673
C16,0.0004304585977854547
P115,0.00042412080392342235
F51,0.0004087741621662033
F21,0.00040419541821654634
C3,0.0004005474268352849
P75,0.0003933194593960243
P69,0.00039129547622220875
F156,0.0003852230415835489
F141,0.0003811823187693797
F17,0.0003785871795595197
F38,0.0003632271004123444
F87,0.0003622757458532355
F128,0.000357933845928371
F142,0.00035196048241732393
F109,0.00034835821967289516
P62,0.0003438403811316437
F64,0.0003409001933214473
C8,0.00033524957359059026
C29,0.0003308177132149481
P105,0.00032073365331894974
P46,0.0003195128365016231
F1,0.0003186780051541049
F39,0.00031808043231593695
P8,0.00031775945525969185
P112,0.00030343141019057996
P110,0.0003004992340444046
F59,0.0002976855324032357
T4,0.00029553017638612734
C26,0.00029071859785929633
P43,0.0002868615931549634
P78,0.00028639029671642115
F130,0.00027914545812002256
C9,0.0002680953807068454
P59,0.0002678298227373643
F16,0.0002675491756459314
P73,0.000266695227973468
C28,0.0002468415108032973
F126,0.00024534871228789614
P77,0.00024374800755451177
F98,0.00024283392231809752
F5,0.00024059244200753672
F29,0.00023766272288241463
F81,0.00023398811151738031
C11,0.0002334437348390006
F25,0.00023146792361476986
P93,0.00022843718635350284
C15,0.00022813449470033832
F161,0.0002236104817540996
F163,0.00022294110034239977
C27,0.00022053662802994366
F143,0.00021398180003906475
F148,0.00021164369877979539
P7,0.0002108349058256076
T7,0.00020684942286428588
F93,0.0002029169379943463
F37,0.0001985993442989331
P86,0.00019473524860866843
P117,0.00019277926881944296
P42,0.00019177325162824665
P81,0.0001865317581722703
T1,0.0001834379035131617
F137,0.00018301062494963105
F114,0.00018010385451632248
P84,0.00017061517293259776
P50,0.00016841243177385669
F120,0.0001656242572981581
C31,0.00015220723750610787
F154,0.00014428510683124341
C22,0.00014185350033486533
F6,0.00014077907940679424
T11,0.00013572967152375437
P56,0.00013399388767525443
F86,0.0001324102704661323
F60,0.0001305895770995491
P3,0.00012868634847829075
P1,0.00012542617202904172
F75,0.00012230593872504248
C13,0.00012169352584159298
P97,0.00012001038359303884
P104,0.00011905018448583604
F24,0.00011727229859797017
C20,0.00011680831898017719
F33,0.00011340650957614162
C1,0.00011181552896497582
P122,0.00011131859860673554
P41,0.00011037659922183974
P55,0.00010992870151675938
P71,0.00010882921421311309
P37,0.0001082074867047922
F32,0.00010452240657670142
F54,0.00010411871533380079
P100,0.00010181499945676187
P27,9.774114000566936e-05
F76,9.768047464107089e-05
P103,9.158065587966391e-05
F149,9.133021651652751e-05
F82,8.554957593018831e-05
P98,8.521004204598004e-05
P121,8.505043055635486e-05
P38,8.391416235316029e-05
F159,8.070618766253812e-05
F63,7.989487018498221e-05
F160,7.845525184837498e-05
F15,7.691628256947247e-05
F91,7.399854582488264e-05
C17,7.384940562149556e-05
F134,7.132267412015558e-05
P24,6.793091202696999e-05
C18,6.737655973203527e-05
F138,6.435345212885135e-05
C2,6.425314104812063e-05
C7,6.323675202346557e-05
P44,6.238418635464704e-05
C24,4.883372628667892e-05
P108,4.847795704743252e-05
F77,4.618840768721988e-05
P32,3.6762808836221515e-05
P111,3.626565638863433e-05
P120,3.167378494766116e-05
F117,3.037179768210496e-05
P116,2.8470647125078408e-05
F42,2.7027996457862357e-05
P82,2.502853155530449e-05
F151,1.919975334903068e-05
F43,1.897629770462039e-05
