Feature,Importance
F51,0.00466189917806048
F49,0.003974934475042202
F162,0.003894531852946992
F104,0.00330698758666248
R1,0.003160542140281075
F158,0.0025792168913478354
F54,0.002540147676607596
F35,0.002419436634278016
F144,0.0023921948766454813
F43,0.0022757787238780747
F124,0.0022356939187622603
F64,0.0022284325293228323
F97,0.0022195433149019284
F37,0.002144299098966007
F125,0.002104319227737417
F126,0.0020956184721075744
F92,0.0020173958128820945
F8,0.0020072540570413634
F116,0.0019826524881526365
F4,0.0018050241800085854
C22,0.001794013220655577
F107,0.0017846042105847282
F146,0.0017429818191848413
F18,0.0015969944768528866
C18,0.0015309065393897202
F136,0.0014969100730459761
F5,0.0014909446558257322
F66,0.0014063420094684088
F76,0.0014009029668606398
F164,0.001384169390338208
F147,0.0013529110149045121
C6,0.0012724090387404186
F156,0.001248765037887445
C2,0.001240711745087264
T12,0.0012393002324020408
F71,0.00122884490335875
F32,0.0011843221605206012
F96,0.001173027291167239
C15,0.0011725201461574742
F36,0.0011714699793868633
C26,0.0011557695875179074
C4,0.0011392075883913666
F14,0.0011327666919374924
F9,0.0010948754836740625
F86,0.001079391351844583
F121,0.0010621608487303646
F58,0.0010391533294565214
F155,0.0010309379645469185
F135,0.0010254299929570276
F131,0.0009769501096158263
C20,0.0009751340276364484
F29,0.0009661300527819439
T4,0.0009125910269992765
F95,0.0009023852001963206
F123,0.0008887276875707339
F159,0.0008850294261388391
F16,0.0008806036992511146
F145,0.000868493155894301
C10,0.0008319630824753065
C27,0.0007949243741310674
F117,0.0007672234557487556
F133,0.0007615845999868753
F75,0.0007396433378052513
F61,0.0007058325785210595
F122,0.000702493063108367
F106,0.0006871509435123268
F139,0.000640991249487044
C11,0.0006112957355131954
C7,0.0005868253281688052
T5,0.0005076754815045437
F167,0.0004881077206375206
F73,0.0004786483985352419
F6,0.00046610004131082406
F114,0.000465163029796134
F150,0.0004248560357971165
F81,0.0003968691998947449
F118,0.00038678452012455013
F25,0.00035776595260390566
F12,0.00035177102051853204
C23,0.00023054577029486546
T9,0.00022058556829103183
C8,0.00021806155730001996
F109,0.0001974249507642689
F59,0.0001782209675315727
F80,0.00015270798906295014
F83,9.931663297777505e-05
F98,6.637055354041799e-05
F7,5.1140870320720563e-05
F102,-5.127129027453492e-05
C21,-6.63055960949066e-05
F137,-8.165112347615632e-05
T6,-0.00012481406544830875
T10,-0.00012716766996438976
F3,-0.00014994891227746444
F56,-0.000158897479802933
F119,-0.00019211364045559342
F82,-0.0002342679832820327
F84,-0.0002871747791543644
F22,-0.00030566003736391955
F11,-0.0003232291670285825
F55,-0.00036006726686013126
F70,-0.00037017382331860915
F120,-0.00038274690209694207
F105,-0.0004329648201764513
F101,-0.00044149885618325333
F153,-0.00045911822396482727
F39,-0.00046958922210493803
C19,-0.00047741459065528955
C24,-0.00048202749790422495
C9,-0.0004821024679412922
F103,-0.0005000020443509445
F50,-0.0005057578401947982
T3,-0.0005101940067822053
C13,-0.0005198345951729078
F111,-0.0005323313127752361
F143,-0.0005641831762676297
F24,-0.0005663021309229687
F62,-0.0005816833842971824
C30,-0.0005962275109584247
F128,-0.0006335954132751454
F140,-0.0006780205684684848
F99,-0.0006935177630249089
C17,-0.0006973700706621067
F163,-0.0007029599694577282
F23,-0.0007225691265029255
F26,-0.0007458717086598731
C1,-0.0007680519806060992
C12,-0.0007900028727596542
F30,-0.0008061432257719491
C31,-0.0008338443790628869
F148,-0.0008411194569083235
C5,-0.0008648147592164701
F60,-0.0008767509820589492
C29,-0.0008976317830832415
F74,-0.0009334633605239783
F151,-0.0009472672646390734
F108,-0.000969192066845892
F19,-0.0009998425157761392
F132,-0.0010136569981589183
F87,-0.0010237257218607798
F91,-0.0010418875731288857
F89,-0.0010501854397195309
F46,-0.0010667753335900088
F130,-0.0010703339867046858
C3,-0.001070958550459844
F20,-0.0010790818484996301
