Feature,Importance
P96,0.00317614963446049
R1,0.0024315578170913898
P45,0.0023262537279972405
P98,0.0021397523081741364
P66,0.0019709599810417977
F49,0.001926418792629292
F51,0.0017776642871688785
P111,0.0017660976479325185
P47,0.0017147697956527263
F162,0.0016783827734648594
F104,0.001630055621135229
P15,0.001588038330860142
P25,0.0015348737355577846
P92,0.0015261112555693401
F97,0.0014570922625099403
F54,0.0013304058277726848
P107,0.0013064377640850556
F43,0.0012458419246264008
P104,0.0012180839987558033
F158,0.0011646548524673062
F144,0.0011586921376229408
P87,0.0011343162875991463
P76,0.001086781384963187
C22,0.000982233173573821
P17,0.0009620410333353036
F125,0.000956645657161248
F64,0.0009444547242569267
F18,0.0009190807102097854
P85,0.0009052392759584471
F37,0.0008761257706423997
F124,0.0008721217715071727
P108,0.0008682397876479175
C20,0.0008451142674304358
F4,0.0008407122006019562
F116,0.0008289660072038352
P84,0.0008185824134764541
P21,0.0008092806619178106
P42,0.0007748072180966848
F76,0.0007724860695508707
P63,0.0007583164478309091
F86,0.0007430461941648758
F36,0.0007228022167824033
P4,0.0007154831892766556
C4,0.0006980634943457798
F107,0.0006978897810244522
P54,0.0006948349555373045
P68,0.0006732008769609887
P71,0.0006601033216906416
P5,0.0006261760092525215
F92,0.0006158327546213815
F16,0.0006148713430512043
F123,0.0006066659134158492
P100,0.0006035884591960361
F66,0.0006014126852757151
P7,0.0005870250157700597
F135,0.0005831448478785361
F126,0.0005755925736733669
F14,0.0005454614841053473
F155,0.0005359861546329725
P6,0.0005236094449471817
C18,0.0005227825856246148
P110,0.0005202078970492962
P94,0.0004702349328720601
T4,0.00046984733958468363
P112,0.000463229266182541
F150,0.00045949544856056513
P115,0.00045605960562560276
C26,0.0004548096750656594
P86,0.00041371787324386846
P11,0.0003982915959500399
F61,0.00039366914032936686
F146,0.0003821540196681017
F81,0.0003745590363825269
C2,0.0003493140250437232
P31,0.0003470369548589147
P82,0.0003317392838664723
F164,0.00033157704289412673
P109,0.00032966388860948824
F121,0.0003140638118032779
P67,0.0002963031438846464
P75,0.0002829101949546331
F156,0.00027853631287335647
P117,0.0002737527396182493
F8,0.0002710797828134659
F29,0.00026992446330660337
F136,0.00026504986573363534
P74,0.0002639371844439076
T9,0.0002602660474466223
P79,0.0002513759669394933
C6,0.00024478996756891467
F117,0.00022749846890390835
F5,0.0002257762023556431
F147,0.0002173417277996137
P12,0.00021529267347912827
F71,0.00021240494943239874
T10,0.00021144261632497497
P23,0.0002111056878141504
F96,0.00019801196797226696
P95,0.00018203689249838285
P119,0.00016737692490327306
F131,0.00016436052632955444
C7,0.00016146962506726758
F35,0.00015621351464747412
P34,0.00015585849449708533
F59,0.00013308068373834024
P28,0.00013135057700934815
P44,0.00012621666275469678
P81,0.0001190580122961915
F95,0.00011855578049630999
C8,0.00010854509751951902
P123,9.169453009625351e-05
C23,8.695296482841286e-05
F12,8.644005704532276e-05
F139,7.202490928981398e-05
P88,6.700898076181794e-05
C15,4.062631267554018e-05
F39,3.210448365664753e-05
F106,3.064098955536387e-05
P16,2.593079556953981e-05
C12,1.2820783013678394e-05
F6,1.1971712356073639e-05
T12,6.406833279992697e-06
F73,6.145934173362733e-06
F118,3.6902038031527694e-06
C27,1.6752680987774936e-06
F122,-4.022603871201014e-06
P3,-6.5158808481680096e-06
F133,-8.769107071548988e-06
F9,-2.9489072147281803e-05
F70,-3.0056244035314707e-05
F114,-4.12204449518061e-05
T3,-5.376525158280465e-05
P114,-5.702853359439431e-05
P26,-6.331520713094285e-05
C10,-8.070405525542056e-05
F58,-9.977187927674435e-05
F153,-0.00010111562797376905
P13,-0.00011497581373589582
P69,-0.00012735217098298613
P60,-0.00012740961419361875
C21,-0.0001309143577091554
P48,-0.0001370695074608186
P36,-0.00014444420861448037
P61,-0.0001550427771751739
F32,-0.00016898609363860117
P101,-0.00018778121343734355
F56,-0.00021586729014542173
P57,-0.00022660334641093626
F145,-0.0002461226366078595
P90,-0.0002482357854544759
F11,-0.0002511608628187112
F101,-0.00025288363461259953
F167,-0.0002543986024402756
P20,-0.00026794465863599903
F98,-0.0002784977960197832
