Feature,Importance
P96,0.003297439232378352
R1,0.0028033662877411823
P66,0.0021740685654002777
P45,0.002124797974574566
F51,0.0020268985986746646
P111,0.002006702025400209
P98,0.0019831954676611473
F49,0.0017744602275486798
P92,0.0017013608864844265
P107,0.0016779650433476068
P15,0.001660944036834877
F162,0.0016416382697204135
P25,0.0016091585542568065
F97,0.0015950076117158042
P47,0.001484962827630909
P104,0.0014784195032392145
F104,0.001394998482310994
P17,0.0013265475375697556
P87,0.0012804984979046807
F43,0.0012417569815830643
F158,0.0012373661815880954
F124,0.0011637330655158262
F76,0.0011369557157718813
F54,0.0011186994537244032
P108,0.001110272281779734
F116,0.0010930247505764878
F144,0.0010685243737192263
F37,0.0010174196633604194
F125,0.0009987563691965296
F36,0.0009709758480607622
F18,0.0009652408143976832
P76,0.0009648807127339953
P54,0.0009574506704502106
P63,0.0009309483718442201
P42,0.0009266778470290227
P85,0.0009241742817120091
F126,0.0009124396607502749
F92,0.0009050366435664259
F64,0.0008918420803104343
F150,0.0008380646142607251
F4,0.000834554167526269
P71,0.0008263162188986595
P4,0.0008263117785081598
P21,0.0007996241916778058
P100,0.0007762543928330867
F107,0.0007739991940964419
F135,0.000766468670860787
P68,0.0007568436409885138
P84,0.0007281926053944509
P7,0.0006002632191257629
P117,0.000595204458605636
P115,0.0005854979472341704
F81,0.0005814876525662704
F123,0.0005737517586731578
F66,0.0005615898489467419
P94,0.0005566363115586892
F117,0.0005515029911222324
P110,0.0005279652154272174
P109,0.00052462377480329
F86,0.0005147881443003932
F155,0.0005050859314519318
P86,0.0004921888740482938
T4,0.0004891257777477342
P11,0.00047814064062530194
F16,0.00046149965326276466
F121,0.00045838162936071567
P23,0.0004485879432011064
F147,0.0004474262847013577
P5,0.00044321149724981803
F61,0.00043920583041971993
F146,0.00042147412720510146
P6,0.00038778998831698883
F29,0.00036186477393918004
F14,0.0003444767447831065
P28,0.00033880097986722647
F156,0.00033702282808873997
P60,0.00030511822271352964
F96,0.00030347566854005414
T9,0.0002889061121547964
F131,0.0002727004699350832
P82,0.0002653824430015383
F12,0.0002541577099486769
P79,0.00023542001661627232
F106,0.0002330234518293839
F139,0.00022610207530604498
P112,0.00022271903327597542
P16,0.0002221231124024392
P75,0.00022097410333707935
P31,0.0002057066728603729
P12,0.00018604737468268516
P44,0.00016695756675391137
F59,0.00015891018384377452
F6,0.00015512517872369181
F73,0.00013743595668853638
P95,0.00013468179378937073
P69,0.00012381877460878598
F5,0.00012140325308584998
P36,0.00010636885972212796
F164,9.533309480009855e-05
F136,9.150154451385007e-05
F95,7.6264865748632e-05
F8,7.499687730003757e-05
F9,7.499239169499461e-05
P67,6.352859515654786e-05
P81,2.549993616871582e-05
P119,1.826755946647829e-05
P74,1.6523322717665322e-05
T10,1.7218816845687712e-06
F71,-8.99034735311055e-06
T3,-1.0473884467510075e-05
F35,-1.0539499918982288e-05
F101,-2.0946960126666525e-05
P88,-2.2296788613518358e-05
P34,-2.288937490315668e-05
F114,-3.17175543235404e-05
F39,-8.513032454349201e-05
F56,-8.618707683316629e-05
F133,-8.629426527608785e-05
P26,-9.103854224608021e-05
P61,-9.825422786251537e-05
P123,-0.00010410836365686294
P13,-0.0001454863443965948
P114,-0.00014810195795948998
F118,-0.000150898225327456
F98,-0.00016605915791876314
P57,-0.00016620656953554304
F70,-0.00016848310842814128
F32,-0.00017323651138840824
F122,-0.0001927203892470697
P90,-0.00019783522217555748
P3,-0.00021271107879372586
F167,-0.00025115366373471557
