Feature,Importance
R1,0.006590094997698914
F4,0.006515071239213732
F64,0.005702328214238861
F155,0.005062571603767552
F81,0.004962930079741223
C22,0.004944056095144323
F49,0.004823785564604011
C31,0.004720283810495163
F150,0.004508869412781502
C23,0.004490278236397494
F167,0.004450456266166159
F60,0.004353653541497504
F97,0.0041636413011111985
F159,0.004127337987093016
F164,0.0038690952397435474
F147,0.0037223944433025123
C15,0.0035285348861755937
F10,0.003225879079516325
F73,0.0032169301261189
F107,0.003063541927576896
F37,0.0029170075266982563
F17,0.002888127667635487
F104,0.0028647264474404464
F56,0.0027810751858989846
F96,0.0027253026034728123
F95,0.0027206434230694575
F112,0.0027042316370325726
F52,0.0026625480069172093
F136,0.002566642352991133
F128,0.0024589353859405527
F9,0.0024080393723230563
F116,0.0023203985517527225
F11,0.0023041653282928286
C7,0.002284185642312053
C3,0.002268200536393694
F66,0.0021462132874166874
F55,0.002075539986705266
F18,0.00198084575477222
C26,0.0018890165474959365
F36,0.0017481579764841992
C27,0.0017301095451663251
C20,0.0016994117431052835
F80,0.001694002048675669
F115,0.0016102049649788786
F41,0.0015985593169585144
F117,0.0015929244956276011
F151,0.0015851986280750908
F78,0.0015313127706579888
F102,0.0014498971499462775
F93,0.0014346884435150642
F5,0.0014036497398644432
F14,0.0014033734945940956
F152,0.0013987507628557161
F124,0.0013653281541731843
F162,0.0012375585999145678
F7,0.0012315941170802703
C11,0.001159184705759575
F85,0.0011485476590778366
F135,0.0011192837490552777
F44,0.0010478331914740124
F43,0.0010396334855090838
F131,0.0010290144184352812
F86,0.0009697608269006342
F106,0.0008911788959389711
F105,0.0008638599715962147
F161,0.0007952061972861469
F111,0.0007453183408003383
C16,0.0007388223338427036
F50,0.0007214941901922955
F84,0.0007106597132518378
T2,0.0006988054666154042
F166,0.0006744581399330318
C2,0.0006464640074464789
F83,0.0005173862682996688
F88,0.00045297425274970493
F54,0.00045262296108563584
F92,0.000442211166301254
T4,0.00040148837990803263
F59,0.00039334934099777286
F129,0.0002894979434497458
F6,0.00022038019992582926
T12,0.0002045064919682815
F98,0.00013479822199768954
T6,0.000113294790121099
T3,0.00010131708125338257
