Feature,Importance
R1,0.0051697953800720065
P85,0.003977748008083726
P87,0.0037809765854245115
F4,0.0033295316527084838
P115,0.0031586927542039066
P119,0.00307159526050369
C23,0.00300873485923252
F155,0.0028816785013608738
F150,0.002865605281754213
C22,0.002834965628672892
P47,0.002797060302136156
P108,0.002744781361368709
F116,0.0027403838971904017
F104,0.002713351501148642
P71,0.0026988912435708555
F147,0.002616508222989289
F49,0.0026126075699644423
P110,0.0025778051482117535
F81,0.002566777208332205
C31,0.002550745674868882
P66,0.002510587783412932
F11,0.002412746138187227
F52,0.0023308476858109107
P32,0.002300388235161055
F96,0.0022133471728014165
F107,0.0022110091671123213
P33,0.0021697322374030215
F167,0.002140319956477299
F97,0.00211845648121991
P84,0.002072365279054278
P28,0.00201573221760567
P17,0.0019845786262681297
P94,0.0019606494172579314
F64,0.0018635515016895976
P54,0.0018546703594354065
F164,0.001850385539118138
F95,0.001769691531648121
F66,0.0016910397903890483
F117,0.0016492037547570337
F112,0.0016264413827099754
C7,0.0016226986594111814
F60,0.0016060175716475999
P96,0.001605221421345382
F73,0.0015763616816517167
P15,0.0015346599587193754
F50,0.0015317419888588812
P92,0.0015138987971480943
C3,0.0014989210002132492
P111,0.0014825612139171885
F136,0.0014741493498039659
F128,0.001432086309598546
P86,0.001421108337969379
F51,0.001414862934880956
F83,0.001412887973088539
P42,0.001410415200114068
P46,0.0013935377306327546
P45,0.0013695465194766942
F17,0.0013686598871553545
P25,0.0013530207470393574
F14,0.0013324381512992201
P107,0.0013108844667143239
P121,0.0012740978960101845
F18,0.0012586895744874482
C15,0.0012526060756778978
F85,0.001150947211368525
P48,0.0011282200459479697
P88,0.00112074748295119
F80,0.0011089784561860937
F37,0.0010879411314716591
P109,0.001071445516578029
F55,0.0010623398092638237
C2,0.0010031462547596347
F106,0.0009840882737058632
F115,0.0009604830749708526
P102,0.0009599565307190971
F9,0.0009260136143832476
P11,0.0009093162574873137
F159,0.0009008900080952565
F36,0.0008883990463206092
F84,0.0008826118940360228
P82,0.0008689002453381
P67,0.0008492101770328553
F56,0.0007997759426772611
F135,0.0007700937263254825
P26,0.0007532551133111465
P112,0.0007300247290801476
F23,0.0007004740387147379
P118,0.0006935617489101986
F43,0.0006761354752624626
P4,0.0006738616493562333
T3,0.0006511894455960121
P12,0.0006501797640563022
C26,0.0006285110349409706
C20,0.0006222749186648446
C16,0.00060703948254055
F132,0.0005989574534125186
P13,0.0005973053967985642
C14,0.0005942975819845486
F54,0.0005602903270056192
C30,0.0005572952949152388
P76,0.0005497015196732846
P104,0.0005251547897118681
P69,0.0004967959087015305
P91,0.00047152250565760665
P113,0.0004703194430212054
P40,0.00046333919661787346
P98,0.0004557205487794924
P24,0.0004490064496512236
P114,0.00044065919671658625
F87,0.00043583705078065194
F89,0.00042328420094821516
T2,0.00042193470864151374
F131,0.0004141824579360076
C1,0.0004072684130685289
F25,0.0003599035641502546
T12,0.0003414012526751886
P35,0.0003061214943882451
F158,0.00030416078605814966
P81,0.0002937997245458401
P10,0.00028228004395458584
F129,0.0002813837046161005
F162,0.00027145014203493466
C12,0.00026038654506748137
P73,0.0002551657333003998
F35,0.00024997231062924287
P63,0.00023420446491924097
F59,0.00019496427989205146
F78,0.00019259210047146703
P43,0.00018598201538995164
F12,0.0001839922211744227
P106,0.00017899694480907335
F101,0.00017047009589026273
P39,0.00012423849750446968
F111,0.00011682543203725971
F153,6.63983728725892e-05
F100,5.4278499891369236e-05
P31,4.177908928375551e-05
F151,3.911898564523675e-05
C27,2.2513769919640936e-05
P90,1.938657723656867e-05
F10,1.9181463851580814e-05
F166,4.7349063744483996e-06
F105,1.1207794502698932e-06
F124,-3.7143789572979813e-06
P8,-1.1183728630559386e-05
F20,-1.4162095933389907e-05
F125,-1.7065503631474856e-05
F48,-1.8912329562281725e-05
C4,-2.6406144095858507e-05
F102,-3.535613610035071e-05
P103,-5.574122996554465e-05
P51,-8.018466969765825e-05
F44,-8.855456277681028e-05
P9,-0.00010106252187505049
P65,-0.00010287838705460572
C11,-0.00010288224853867156
P7,-0.00010830456467347815
P124,-0.00013118541670493756
P41,-0.00014994347210084413
P18,-0.00015591534732308787
P5,-0.00017831292233578823
P21,-0.00019708052614433313
P64,-0.00019992085147988448
F7,-0.00022007009172679836
P89,-0.00022035757766198928
C5,-0.00022969118642386378
F123,-0.00024013990230100645
F67,-0.00024107311717749269
P68,-0.00026272228469004233
P75,-0.0002641627668986235
T8,-0.000274824668419571
C6,-0.0002777533604107152
T6,-0.0002855180958309056
F58,-0.00029953846549619635
F99,-0.00030474305724639275
F152,-0.000304977396107553
F145,-0.0003094208966774037
P3,-0.0003163272513858395
F86,-0.00031725139600946584
P55,-0.0003206401031255801
F29,-0.00033149118473771997
F3,-0.0003367787416709067
F93,-0.00033808400757897596
F8,-0.0003745822437213775
P62,-0.0003787332771622687
T4,-0.00044358675135756085
P50,-0.0004568007714767397
P83,-0.00047373913528643287
F61,-0.000499879074447085
F41,-0.0005209040357468719
P29,-0.0005413921659749299
F144,-0.0005554996973876847
F5,-0.0005591759746333303
F6,-0.0005620737749274963
P78,-0.0005698767420615703
F63,-0.0005760590512684516
C17,-0.000578742262341203
F161,-0.0005804304137288163
T10,-0.0005815962071566982
P56,-0.0005835227896601403
F71,-0.0005925465760612258
F92,-0.0006237423462430059
F22,-0.000625242859631614
F142,-0.000630725945559929
P95,-0.0006405541182322505
F139,-0.0006563551100777331
C18,-0.0006604009733869543
F39,-0.0006632083734971151
F98,-0.0006723620182213175
C21,-0.0006930577967590335
F19,-0.0006971554029367333
C24,-0.0007097278099136961
F118,-0.0007105165828694471
F156,-0.0007120988696412755
C13,-0.0007455324914594996
F76,-0.0007739338974112719
F154,-0.000795718643776766
F109,-0.0007972489635991398
P105,-0.0007976122270841213
P80,-0.0008060628469354292
P74,-0.0008104814082661171
F31,-0.0008152007239631054
F140,-0.0008153702557123221
F24,-0.0008253472855574096
C29,-0.0008442326172509951
F165,-0.0008574540826125077
F70,-0.0008685057648934791
T9,-0.0008916308613210689
P1,-0.0008944474582504913
C10,-0.0009131781365879554
P101,-0.000943548522895421
P6,-0.000978033748006668
P44,-0.0009905896069605457
C8,-0.0009940964717856994
P19,-0.0010058491943949921
P27,-0.001011221306969645
P117,-0.001017742605651728
P34,-0.0010769522696843393
F120,-0.0010782063932842866
F30,-0.001086223419584531
P60,-0.0011299107257932484
P20,-0.0011303957224683802
F34,-0.0011400035789472795
F114,-0.0011415806960787477
F126,-0.0011453199324372055
F42,-0.0011549969312852682
P57,-0.0011563337584420187
P36,-0.0011623125271952085
F82,-0.0012022515996004124
F26,-0.0012106896700336378
F149,-0.0012117207039284762
F138,-0.001244720640453023
P100,-0.0012467234461122968
P99,-0.0012579466079432945
F62,-0.0012992946353907354
P53,-0.001302458725366984
T1,-0.0013359219939804046
P97,-0.0013377803023340018
F74,-0.0013387482409900286
F110,-0.0013392146951044736
F68,-0.0013420026017076925
C9,-0.0013423716650337258
F137,-0.0013555440645440342
C19,-0.0013613087797784474
F121,-0.0013614324907919694
P22,-0.0013678022460357653
P93,-0.001383137296858905
F40,-0.0013925115742575932
P77,-0.001408498305450001
F65,-0.0014236124030547969
P49,-0.001425493214471185
F28,-0.0015097127377353026
F32,-0.0015381967499529469
F21,-0.0015594302736486655
P79,-0.0015852705635770903
P23,-0.0015861071917128821
P123,-0.0016375744424394155
T5,-0.0016611669743353374
C28,-0.0016759491036362206
F90,-0.0017050172635240113
F146,-0.0017090294386128857
F47,-0.0017100225552307614
F15,-0.0017171971811908548
P122,-0.001723430259030856
F103,-0.001724634367843736
F157,-0.0017441225347490264
F88,-0.0017606460165723536
F1,-0.001761203914020415
F119,-0.0017779758497107334
F160,-0.0018192490515762216
P38,-0.001861557229305122
F38,-0.0018763538351366017
C25,-0.0018914224303052674
F148,-0.0019726201363736706
F143,-0.0020106909812388717
F75,-0.00203121722301578
P72,-0.002068543290838498
P70,-0.002103847878012921
P58,-0.0021179560535052656
F46,-0.002138747739655322
F127,-0.0021635385876928037
F2,-0.0022011044076383434
F130,-0.002212690718195809
F33,-0.0022343633822663467
P16,-0.002242115853685167
F133,-0.0022526004263724976
P52,-0.0022818966935515663
F163,-0.00231879523134122
F134,-0.002357657677898617
F94,-0.0023609072451778344
F141,-0.002361563435551872
F16,-0.002421760296161146
P120,-0.0024229051392389957
F72,-0.0024392528049730798
P14,-0.0024409594836492855
P61,-0.002446079836831272
F13,-0.0025672850589794293
F108,-0.002618654210905147
P30,-0.002633498320860639
F77,-0.0026461549794397853
F69,-0.0027006567789379155
F45,-0.002726913396479835
T11,-0.002734129390309503
T7,-0.0029358715204379935
F122,-0.0035464899166914865
F53,-0.0035701712796123
P37,-0.0036062929238327877
P116,-0.0037174261292928445
P2,-0.0037320291442454858
F57,-0.003988193860886824
F79,-0.004573292972933451
F27,-0.004592143633798651
P59,-0.004700107902111839
F113,-0.005344439395637135
F91,-0.005846261446085998
