Feature,Importance
R1,0.0049558722657082836
P85,0.004576363443955733
P87,0.004008191155987851
F4,0.003824270713073741
F150,0.003625158167406761
P115,0.0033346727560495727
F52,0.0033333735566819732
P119,0.0033145349557255344
P110,0.0032563419635618816
F155,0.0030795271844846093
F107,0.002987401770922826
F116,0.002757505353575329
P32,0.0027298817256192543
F49,0.002727272256795965
P108,0.002651629662768595
P47,0.0026317464768821795
F147,0.0026217334576691177
P84,0.0026098769847680892
F11,0.002533259072106819
P71,0.002477394349114581
F97,0.0024703471604957004
F66,0.002389096555043846
F104,0.002384515086521066
F81,0.0023255951338167157
F164,0.002291151629516408
F96,0.002167981534596519
P54,0.0021608389169492257
P94,0.002116409934963892
P66,0.002108984844507855
P15,0.002084658182808008
F167,0.0020820099435246765
P46,0.0020803572463753196
F51,0.002054060982399708
P28,0.002007828248182353
F64,0.0019406242233193538
F60,0.00193969179151261
P17,0.0018692137472096527
F136,0.0018329819952990433
F95,0.0017475257980559267
P121,0.0017169578497217674
P33,0.0016930070152756382
F112,0.0016758347963940156
P111,0.0016250861248080285
F128,0.0016141607376571443
P86,0.001597248348728053
P92,0.0015718225921024231
P109,0.0015565200912029732
F117,0.0015536471808689444
P42,0.0015272570110270501
F55,0.0014602027661331895
F17,0.0014259955135683012
P96,0.0014253246102271966
P25,0.0014245751990658029
F73,0.001395201790022549
F37,0.0013616956365258837
F56,0.00135334814750645
F18,0.0013440811808697272
F83,0.0013421451896809878
P102,0.0012863946920842473
F50,0.0012555398181930855
F36,0.0012525457228641733
F85,0.001213872786104231
P88,0.0011978694406672209
F159,0.0011901805155512869
F14,0.001099167936664136
F115,0.0010575812249448368
F80,0.0010449668309635562
F9,0.0009309035637054208
P107,0.0009242853742301271
P45,0.0009160043578576804
P4,0.0009146238255402839
P82,0.0009103917876120083
P13,0.0008769976006948177
P12,0.0008634383415321966
P67,0.0008116901893634232
F84,0.0008085771642542649
P118,0.0008031872171553988
F87,0.0007473078765240615
P112,0.0007206888511861465
P76,0.0007112619487804839
P48,0.0006588414724395975
F135,0.0006564443918830154
P11,0.0006410504198985034
T3,0.0006267782397880506
P91,0.0006224264790143597
F162,0.0006092537166278777
P98,0.0006013219573320239
F101,0.0005952326990937174
F54,0.0005907712656945119
P26,0.0005867243319884974
F124,0.0005751562672920319
P40,0.0005516147212384137
F43,0.0005314846376430982
P104,0.0004826173696435898
F131,0.0004713370610000212
P69,0.0004678948930727067
F89,0.00046709961596986816
F35,0.0004589636221310922
F129,0.00038767494169693605
T2,0.0003764490740152393
F132,0.0003754069921040326
P51,0.00036652719650054344
P24,0.0003632174201244176
P73,0.00034839385507994257
F158,0.00033474961400599136
P114,0.0003217671993429594
P43,0.00027907340773851707
P113,0.0002780979853596488
F23,0.00027339536312149805
F106,0.00025683391868764894
P39,0.00024560508368889347
P35,0.00024285784873447902
F105,0.0002362988021980872
P106,0.0002337282025439258
P63,0.00022497669361802862
F10,0.00022188468332866583
P31,0.00017523889096140443
P10,0.00016461495187809484
F153,0.0001333789254175155
P8,0.00013335483848022633
F78,0.00012992263531792504
F25,0.00011721038034790965
P18,4.72292354757986e-05
T6,-1.8166165655530975e-05
F44,-5.633472471511247e-05
P90,-5.878491330837399e-05
F67,-7.357601222519605e-05
F59,-8.570211514808967e-05
F151,-9.709074290693564e-05
F63,-0.0001076493365856912
F7,-0.00011736901941112876
P81,-0.00012252401954966353
P103,-0.00012664766335555023
P9,-0.00012876237251608914
P5,-0.00013414020362678691
F111,-0.00014086579351664242
F102,-0.00014135721815833335
T10,-0.00014266336787303047
T8,-0.00016171685543091562
F86,-0.00017561229010443213
F6,-0.00019840866926803535
F99,-0.00020294778921514656
